Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
xdxRRaUAAAAJ,1,"Structural, optical characteristics of 3-(pN, N-dimethyl aminophenyl) 5-phenyl-1H-pyrazole: tuning band gaps with acid solutions","KH Ibnaouf, MA Ibrahem, O Aldaghri, R Alhathlool, AO Elzupir",Journal of Materials Science: Materials in Electronics 1-8,2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3797553181831338204,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdxRRaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xdxRRaUAAAAJ:L8Ckcad2t8MC
xdxRRaUAAAAJ,2,Structural and optical characteristic of chalcone doped ZnO nanoparticles,"A Modwi, MKM Ali, KK Taha, MA Ibrahem, HM El-Khair, MH Eisa, ...","Journal of Materials Science: Materials in Electronics 29 (4), 2791-2796",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14684938480024176165,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdxRRaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xdxRRaUAAAAJ:qxL8FJ1GzNcC
xdxRRaUAAAAJ,3,"Room temperature ferromagnetism in Ni, Fe and Ag co-doped Cu–ZnO nanoparticles: an experimental and first-principles DFT study","OM Lemine, A Modwi, A Houas, JH Dai, Y Song, M Alshammari, A Alanzi, ...","Journal of Materials Science: Materials in Electronics 29 (17), 14387-14395",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15196940866079124398,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdxRRaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xdxRRaUAAAAJ:QIV2ME_5wuYC
xdxRRaUAAAAJ,4,Photophysical properties of a laser dye (LD-473) in different solvents,"KH Ibnaouf, R Alhathlool, MKM Ali","Optics & Laser Technology 102, 111-114",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2084164650802713874,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdxRRaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xdxRRaUAAAAJ:Wp0gIr-vW9MC
xdxRRaUAAAAJ,5,Solid state ASE from an oligomer (HOTF) in polymethyl methacrylate,"KH Ibnaouf, KK Taha, H Idriss, R Alhathlool",Optical Review 1-8,2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1913710016038321601,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdxRRaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xdxRRaUAAAAJ:dhFuZR0502QC
xdxRRaUAAAAJ,6,Influence of solvents on the amplified spontaneous emission characteristics of LD-423,"KH Ibnaouf, R Alhathlool","Optical and Quantum Electronics 50 (7), 289",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
xdxRRaUAAAAJ,7,Surface passivation of silicon nanowires based metal nano-particle assisted chemical etching for photovoltaic applications,"MB Rabha, L Khezami, AB Jemai, R Alhathlool, A Ajbar","Journal of Crystal Growth 462, 35-40",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4128751200149555546,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdxRRaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xdxRRaUAAAAJ:M3ejUd6NZC8C
xdxRRaUAAAAJ,8,Electronic quality improvement of crystalline silicon by stain etching-based PS nanostructures for solar cells application,"L Khezami, AB Jemai, R Alhathlool, MB Rabha","Solar Energy 129, 38-44",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15584075907691972726,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdxRRaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xdxRRaUAAAAJ:0EnyYjriUFMC
xdxRRaUAAAAJ,9,Defect-induced room temperature ferromagnetism in mechanically milled nanocrystalline In2O3 powder,"OM Lemine, M Bououdina, A Alyamani, K Omri, K Ibnaouf, MA Ibrahem, ...","Materials Letters 181, 152–155",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6204113069960324980,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdxRRaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xdxRRaUAAAAJ:MXK_kJrjxJIC
xdxRRaUAAAAJ,10,Amplified spontaneous emission from the exciplex state of a conjugated polymer “PFO” in oleic acid,"KHI Hajo Idriss, Kamal K. Taha, O. Aldaghri, R. Alhathlool, M.S. AlSalhi","Optics & Laser Technology 83, 148–152",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1497848072875149837,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdxRRaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xdxRRaUAAAAJ:8k81kl-MbHgC
