Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
yaAqu6AAAAAJ,1,A New Distribution for Modeling Data with Increasing Hazard Rate: A Case of COVID-19 Pandemic and Vinyl Chloride Data,"AH Tolba, CK Onyekwere, AR El-Saeed, N Alsadat, H Alohali, OJ Obulezi","Sustainability 15 (17), 12782",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12442695360609640463,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaAqu6AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yaAqu6AAAAAJ:LkGwnXOMwfcC
yaAqu6AAAAAJ,2,"A class of power inverted Topp-Leone distribution: Properties, different estimation methods & applications","AR El-Saeed, AS Hassan, NM Elharoun, A Al Mutairi, RH Khashab, ...","Journal of Radiation Research and Applied Sciences 16 (4), 100643",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15390152691715291240,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaAqu6AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yaAqu6AAAAAJ:_FxGoFyzp5QC
yaAqu6AAAAAJ,3,Bayesian and non-Bayesian estimation of dynamic cumulative residual Tsallis entropy for moment exponential distribution under progressive censored type II,"SA Alyami, AS Hassan, I Elbatal, M Elgarhy, AR El-Saeed","Open Physics 21 (1), 20220264",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4132751758216947106,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaAqu6AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yaAqu6AAAAAJ:eQOLeE2rZwMC
yaAqu6AAAAAJ,4,Exponentiated Kavya-Manoharan Burr X Distribution: Estimation under Censored Type Ii with Applications in Medical Data,"I Elbatal, SM Alghamdi, ABEN Ghorbal, AW Shawki, M Elgarhy, ...","JP Journal of Biostatistics 23 (3), 227-247",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7249136037486555131,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaAqu6AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yaAqu6AAAAAJ:YsMSGLbcyi4C
yaAqu6AAAAAJ,5,Optimal sampling and statistical inferences for Kumaraswamy distribution under progressive Type-II censoring schemes,"OE Abo-Kasem, AR El Saeed, AI El Sayed","Scientific Reports 13 (1), 12063",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15000936459414598957,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaAqu6AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yaAqu6AAAAAJ:WF5omc3nYNoC
yaAqu6AAAAAJ,6,Sampling Plan for the Kavya–Manoharan Generalized Inverted Kumaraswamy Distribution with Statistical Inference and Applications,"N Alsadat, AS Hassan, M Elgarhy, C Chesneau, AR El-Saeed","Axioms 12 (8), 739",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=869029368404407044,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaAqu6AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yaAqu6AAAAAJ:ufrVoPGSRksC
yaAqu6AAAAAJ,7,Stress–Strength Reliability Analysis for Different Distributions Using Progressive Type-II Censoring with Binomial Removal,"I Elbatal, AS Hassan, LS Diab, A Ben Ghorbal, M Elgarhy, AR El-Saeed","Axioms 12 (11), 1054",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yaAqu6AAAAAJ,8,Maximum Product Spacings for the Kumaraswamy Distributions Based on Progressive Type-II Censoring Schemes,"AI El Sayed, U Eraky, AES Abdel Hameed","مجلة البحوث التجارية 45 (4), 89-110",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yaAqu6AAAAAJ,9,Analysis of progressive Type-Ⅱ censoring schemes for generalized power unit half-logistic geometric distribution,"AR El-Saeed, AT Ramadan, N Alsadat, H Alohali, AH Tolba","AIMS Mathematics 8 (12), 30846-30874",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yaAqu6AAAAAJ,10,Statistical Inference of Marshall-Olkin Extended Exponential Distribution Based on Progressively Type-I Censored Data,"MH Alabdulhadi, AR El-Saeed, M Elgarhy, AEH Eisa, DA Abdo","Appl. Math 17 (6), 1033-1046",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
