Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
yhfNByQAAAAJ,1,DFT Studies on the Effects of C Vacancy on the CO2 Capture Mechanism of Silicon Carbide Nanotubes Photocatalyst (Si12C12-X; X = 1; 2),"YS Itas, R Razali, S Tata, M Kolo, A Lawal, SA Alrub, J El Ghoul, ...","Silicon 16 (1), 241-251",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1688463618132169878,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yhfNByQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yhfNByQAAAAJ:YsMSGLbcyi4C
yhfNByQAAAAJ,2,DFT Studies of Photocatalytic Properties of Silicon-and Boron-doped Gallium-nitride Nanotubes for Hydrogen Evolution and Carbondioxide Capture,"YS Itas, R Razali, S Tata, SA Alrub, JE Ghoul, MU Khandaker",Silicon 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9706743262239085749,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yhfNByQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yhfNByQAAAAJ:Tyk-4Ss8FVUC
yhfNByQAAAAJ,3,Synthesized PANI/CeO2 Nanocomposite Films for Enhanced Anti-Corrosion Performance,"AM Alsaad, M Al-Hmoud, TM Rababah, MW Marashdeh, MJ Aljaafreh, ...","Nanomaterials 14 (6), 526",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yhfNByQAAAAJ,4,Study of Cu-Zn Spinel Ferrites on Europium Substitution for High-Frequency Applications,"A Ahmad, HM Khan, M Imran, MA Assiri, I Sadiq, N Ahmad, MI Hajana, ...","Journal of Electronic Materials 53 (3), 1685-1693",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yhfNByQAAAAJ,5,Enhanced Electrocatalytic Oxygen Reduction Reaction of TiO2 Nanotubes by Combining Surface Oxygen Vacancy Engineering and Zr Doping,"MN Shaddad, P Arunachalam, MS Hezam, SA Aladeemy, MJ Aljaafreh, ...","Nanomaterials 14 (4), 366",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yhfNByQAAAAJ,6,The Effect of Conjugated Nitrile Structures as Acceptor Moieties on the Photovoltaic Properties of Dye-Sensitized Solar Cells: DFT and TD-DFT Investigation,"MJ Tommalieh, AI Aljameel, RK Hussein, K Al-heuseen, SK Alghamdi, ...","International Journal of Molecular Sciences 25 (13), 7138",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yhfNByQAAAAJ,7,Effects of gamma radiation on the electrical properties of InAs/InGaAs quantum dot-based laser structures grown on GaAs and Si substrates by molecular beam epitaxy,"M Al Huwayz, DA Jameel, WM de Azevedo, JF Felix, N Al Saqri, ...","Physical Chemistry Chemical Physics 26 (1), 445-454",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yhfNByQAAAAJ,8,Effect of Magnesium Ion Substitution on Physical Properties and Magnetic Induction Heating of Maghemite (γ-Fe2O3) Nanoparticles,"OM Lemine, A Faqih, S Algessair, N Madkhali, M Hjiri, SA Alrub, ...","Journal of Superconductivity and Novel Magnetism 36 (6), 1583-1593",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3184889621717979420,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yhfNByQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yhfNByQAAAAJ:UeHWp8X0CEIC
yhfNByQAAAAJ,9,"Synthesis, characterization and heating efficiency of Gd-doped maghemite (γ-Fe2O3) nanoparticles for hyperthermia application","I Alotaibi, MS Alshammari, S Algessair, N Madkhali, NA All, M Hjiri, ...","Physica B: Condensed Matter 625, 413510",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=177423767230973136,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yhfNByQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yhfNByQAAAAJ:2osOgNQ5qMEC
yhfNByQAAAAJ,10,Magneto-thermal properties of Co-doped maghemite (γ-Fe2O3) nanoparticles for magnetic hyperthermia applications,"A Aldaoud, OM Lemine, N Ihzaz, L El Mir, SA Alrub, K El-Boubbou","Physica B: Condensed Matter 639, 413993",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4918257663624574304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yhfNByQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yhfNByQAAAAJ:qjMakFHDy7sC
yhfNByQAAAAJ,11,"γ-Fe2O3/Gd2O3-chitosan magnetic nanocomposite for hyperthermia application: structural, magnetic, heating efficiency and cytotoxicity studies","OM Lemine, A Alanazi, EL Albert, M Hjiri, MO M’hamed, SA Alrub, ...","Applied Physics A 126, 1-9",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2895869111667041152,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yhfNByQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yhfNByQAAAAJ:d1gkVwhDpl0C
yhfNByQAAAAJ,12,Mechanically Milled Co1-xFexO4 Nanocrystalline for Magnetic Hyperthermia Application,"OM Lemine, SA Alrub","Journal of Nano Research 59, 25-34",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10672582871118259088,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yhfNByQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yhfNByQAAAAJ:9yKSN-GCB0IC
