Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
yujXiGgAAAAJ,1,"Exploring the Antimicrobial, Antioxidant, and Antiviral Potential of Eco-Friendly Synthesized Silver Nanoparticles Using Leaf Aqueous Extract of Portulaca oleracea L.","MA Abdel-Rahman, KS Alshallash, AM Eid, SED Hassan, M Salih, ...","Pharmaceuticals 17 (3), 317",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13336838318046220438,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yujXiGgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yujXiGgAAAAJ:Zph67rFs4hoC
yujXiGgAAAAJ,2,Fast-simplistic fabrication of MoO3@ Al2O3-MgO triple nanocomposites for efficient elimination of pharmaceutical contaminants,"RS Almufarij, BY Abdulkhair, M Salih","Results in Chemistry 7, 101281",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3007692751261247752,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yujXiGgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yujXiGgAAAAJ:Se3iqnhoufwC
yujXiGgAAAAJ,3,Insight into the Adsorption Behavior of Carbon Nanoparticles Derived from Coffee Skin Waste for Remediating Water Contaminated with Pharmaceutical Ingredients,"M Salih, BY Abdulkhair, M Alotaibi","Chemistry 5 (3), 1870-1881",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11547087688212187763,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yujXiGgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yujXiGgAAAAJ:UebtZRa9Y70C
yujXiGgAAAAJ,4,"Optimization, nature, and mechanism investigations for the adsorption of ciprofloxacin and malachite green onto carbon nanoparticles derived from low-cost precursor via a green …","RS Almufarij, BY Abdulkhair, M Salih, H Aldosari, NW Aldayel","Molecules 27 (14), 4577",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1174320768546974517,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yujXiGgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yujXiGgAAAAJ:KlAtU1dfN6UC
yujXiGgAAAAJ,5,"Sweep-out of tigecycline, chlortetracycline, oxytetracycline, and doxycycline from water by carbon nanoparticles derived from tissue waste","RS Almufarij, BY Abdulkhair, M Salih, NM Alhamdan","Nanomaterials 12 (20), 3617",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4833407461102513762,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yujXiGgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yujXiGgAAAAJ:LkGwnXOMwfcC
yujXiGgAAAAJ,6,Adsorption behavior of barium ions onto ZnO surfaces: Experiments associated with DFT calculations,"M Salih, A Modwi, F Adam, N Elamin, M Seydou, S Rahali","Journal of Molecular Structure 1223, 128991",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11125834294271651500,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yujXiGgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yujXiGgAAAAJ:MXK_kJrjxJIC
yujXiGgAAAAJ,7,Impact of Sn ions on structural and electrical description of TiO2 nanoparticles,"M Salih, M Khairy, B Abdulkhair, MG Ghoniem, N Ibrahim, MA Ben Aissa, ...","Zeitschrift für Naturforschung A 76 (9), 835-846",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yujXiGgAAAAJ,8,Preparation and Characterization of Glycidyl Polymethacrylate Monolith Column and its Application for Simultaneous Determination of Paracetamol and Chlorzoxazone in Their …,"ME Salih, A Aqel, BY Abdulkhair, MS Obbed, ZA ALOthman, ...","Journal of Analytical Chemistry 75, 1435-1442",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yujXiGgAAAAJ,9,Simplistic synthesis and enhanced photocatalytic performance of spherical ZnO nanoparticles prepared from arabinose solution,"BY Abdulkhair, ME Salih, NY Elamin, AMA Fatima, A Modwi","Zeitschrift für Naturforschung A 74 (10), 937-944",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12977145824867565712,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yujXiGgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yujXiGgAAAAJ:kNdYIx-mwKoC
yujXiGgAAAAJ,10,FAST AND GREEN SYNTHESIS OF Sn/TiO2 PHOTOCATALYST AND IT'S BI-FUNCTIONAL COMPETENCE AS ADSORBENT AND PHOTOCATALYST.,"A Modwi, BRY Abdulkhair, ME Salih, NY Elamin, AM Fatima",Digest Journal of Nanomaterials & Biostructures (DJNB) 14 (2),2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17096701160486768051,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yujXiGgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yujXiGgAAAAJ:UeHWp8X0CEIC
