Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
z5N5ZhwAAAAJ,1,"The effect of annealing on the structure, morphology, and optical properties of Co3O4 thin films prepared using a modified dip coating technique","MA Rafea, A Eid, N Mustapha","Materials Science and Engineering: B 290, 116294",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11573106170407791503,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:3fE2CSJIrl8C
z5N5ZhwAAAAJ,2,Spectral Behavior of a Conjugated Polymer MDMO-PPV Doped with ZnO Nanoparticles: Thin Films,"BB Abdelaziz, N Mustapha, IM Bedja, O Aldaghri, H Idriss, M Ibrahem, ...","Nanomaterials 13 (17), 2405",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18024739928627468660,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:YOwf2qJgpHMC
z5N5ZhwAAAAJ,3,Tuning of spectral response in dye-sensitized solar cell by co-sensitization of black dye with small organic photosensitizers,"N Mustapha, M Abdel-Shakour, I Bedja, M Abdel Rafea","Journal of Materials Science: Materials in Electronics 34 (30), 2012",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2573754663495643490,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:_kc_bZDykSQC
z5N5ZhwAAAAJ,4,Silver nanoparticles synthesized by probiotic bacteria and antibacterial role in resistant bacteria,"E Khalifa, M Abdel Rafea, N Mustapha, R Sultan, ES Hafez","AMB Express 13 (1), 140",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
z5N5ZhwAAAAJ,5,Optical and Electrical Profile of Light Emitting Diodes Based on Oligomer/ZnO Nanopowder: Perspective.,"BBENA AZIZ, NZ MustaPha, AASI ALAkHRAS, H IDRISS",Oriental Journal of Chemistry 39 (2),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
z5N5ZhwAAAAJ,6,"Effect of annealing on the structure, morphology and optical properties of Co3O4 thin films as a solar absorber layer","N Mustapha, M Abdel Rafea, A Eid",Morphology and Optical Properties of Co o3o4 Thin Films as a Solar Absorber Layer,2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17473478412677865855,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:kNdYIx-mwKoC
z5N5ZhwAAAAJ,7,Influence of ZnO nanoparticles on the performance of LED based on oligomer thin films,"N Mustapha, MA Rafea, O Aldaghri, BB Abdelaziz, KH Ibnaouf","Journal of Materials Science: Materials in Electronics 32, 5473-5481",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9837398427126691674,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:MXK_kJrjxJIC
z5N5ZhwAAAAJ,8,"Impact of nitrogen reactive gas and substrate temperature on the optical, electrical and structural properties of sputtered TiN thin films","N Mustapha, Z Fekkai","Journal of Materials Science: Materials in Electronics 31 (22), 20009-20021",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16711793467641886576,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:5nxA0vEk-isC
z5N5ZhwAAAAJ,9,Improved performance of organic light-emitting diodes based on oligomer thin films with graphene,"N Mustapha, Z Fekkai, KH Ibnaouf","Journal of Electronic Materials 49 (3), 2203-2210",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7850907723756932317,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:0EnyYjriUFMC
z5N5ZhwAAAAJ,10,Influence of Post-Deposition Annealing on the Indium Tin Oxide Thin Films Grown by Pulsed Laser Deposition,"N Mustapha, A Alakhras, H Idriss","Dig. J. Nanomater. Biostruct 15, 1227-1237",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9215039492813974067,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:8k81kl-MbHgC
z5N5ZhwAAAAJ,11,Influence of gamma ray and thermal annealing on zinc oxide and titanium oxide thin films characteristics,"A Alyamani, N Mustapha, TS Alkhuraiji, H Idriss","Journal of Ovonic Research Vol 15 (5), 301-313",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6314411508773934346,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:hqOjcs7Dif8C
z5N5ZhwAAAAJ,12,Energy transfer-enhanced external power conversion efficiency in blended polymeric thin film solar devices,"N Mustapha, MS AlSalhi, S Prasad","Journal of Materials Science: Materials in Electronics 30, 7840-7849",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12753472219861270407,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:UebtZRa9Y70C
z5N5ZhwAAAAJ,13,Influence of gamma ray onto transparent indium tin oxide thin films,"N Mustapha, A Alkaoud, A Alyamani, H Idriss","Journal of Ovonic Research Vol 14 (3), 225-233",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18173257167398308674,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:Se3iqnhoufwC
z5N5ZhwAAAAJ,14,Optical study of pure and doped conjugated polymers with zno nanoparticles,"N Mustapha, Z Fekkai, H Idriss","Journal of Ovonic Research Vol 14 (5), 325-332",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13376632831230868654,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:eQOLeE2rZwMC
z5N5ZhwAAAAJ,15,Effects of high dose gamma irradiation on ITO thin film properties,"A Alyamani, N Mustapha","Thin Solid Films 611, 27-32",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8909273827043207225,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:Tyk-4Ss8FVUC
z5N5ZhwAAAAJ,16,Enhanced efficiency of organic solar cells based on (MEH-PPV) with graphene and quantum dots,"N Mustapha, Z Fekkai, A Alkaoud","Optik 127 (5), 2755-2760",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2224629670419047276,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:u-x6o8ySG0sC
z5N5ZhwAAAAJ,17,"Spectral, electrical and morphological properties of spin coated MEH-PPV and cresyl violet blended thin films for a light emitting diode","A Alyamani, KH Ibnaouf, OA Yassin, MS AlSalhi, Z Fekkai, N Mustapha","Optik 127 (4), 2331-2335",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7898858750754598533,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:IjCSPb-OGe4C
z5N5ZhwAAAAJ,18,Multielemental analysis of pharmaceuticals derived from plant seeds by energy dispersive X-ray fluorescence spectrometry,"S Al-Omari, AA Mubarak, M Al-Noaimi, F Afaneh, A Aqili, I Hamarneh, ...","Instrumentation Science & Technology 44 (1), 98-113",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6831472673548179064,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:Zph67rFs4hoC
z5N5ZhwAAAAJ,19,"Optical, morphological and electrical properties of silver and aluminium metallization contacts for solar cells","Z Fekkai, N Mustapha, A Hennache","American Journal of Modern Physics 3 (2), 45-50",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13536703409976950620,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:WF5omc3nYNoC
z5N5ZhwAAAAJ,20,Deposition of conducting oxide thin films as anode for solar cell device,"N Mustapha, A Hennache, Z Fekkai","British Journal of Applied Science & Technology 4 (5), 739-748",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10138676240979211843,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:Y0pCki6q_DkC
z5N5ZhwAAAAJ,21,Improved efficiency of solar cells based on BEHP-co-MEH-PPV doped with ZnO nanoparticles,"N Mustapha, KH Ibnaouf, Z Fekkai, A Hennache, S Prasad, A Alyamani","Optik 124 (22), 5524-5527",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6137871024576285895,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:UeHWp8X0CEIC
z5N5ZhwAAAAJ,22,Triple amplified spontaneous emissions from a conjugated copolymer BEHP-co-MEH-PPV in solution,"KH Ibnaouf, S Prasad, V Masilamani, MS AlSalhi, N Mustapha, ...","Physica E: Low-dimensional Systems and Nanostructures 53, 66-71",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8209591455791019423,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:zYLM7Y9cAGgC
z5N5ZhwAAAAJ,23,Polymeric solar cells efficiency increase using doped conjugated polymer nanoparticles,"A Hennache, N Mustapha, Z Fekkai","British Journal of Applied Science & Technology 4 (4), 604-616",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17406956938673783175,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:YsMSGLbcyi4C
z5N5ZhwAAAAJ,24,Optical properties of solution-processed MEH-PPV thin films for optoelectronic applications,"N Mustapha, Z Fekkai","Journal of Materials Science and Engineering. A 1 (2A), 224",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14963504944933198523,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:_FxGoFyzp5QC
z5N5ZhwAAAAJ,25,Improved structure and efficiency of a nano-structured organic light emitting diode,"N Mustapha, Z Fekkai","Journal of Materials Science and Engineering 5 (1), 56",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14207955549081053212,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:ufrVoPGSRksC
z5N5ZhwAAAAJ,26,Fabrication of efficient solution-processed nano-diode for full color displays,N Mustapha,"Journal of Materials Science and Engineering 3 (8), 27",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17792643517972414090,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z5N5ZhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=z5N5ZhwAAAAJ:roLk4NBRz8UC
z5N5ZhwAAAAJ,27,Efficient solution-processed dendrimer OLEDs,"OV Salata, Z Liu, A Safonov, N Mustapha, SC Lo, PL Burn, IDW Samuel, ...","Materials, Devices, and Systems for Display and Lighting 4918, 117-121",2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
