Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
zScqWS4AAAAJ,1,Stagnation point nanofluid flow in a variable darcy space subject to thermal convection using artificial neural network technique,"AS Alnahdi, A Khan, T Gul, H Ahmad",Arabian Journal for Science and Engineering 1-18,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17606877359813840974,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:aqlVkmm33-oC
zScqWS4AAAAJ,2,Energy and mass transmission through hybrid nanofluid flow passing over a spinning sphere with magnetic effect and heat source/sink,"H Ahmad, AS Alnahdi, M Bilal, M Daher Albalwi, AA Faqihi","Nanotechnology Reviews 13 (1), 20230194",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10466372381927257357,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:qxL8FJ1GzNcC
zScqWS4AAAAJ,3,MHD hybrid nanofluid flow over a stretched surface with convective boundary conditions: Applications of heat transfer,"AS Alnahdi, T Gul","Modern Physics Letters B 38 (08), 2450046",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1861181660316249563,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:YOwf2qJgpHMC
zScqWS4AAAAJ,4,Couple stress ternary hybrid nanofluid flow in a contraction channel by means of drug delivery function,"AS Alnahdi, S Nasir, T Gul","Mathematics and Computers in Simulation 210, 103-119",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1252450476890720291,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:kNdYIx-mwKoC
zScqWS4AAAAJ,5,Ternary Casson hybrid nanofluids in convergent/divergent channel for the application of medication,"AS Alnahdi, S Nasir, T Gul","Thermal Science 27 (Spec. issue 1), 67-76",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12980515031003397131,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:KlAtU1dfN6UC
zScqWS4AAAAJ,6,A generalized fractional order model for COV-2 with vaccination effect using real data,"MB Jeelani, AS Alnahdi, MS Abdo, MA Almalahi, NH Alharthi, K Shah","Fractals 31 (04), 2340042",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5796497260360403174,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:3fE2CSJIrl8C
zScqWS4AAAAJ,7,Hybrid nanofluid flow over a slippery surface for thermal exploration,"AS Alnahdi, T Gul","Advances in Mechanical Engineering 15 (8), 16878132231190060",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3698525298294673642,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:Zph67rFs4hoC
zScqWS4AAAAJ,8,Mathematical Modeling of Breast Cancer Based on the Caputo–Fabrizio Fractal-Fractional Derivative,"M Idrees, AS Alnahdi, MB Jeelani","Fractal and Fractional 7 (11), 805",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7977513138553558283,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:_kc_bZDykSQC
zScqWS4AAAAJ,9,Nonlinear dynamics of estrogen receptor-positive breast cancer integrating experimental data: A novel spatial modeling approach.,"AS Alnahdi, M Idrees","Mathematical Biosciences and Engineering 20 (12), 21163-21186",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
zScqWS4AAAAJ,10,Mathematical model to investigate transmission dynamics of COVID-19 with vaccinated class,"MB Jeelani, AS Alnahdi, RU Din, H Alrabaiah, A Sultana","AIMS Mathematics 8 (12), 29932-29955",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
zScqWS4AAAAJ,11,MHD Williamson Nanofluid Fluid Flow and Heat Transfer Past a Non-Linear Stretching Sheet Implanted in a Porous Medium: Effects of Heat Generation and Viscous Dissipation,"AI Amir Abbas, Mdi Begum Jeelani, Abeer S. Alnahdi","Precesses 10 (6), 1221",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16786251995154651656,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:LkGwnXOMwfcC
zScqWS4AAAAJ,12,Numerical investigations of the fractional-order mathematical model underlying immune-chemotherapeutic treatment for breast cancer using the neural networks,"Z Sabir, M Munawar, MA Abdelkawy, MAZ Raja, C Ünlü, MB Jeelani, ...","Fractal and Fractional 6 (4), 184",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8923615464978891342,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:ufrVoPGSRksC
zScqWS4AAAAJ,13,Pattern formation induced by fuzzy fractional-order model of COVID-19,"AS Alnahdi, R Shafqat, AUK Niazi, MB Jeelani","Axioms 11 (7), 313",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16299133083600102351,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:roLk4NBRz8UC
zScqWS4AAAAJ,14,Qualitative Analyses of Fractional Integrodifferential Equations with a Variable Order under the Mittag‐Leffler Power Law,"MB Jeelani, AS Alnahdi, MA Almalahi, MS Abdo, HA Wahash, NH Alharthi","Journal of Function Spaces 2022 (1), 6387351",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16027651168098146715,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:_FxGoFyzp5QC
zScqWS4AAAAJ,15,Numerical Computational Heuristic Through Morlet Wavelet Neural Network for Solving the Dynamics of Nonlinear SITR COVID-19,"MMH Zulqurnain Sabir, Abeer S. Alnahdi, Mdi Begum Jeelani, Mohamed A ...","TSP, Computer Modeling in Engineering & Sciences 131 (2), pp.763-785",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17773000851493682799,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:eQOLeE2rZwMC
zScqWS4AAAAJ,16,New solutions of fractional Jeffrey fluid with ternary nanoparticles approach,"MI Asjad, A Riaz, AS Alnahdi, SM Eldin","Micromachines 13 (11), 1963",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=260529648282213746,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:0EnyYjriUFMC
zScqWS4AAAAJ,17,Jacobi spectral collocation technique for fractional inverse parabolic problem,"MA Abdelkawy, MEA Zaky, MM Babatin, AS Alnahdi","Alexandria Engineering Journal 61 (8), 6221-6236",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17842543955837568076,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:Y0pCki6q_DkC
zScqWS4AAAAJ,18,Approximation by Operators for the Sheffer–Appell Polynomials,"MB Jeelani, AS Alnahdi","Symmetry 14 (12), 2672",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6879429254313721034,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:5nxA0vEk-isC
zScqWS4AAAAJ,19,Legendre spectral collocation method for distributed and Riesz fractional convection–diffusion and Schrödinger-type equation,"MA Abdelkawy, MB Jeelani, AS Alnahdi, TM Taha, EM Soluma","Boundary Value Problems 2022 (1), 1-15",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11847089796922098517,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:WF5omc3nYNoC
zScqWS4AAAAJ,20,Correction: Study of the Atangana-Baleanu-Caputo type fractional system with a generalized Mittag-Leffler kernel,"MB Jeelani, AS Alnahdi, MA Almalahi, MS Abdo, HA Wahash, MB Jeelani, ...","AIMS Mathematics 7 (12), 20543-20544",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
zScqWS4AAAAJ,21,Numerical investigations of the nonlinear smoke model using the Gudermannian neural networks,"Z Sabir, MAZ Raja, AS Alnahdi, MB Jeelani, MA Abdelkawy","Mathematical Biosciences and Engineering 19 (1), 351-370",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6885358799586626418,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:IjCSPb-OGe4C
zScqWS4AAAAJ,22,Mathematical modeling and forecasting of COVID-19 in Saudi Arabia under fractal-fractional derivative in caputo sense with power-law,"MB Jeelani, AS Alnahdi, MS Abdo, MA Abdulwasaa, K Shah, HA Wahash","Axioms 10 (3), 228",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1725179512069118441,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:qjMakFHDy7sC
zScqWS4AAAAJ,23,Legendre spectral collocation technique for fractional inverse heat conduction problem,"TMT MA Abdelkawy, Mohammed M Babatin, Abeer S Alnahdi",International Journal of Modern Physics C 2250065,2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14788233233877990463,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:Tyk-4Ss8FVUC
zScqWS4AAAAJ,24,Jacobi spectral collocation technique for time-fractional inverse heat equations,"MA Abdelkawy, AZM Amin, MM Babatin, AS Alnahdi, MA Zaky, RM Hafez","Fractal and Fractional 5 (3), 115",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2019365659895512883,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:2osOgNQ5qMEC
zScqWS4AAAAJ,25,On a nonlocal implicit problem under Atangana–Baleanu–Caputo fractional derivative,"AS Alnahdi, MB Jeelani, MS Abdo, SM Ali, S Saleh","Boundary Value Problems 2021, 1-18",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=492009810410494344,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:W7OEmFMy1HYC
zScqWS4AAAAJ,26,Fully Legendre spectral collocation technique for stochastic heat equations,"MA Abdelkawy, H Ahmad, MB Jeelani, AS Alnahdi","Open Physics 19 (1), 921-931",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2914045338381958792,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:YsMSGLbcyi4C
zScqWS4AAAAJ,27,Study of the Atangana-Baleanu-Caputo type fractional system with a generalized Mittag-Leffler kernel,"MB Jeelani, AS Alnahdi, MA Almalahi, MS Abdo, HA Wahash, ...","AIMS Mathematics 7 (2), 2001-2018",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5159211890543300779,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:UeHWp8X0CEIC
zScqWS4AAAAJ,28,Localized patterns in periodically forced systems: II. Patterns with nonzero wavenumber,"AS Alnahdi, J Niesen, AM Rucklidge","SIAM Journal on Applied Dynamical Systems 17 (2), 1478-1502",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7122217506659337298,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:u-x6o8ySG0sC
zScqWS4AAAAJ,29,Localized patterns in periodically forced systems,"AS Alnahdi, J Niesen, AM Rucklidge","SIAM Journal on Applied Dynamical Systems 13 (3), 1311-1327",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13229046772269484579,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zScqWS4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zScqWS4AAAAJ:d1gkVwhDpl0C
