Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
-Jp7r8wAAAAJ,1,Promoting the suitability of graphitic bio-carbon nitride and metal oxide nanoparticles: A review of sulfonamides photocatalytic degradation,"ZU Zango, MA Lawal, F Usman, A Sulieman, H Akhdar, MH Eisa, ...",Chemosphere 141218,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7672605946673006880,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:zA6iFVUQeVQC
-Jp7r8wAAAAJ,2,Photo-responsive analysis of branchy dendrites-like CuO/PS pn junction visible light photodetector,"EY Salih, A Ramizy, AS Mohammed, KH Ibnaouf, MH Eisa, O Aldaghri","Materials Science and Engineering: B 301, 117172",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2522084073983941490,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:3s1wT3WcHBgC
-Jp7r8wAAAAJ,3,Removal of rhodamine blue dye from wastewaters by using perovskite@ 2D-layered nanostructured LaCoO3@ g-C3N4 as super-nanosorbent material,"O Aldaghri, KH Ibnaouf, H Idriss, A Modwi, M Bououdina, GZ Kyzas","Science of The Total Environment 906, 167685",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3373877753954972186,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:ldfaerwXgEUC
-Jp7r8wAAAAJ,4,A review on carbon-based biowaste and organic polymer materials for sustainable treatment of sulfonamides from pharmaceutical wastewater,"ZU Zango, KS Khoo, A Garba, MA Lawal, AZ Abidin, IA Wadi, MH Eisa, ...","Environmental Geochemistry and Health 46 (4), 145",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2753757519453866601,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:NhqRSupF_l8C
-Jp7r8wAAAAJ,5,CaO@ ZrO2@ g-C3N4 nanosorbent for superior malachite green dye selectivity and adsorption from contaminated water,"O Aldaghri, BA El-Badry, KH Ibnaouf, KK Taha, MAB Aissa, A Modwi",Diamond and Related Materials 110944,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17269302096991064849,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:a0OBvERweLwC
-Jp7r8wAAAAJ,6,Development of ZnO and Si semiconductor-based ultraviolet photodetectors enhanced by laser-ablated silver nanoparticles,"AM Alharbi, NM Ahmed, AA Rahman, NZN Azman, S Algburi, IA Wadi, ...","Photonics and Nanostructures-Fundamentals and Applications 58, 101228",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18018310315917855191,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:fPk4N6BV_jEC
-Jp7r8wAAAAJ,7,Potential of nanoporous graphene and functionalized nanoporous graphene derived nanocomposites for environmental membranes–a review,"A Kausar, I Ahmad, O Aldaghri, KH Ibnaouf, MH Eisa, TD Lam","Nanocomposites 10 (1), 152-172",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10546436935985485951,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:abG-DnoFyZgC
-Jp7r8wAAAAJ,8,"Cutting-edge green nanoclay nanocomposites—fundamentals and technological opportunities for packaging, dye removal, and biomedical sectors","A Kausar, I Ahmad, O Aldaghri, KH Ibnaouf, MH Eisa, TD Lam","Nanocomposites 10 (1), 172-196",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13867860701282954606,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:b0M2c_1WBrUC
-Jp7r8wAAAAJ,9,A review on titanium oxide nanoparticles modified metal-organic frameworks for effective CO2 conversion and efficient wastewater remediation,"ZU Zango, KS Khoo, A Garba, ZN Garba, UN Danmallam, O Aldaghri, ...",Environmental Research 119024,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10357862733928407401,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:1sJd4Hv_s6UC
-Jp7r8wAAAAJ,10,A response surface methodology approach to crafting superior performance of potassium salt-based solid biopolymer electrolytes,"AA Adam, H Soleimani, JO Dennis, O Aldaghri, R Alhathlool, MH Eisa, ...","Measurement 227, 114210",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10439530287515674821,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:u_35RYKgDlwC
-Jp7r8wAAAAJ,11,Biosynthesis of copper nanoparticles using Alstonia scholaris leaves and its antimicrobial studies,"AN Labaran, ZU Zango, G Tailor, A Alsadig, F Usman, MT Mukhtar, ...","Scientific Reports 14 (1), 5589",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9187297659577347138,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:f2IySw72cVMC
-Jp7r8wAAAAJ,12,Efficient photodecolorization of Congo red by CaMgO2@ g-C3N4 nanocomposite,"O Aldaghri, L Alqarni, A Modwi, H Idriss, R Abumousa, MKM Ali, ...","Journal of Materials Science: Materials in Electronics 35 (7), 1-16",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15249780935471864672,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:yD5IFk8b50cC
-Jp7r8wAAAAJ,13,Ternary nanohybrid CaZrO3@ g-C3N4 as an efficient adsorbent for Cu (II) ions removal,"A Modwi, O Aldaghri, KH Ibnaouf, KK Taha, M Bououdina","Journal of Water Process Engineering 59, 104956",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11779757036071642448,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:4OULZ7Gr8RgC
-Jp7r8wAAAAJ,14,Solution processed self-powered broadband flower-like Zn (Al) O-mixed metal oxide dye sensitized photodetector,"EY Salih, A Ramizy, O Aldaghri, MH Eisa, KH Ibnaouf",Materials Letters 136213,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=184534142807178497,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:cFHS6HbyZ2cC
-Jp7r8wAAAAJ,15,Efficient Rhodamine B dye uptake onto MgZrO3@ g-C3N4 nanostructures: Fabrication and adsorption mechanism,"R Alhathlool, O Aldaghri, KH Ibnaouf, LS Alqarni, A Modwi, KK Taha, ...","Inorganic Chemistry Communications 165, 112477",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-Jp7r8wAAAAJ,16,Degradation of Methyl Red (MR) dye via fabricated Y2O3–MgO/g-C3N4 nanostructures: Modification of band gap and photocatalysis under visible light,"AA Alharbi, O Aldaghri, BA El-Badry, KH Ibnaouf, F Alfadhl, A Albadri, ...","Optical Materials 152, 115443",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-Jp7r8wAAAAJ,17,Development of inorganic and mixed matrix membranes for application in toxic dyes-contaminated industrial effluents with in-situ treatments,"ZU Zango, KS Khoo, AF Ali, AZ Abidin, MU Zango, JW Lim, IA Wadi, ...",Environmental Research 119235,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-Jp7r8wAAAAJ,18,EPR steering and parameter estimation in the context of dephasing of two interacting qubits,"K Berrada, O Aldaghri, A Sabik, H Eleuch","Results in Physics 60, 107689",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-Jp7r8wAAAAJ,19,Chitosan-based nanomaterials in decontamination of inorganic species,"S Malik, A Khan, M Bououdina, N Ali, OA Aldaghri",Chitosan-Based Hybrid Nanomaterials 211-224,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-Jp7r8wAAAAJ,20,Current status of chitosan nanostructures in the field of environmental remediation,"S Malik, A Khan, M Bououdina, N Ali, OA Aldaghri",Chitosan-Based Hybrid Nanomaterials 395-416,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-Jp7r8wAAAAJ,21,Challenges and future prospects of chitosan nanostructures in environmental remediation,"S Malik, A Khan, M Bououdina, N Ali, S Khan, S Rahman, M Ali, MH Khan, ...",Chitosan-Based Hybrid Nanomaterials 417-437,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-Jp7r8wAAAAJ,22,Machine-learning-driven accelerated design-method for meta-devices,"S Ijaz, S Noureen, B Rehman, O Aldaghri, H Cabrera, KH Ibnaouf, ...","Materials Today Communications 37, 106951",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15881100184134766250,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:vV6vV6tmYwMC
-Jp7r8wAAAAJ,23,A Review of Current Trends on Polyvinyl Alcohol (PVA)-Based Solid Polymer Electrolytes,"JO Dennis, MF Shukur, OA Aldaghri, KH Ibnaouf, AA Adam, F Usman, ...","Molecules 28 (4), 1781",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13481162087631393949,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:JV2RwH3_ST0C
-Jp7r8wAAAAJ,24,Applications of covalent organic frameworks for the elimination of dyes from wastewater: A state-of-the-arts review,"ZU Zango, AM Binzowaimil, OA Aldaghri, MH Eisa, A Garba, NM Ahmed, ...","Chemosphere 343, 140223",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7548728787378341388,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:2P1L_qKh6hAC
-Jp7r8wAAAAJ,25,Response surface methodology and artificial neural network for prediction and validation of bisphenol a adsorption onto zeolite imidazole framework,"A Mahmad, ZU Zango, TU Noh, F Usman, OA Aldaghri, KH Ibnaouf, ...","Groundwater for Sustainable Development 21, 100925",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10719776302221036937,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:bEWYMUwI8FkC
-Jp7r8wAAAAJ,26,Polymer/Graphene Nanocomposites via 3D and 4D Printing—Design and Technical Potential,"A Kausar, I Ahmad, T Zhao, O Aldaghri, MH Eisa","Processes 11 (3), 868",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9160995313191802471,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:BqipwSGYUEgC
-Jp7r8wAAAAJ,27,L-Arginine Grafted Chitosan as Corrosion Inhibitor for Mild Steel Protection,"SN Dalhatu, KA Modu, AA Mahmoud, ZU Zango, AB Umar, F Usman, ...","Polymers 15 (2), 398",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1827368952020470524,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:4JMBOYKVnBMC
-Jp7r8wAAAAJ,28,Graphene Nanocomposites as Innovative Materials for Energy Storage and Conversion—Design and Headways,"A Kausar, I Ahmad, T Zhao, O Aldaghri, KH Ibnaouf, MH Eisa","International Journal of Molecular Sciences 24 (14), 11593",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2177646749694713933,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:RGFaLdJalmkC
-Jp7r8wAAAAJ,29,Advancements in Clay Materials for Trace Level Determination and Remediation of Phenols from Wastewater: A Review,"ZU Zango, MNH Rozaini, NHHA Bakar, MU Zango, MA Haruna, ...","Separations 10 (2), 125",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4110522361637450909,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:maZDTaKrznsC
-Jp7r8wAAAAJ,30,Green-Synthesized Graphene for Supercapacitors—Modern Perspectives,"A Kausar, I Ahmad, T Zhao, MH Eisa, O Aldaghri, M Gupta, P Bocchetta","Journal of Composites Science 7 (3), 108",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2716846308895828881,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:hMod-77fHWUC
-Jp7r8wAAAAJ,31,Rapid fabrication of fast response CdS/Si visible light photodetector: Influence of laser energy,"O Aldaghri, EY Salih, A Ramizy, AS Mohammed, KH Ibnaouf, MH Eisa","Results in Physics 54, 107112",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2883239336554912124,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:M05iB0D1s5AC
-Jp7r8wAAAAJ,32,"Nanocomposite Foams of Polyurethane with Carbon Nanoparticles—Design and Competence towards Shape Memory, Electromagnetic Interference (EMI) Shielding, and Biomedical Fields","A Kausar, I Ahmad, T Zhao, O Aldaghri, KH Ibnaouf, MH Eisa","Crystals 13 (8), 1189",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1615733319859842080,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:ns9cj8rnVeAC
-Jp7r8wAAAAJ,33,Insight into the Effect of Glycerol on Dielectric Relaxation and Transport Properties of Potassium-Ion-Conducting Solid Biopolymer Electrolytes for Application in Solid-State …,"AA Adam, H Soleimani, JO Dennis, OA Aldaghri, A Alsadig, KH Ibnaouf, ...","Molecules 28 (8), 3461",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3921242721513338472,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:YFjsv_pBGBYC
-Jp7r8wAAAAJ,34,Graphene in Polymeric Nanocomposite Membranes—Current State and Progress,"A Kausar, I Ahmad, T Zhao, O Aldaghri, MH Eisa","Processes 11 (3), 927",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2739184329272341759,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:NMxIlDl6LWMC
-Jp7r8wAAAAJ,35,"Shape Memory Graphene Nanocomposites—Fundamentals, Properties, and Significance","A Kausar, I Ahmad, O Aldaghri, KH Ibnaouf, MH Eisa","Processes 11 (4), 1171",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1725473464637597082,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:blknAaTinKkC
-Jp7r8wAAAAJ,36,Synthesis and Deposition of Silver Nanowires on Porous Silicon as an Ultraviolet Light Photodetector,"AAM Alqanoo, NM Ahmed, MR Hashim, MA Almessiere, SA Taya, ...","Nanomaterials 13 (2), 353",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17586949803617489741,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:j3f4tGmQtD8C
-Jp7r8wAAAAJ,37,Graphene Nanocomposites for Electromagnetic Interference Shielding—Trends and Advancements,"A Kausar, I Ahmad, T Zhao, O Aldaghri, KH Ibnaouf, MH Eisa, TD Lam","Journal of Composites Science 7 (9), 384",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16198143686378686466,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:70eg2SAEIzsC
-Jp7r8wAAAAJ,38,Nanocomposite Nanofibers of Graphene—Fundamentals and Systematic Developments,"A Kausar, I Ahmad, T Zhao, O Aldaghri, KH Ibnaouf, MH Eisa","Journal of Composites Science 7 (8), 323",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1630100264235689345,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:RYcK_YlVTxYC
-Jp7r8wAAAAJ,39,"Multifunctional Polymeric Nanocomposites for Sensing Applications—Design, Features, and Technical Advancements","A Kausar, I Ahmad, T Zhao, O Aldaghri, KH Ibnaouf, MH Eisa","Crystals 13 (7), 1144",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2500223107945487485,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:NaGl4SEjCO4C
-Jp7r8wAAAAJ,40,Detection of Kidney Complications Relevant Concentrations of Ammonia Gas Using Plasmonic Biosensors: A Review,"F Usman, KH Ghazali, R Muda, JO Dennis, KH Ibnaouf, OA Aldaghri, ...","Chemosensors 11 (2), 119",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10520093175526936320,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:iH-uZ7U-co4C
-Jp7r8wAAAAJ,41,Spectral Behavior of a Conjugated Polymer MDMO-PPV Doped with ZnO Nanoparticles: Thin Films,"BB Abdelaziz, N Mustapha, IM Bedja, O Aldaghri, H Idriss, M Ibrahem, ...","Nanomaterials 13 (17), 2405",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18024739928627468660,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:35N4QoGY0k4C
-Jp7r8wAAAAJ,42,Investigating the Role of Temperature in Laser Assisted Chemical Bath Deposition for ZnO Growth for Photodetector Application,"NM Ahmed, LX Qi, AS Alshammari, A Muhson Naji, H Cabrera, ...","Photonics 10 (8), 910",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8356579326257336271,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-Jp7r8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-Jp7r8wAAAAJ:lSLTfruPkqcC
