Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
-qYSp6EAAAAJ,1,Composite super-adsorbents of chitosan/activated carbon for the removal of nonsteroidal anti-inflammatory drug from wastewaters,"Y Dago-Serry, KN Maroulas, AK Tolkou, N AbdelAll, AN Alodhayb, ...","Journal of Molecular Structure 1298, 137044",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10826479168025464454,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:QIV2ME_5wuYC
-qYSp6EAAAAJ,2,Realizing the topological rainbow based on cavity-coupled topological edge state,"N AbdelAll, M Almokhtar, G Khouqeer, SE Soliman","Optics & Laser Technology 171, 110351",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=488939238738136830,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:4DMP91E08xMC
-qYSp6EAAAAJ,3,"An investigation for optical, photocatalytic, photoluminescence and dielectric properties of Cd0. 40Ni0. 60ZnO2 annealed nanocomposites","NA All, A Sedky, M Mohamed, N Afify, G Khouqeer, M Almokhtar","Journal of Alloys and Compounds 990, 174432",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-qYSp6EAAAAJ,4,Design and Simulation of Dielectrically Modulated Dual Material Gate-Stack Double-Gate FinFET Biosensor,"A Pattnaik, SK Mohapatra, A Dastidar, OP Acharya, N AbdelAll, ...","ECS Journal of Solid State Science and Technology 13 (5), 057002",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-qYSp6EAAAAJ,5,Multifunctional topological photonic crystal device for multichannel frequency routing and highly sensitive refractive index sensing,"N AbdelAll, M Almokhtar, G Khouqeer, MSM Esmail, I Abood, ...","Physica Scripta 99 (5), 055539",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-qYSp6EAAAAJ,6,Raman characteristics of graphene/quartz and graphene/Ag nanoparticles/quartz substrate: Laser power dependence,"NA All, G Khouqeer, M Almokhtar","Optical Materials 149, 115118",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-qYSp6EAAAAJ,7,Super-hydrophobic chitosan/graphene-based aerogels for oil absorption,"KN Maroulas, DG Trikkaliotis, ZS Metaxa, N AbdelAll, A Alodhayb, ...","Journal of Molecular Liquids 390, 123071",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5747940261393970635,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:ULOm3_A8WrAC
-qYSp6EAAAAJ,8,Structural and photoluminescence study of thin GaN and AlN/GaN nanowires,N Abdel All,"Journal of Materials Science: Materials in Electronics 34 (10), 881",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9600086832957428054,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:KlAtU1dfN6UC
-qYSp6EAAAAJ,9,Bibliometric research analysis of molecularly imprinted polymers (MIPs): evidence and research activity dynamics,"N Mittas, DA Gkika, K Georgiou, AN Alodhayb, N AbdelAll, GA Khouqeer, ...","Environmental Science and Pollution Research 30 (57), 119903-119924",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-qYSp6EAAAAJ,10,Low temperature photoluminescence study of AlxGa1-xN/GaN/AlxGa1-xN heterostructure nanocolumns,"NA All, J ElGhoul, M Almokhtar","J Mater Sci: Mater Electron 34, 1581",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-qYSp6EAAAAJ,11,"Synthesis, characterization and heating efficiency of Gd-doped maghemite (γ-Fe2O3) nanoparticles for hyperthermia application","I Alotaibi, MS Alshammari, S Algessair, N Madkhali, NA All, M Hjiri, ...","Physica B: Condensed Matter 625, 413510",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=177423767230973136,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:Se3iqnhoufwC
-qYSp6EAAAAJ,12,Effect of ZnO nanofiller on structural and electrochemical performance improvement of solid polymer electrolytes based on polyvinyl alcohol–cellulose acetate–potassium …,"J Ojur Dennis, MKM Ali, KH Ibnaouf, O Aldaghri, NFM Abdel All, AA Adam, ...","Molecules 27 (17), 5528",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12779378121640667329,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:MXK_kJrjxJIC
-qYSp6EAAAAJ,13,"Effect of oxygen annealing treatment on structural, optical and electrical properties of In doped ZnO thin films prepared by PLD technique","S Mourad, J El Ghoul, A Khettou, B Mari, NA All, G Khouqeer, L El Mir, ...","Physica B: Condensed Matter 626, 413577",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15363582343864923171,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:UebtZRa9Y70C
-qYSp6EAAAAJ,14,Innovative methylcellulose-polyvinyl pyrrolidone-based solid polymer electrolytes impregnated with potassium salt: ion conduction and thermal properties,"AA Adam, MKM Ali, JO Dennis, H Soleimani, MFBA Shukur, KH Ibnaouf, ...","Polymers 14 (15), 3055",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1620715073127125348,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:8k81kl-MbHgC
-qYSp6EAAAAJ,15,Synthesis of hybrid nanocomposites by sol-gel method and their characterizations,"NB Mansour, G Khouqeer, NA All, JE Ghoul","J. Ovonic Res 18, 57-65",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14018192235354594535,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:0EnyYjriUFMC
-qYSp6EAAAAJ,16,Synthesis and characterizations of phosphorus doped ZnO nanoparticles,"J El Ghoul, NA All","Journal of Optoelectronic and Biomedical Materials Vol 14 (3), 137-144",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-qYSp6EAAAAJ,17,Photoluminescence enhancement associated with the small size of GaN nanorods,"M Almokhtar, NA All, JQM Almarashi, H Asahi",Journal of Alloys and Compounds 162408,2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18071475725804510255,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:roLk4NBRz8UC
-qYSp6EAAAAJ,18,Synthesis and Characterization of Ni-Doped ZnO Nanoparticles for CO2 Gas Sensing,"N Abdel All, J El Ghoul, G Khouqeer","Journal of Nanoelectronics and Optoelectronics 16 (11), 1762-1768",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2536536768738285693,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:5nxA0vEk-isC
-qYSp6EAAAAJ,19,Magnetic and optical investigation of Eumelanin-ZnO as organic-non-organic nanocomposite,"N Madkhali, NA All, S Algessair, SH Aodah","Optik 225, 165772",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10722896747612341035,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:LkGwnXOMwfcC
-qYSp6EAAAAJ,20,"Structural, Optical and Magnetic Properties of (Al, Ni) Co-Doped ZnO Nanoparticles","J El Ghoul, N Abdel All, G Khouqeer, MS Alshammari","Journal of Nanoelectronics and Optoelectronics 16 (9), 1372-1379",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
-qYSp6EAAAAJ,21,Comparative heating efficiency of hematite (α-Fe2O3) and nickel ferrite nanoparticles for magnetic hyperthermia application,"OM Lemine, N Madkhali, M Hjiri, NA All, MS Aida","Ceramics International 46 (18), 28821-28827",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2771263671564493360,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-qYSp6EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=-qYSp6EAAAAJ:_FxGoFyzp5QC
