Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
03RIVn0AAAAJ,1,"Probing Weyl-type f (Q, T) gravity: Cosmological implications and constraints","AHA Alfedeel, M Koussour, N Myrzakulov","Astronomy and Computing 47, 100821",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
03RIVn0AAAAJ,2,Exploring Thermoelastic Effects in Damped Bresse Systems with Distributed Delay,"A Choucha, D Ouchenane, SM Mirgani, EI Hassan, AHA Alfedeel, ...","Mathematics 12 (6), 857",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
03RIVn0AAAAJ,3,"Constrained evolution of effective equation of state parameter in non-linear f R, L m dark energy model: insights from Bayesian analysis of cosmic chronometers and Pantheon samples","N Myrzakulov, M Koussour, AHA Alfedeel, A Abebe","The European Physical Journal Plus 138 (9), 852",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4195429714618611573,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:kNdYIx-mwKoC
03RIVn0AAAAJ,4,Constraining the\begin {document} \end {document} cosmological model using recent observational data,"N Myrzakulov, M Koussour, AHA Alfedeel, H EI","Chinese Physics C 47 (11), 115107-115107-10",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12873729069108349759,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:ULOm3_A8WrAC
03RIVn0AAAAJ,5,Modeling cosmic acceleration with a generalized varying deceleration parameter,"M Koussour, N Myrzakulov, AHA Alfedeel, F Awad, M Bennai","Physics of the Dark Universe 42, 101339",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7515471391400365665,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:KlAtU1dfN6UC
03RIVn0AAAAJ,6,"Perturbations in Bianchi-V Spacetimes with Varying Λ, G and Viscous Fluids","A Abebe, AHA Alfedeel, D Sofuoğlu, EI Hassan, RK Tiwari","Universe 9 (2), 61",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14163122082754505296,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:roLk4NBRz8UC
03RIVn0AAAAJ,7,"Cosmological implications of the constant jerk parameter in f (Q, T) gravity theory","N Myrzakulov, M Koussour, AHA Alfedeel, HM Elkhair","Chinese Journal of Physics 86, 300-312",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9317101099310737224,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:Zph67rFs4hoC
03RIVn0AAAAJ,8,Constraining the cosmological model of modified f(Q) gravity: Phantom dark energy and observational insights,"M Koussour, N Myrzakulov, AHA Alfedeel, A Abebe","Progress of Theoretical and Experimental Physics 2023 (11), 113E01",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13528049446392470623,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:_kc_bZDykSQC
03RIVn0AAAAJ,9,Square-root parametrization of dark energy in f (Q) cosmology,"M Koussour, N Myrzakulov, AHA Alfedeel, EI Hassan, D Sofuoğlu, ...","Communications in Theoretical Physics 75 (12), 125403",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12626172782782001767,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:M3ejUd6NZC8C
03RIVn0AAAAJ,10,Constraining the cosmological model using recent observational data,"N Myrzakulov, M Koussour, AHA Alfedeel, EI Hassan","Chinese Physics C 47 (11), 115107",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8487930354968887420,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:8k81kl-MbHgC
03RIVn0AAAAJ,11,Impact of dark energy on the equation of state in light of the latest cosmological data,"N Myrzakulov, M Koussour, AHA Alfedeel, EI Hassan","Progress of Theoretical and Experimental Physics 2023 (9), 093E02",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18304943039706533883,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:3fE2CSJIrl8C
03RIVn0AAAAJ,12,"Cosmographic implications of f(R, T) gravitation","D Sofuoğlu, AHA Alfedeel, A Abebe","The European Physical Journal Plus 138 (8), 696",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4943557014960517951,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:5nxA0vEk-isC
03RIVn0AAAAJ,13,The Evolution of a Higher-Dimensional FRW Universe with Variable G and Λ and Particle Creation,AHA Alfedeel,"Universe 9 (6), 255",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14503785097482903720,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=03RIVn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=03RIVn0AAAAJ:0EnyYjriUFMC
