Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
0fNwcSsAAAAJ,1,Deep and hand-crafted features based on Weierstrass elliptic function for MRI brain tumor classification,"I Aldawish, HA Jalab","Journal of Intelligent Systems 33 (1), 20240106",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0fNwcSsAAAAJ,2,On Hermite–Hadamard-Type Inequalities for Functions Satisfying Second-Order Differential Inequalities,"I Aldawish, M Jleli, B Samet","Axioms 12 (5), 443",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12583380951135955914,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:hMod-77fHWUC
0fNwcSsAAAAJ,3,Nonexistence criteria for a generalized Boussinesq-type equation in bounded and unbounded domains,"I Aldawish, I Alazman, M Jleli, B Samet","Discrete and Continuous Dynamical Systems-S 16 (8), 2017-2029",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5041445865946583239,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:k_IJM867U9cC
0fNwcSsAAAAJ,4,Bell Distribution Series Defined on Subclasses of Bi-Univalent Functions That Are Subordinate to Horadam Polynomials,"I Aldawish, B Frasin, A Amourah","Axioms 12 (4), 362",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4746721727391109710,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:blknAaTinKkC
0fNwcSsAAAAJ,5,Formula for meromorphic symmetric differences operator with application in the theory of subordination inequality,I Aldawish,Heliyon 9 (2),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16385435600920442073,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:GnPB-g6toBAC
0fNwcSsAAAAJ,6,Studies on a new K-symbol analytic functions generated by a modified K-symbol Riemann-Liouville fractional calculus,"I Aldawish, RW Ibrahim","MethodsX 11, 102398",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6787549438488166035,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:J_g5lzvAfSwC
0fNwcSsAAAAJ,7,On the critical behavior for time-fractional reaction diffusion problems,"I Aldawish, B Samet","Discrete and Continuous Dynamical Systems-S 16 (8), 2030-2046",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8699685073051618077,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:M3NEmzRMIkIC
0fNwcSsAAAAJ,8,Applications of Shell-like Curves Connected with Fibonacci Numbers,"A Amourah, I Aldawish, BA Frasin, T Al-Hawary","Axioms 12 (7), 639",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15461470755271399685,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:O3NaXMp0MMsC
0fNwcSsAAAAJ,9,Investigation of the Second-Order Hankel Determinant for Sakaguchi-Type Functions Involving the Symmetric Cardioid-Shaped Domain,"K Ullah, M Arif, IM Aldawish, SM El-Deeb","Fractal and Fractional 7 (5), 376",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15262095519661596437,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:YFjsv_pBGBYC
0fNwcSsAAAAJ,10,Binomial Series-Confluent Hypergeometric Distribution and Its Applications on Subclasses of Multivalent Functions,"I Aldawish, SM El-Deeb, G Murugusundaramoorthy","Symmetry 15 (12), 2186",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0fNwcSsAAAAJ,11,On a New Ma-Minda Class of Analytic Functions Created by a Roulette Curve Formula,"I Aldawish, RW Ibrahim","Symmetry 15 (10), 1913",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0fNwcSsAAAAJ,12,Boundedness in the Bloch Space of Symmetric Domain for a Class of Multi-Valent Meromorphic Functions Given by a Fractional Integral,"I Aldawish, RW Ibrahim","Symmetry 15 (9), 1761",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0fNwcSsAAAAJ,13,Complex-Variable Dynamic System of Layla and Majnun Model with Analytic Solutions,"I Aldawish, RW Ibrahim","Symmetry 15 (8), 1557",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0fNwcSsAAAAJ,14,A (3+ 1)-dimensional equation of plasma drift waves perturbed by a singular potential in an infinite parallelepiped,"I Aldawish, I Alazman, M Jleli, B Samet","Journal of Physics A: Mathematical and Theoretical 56 (26), 265205",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0fNwcSsAAAAJ,15,A One-Dimensional Time-Fractional Damped Wave Equation with a Convection Term,"I Aldawish, M Jleli, B Samet","Symmetry 15 (5), 1071",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0fNwcSsAAAAJ,16,Hyperbolic inequalities with a Hardy potential singular on the boundary of an annulus,"I Alazman, I Aldawish, M Jleli, B Samet","AIMS Mathematics 8 (5), 11629-11650",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0fNwcSsAAAAJ,17,A higher order evolution inequality with a gradient term in the exterior of the half-ball,"I Alazman, I Aldawish, M Jleli, B Samet","AIMS Mathematics 8 (4), 9230-9246",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0fNwcSsAAAAJ,18,Third Hankel determinant for the logarithmic coefficients of starlike functions associated with sine function,"B Khan, I Aldawish, S Araci, MG Khan","Fractal and Fractional 6 (5), 261",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5029377595607307984,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:Zph67rFs4hoC
0fNwcSsAAAAJ,19,Fekete–Szegö Functional Problem for a Special Family of m-Fold Symmetric Bi-Univalent Functions,"SR Swamy, BA Frasin, I Aldawish","Mathematics 10 (7), 1165",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13245341151702650757,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:KlAtU1dfN6UC
0fNwcSsAAAAJ,20,A new mathematical model of multi-faced COVID-19 formulated by fractional derivative chains,"I Aldawish, RW Ibrahim","Advances in Continuous and Discrete Models 2022 (1), 6",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6207857737526813424,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:W7OEmFMy1HYC
0fNwcSsAAAAJ,21,On subclasses of analytic functions associated with Struve functions,"BA Frasin, T Al-Hawary, F Yousef, I Aldawish","Nonlinear Functional Analysis and Applications 27 (1), 99-110",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6920336549324336348,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:kNdYIx-mwKoC
0fNwcSsAAAAJ,22,A Special Family of m-Fold Symmetric Bi-Univalent Functions Satisfying Subordination Condition,"I Aldawish, SR Swamy, BA Frasin","Fractal and Fractional 6 (5), 271",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4405206871619108610,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:ULOm3_A8WrAC
0fNwcSsAAAAJ,23,Estimation of the second-order Hankel determinant of logarithmic coefficients for two subclasses of starlike functions,"P Sunthrayuth, I Aldawish, M Arif, M Abbas, S El-Deeb","Symmetry 14 (10), 2039",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8249262866819947635,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:mVmsd5A6BfQC
0fNwcSsAAAAJ,24,An application of Rabotnov functions on certain subclasses of bi-univalent functions,"A Amourah, I Aldawish, KR Alhindi, BA Frasin","Axioms 11 (12), 680",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4388875993031294283,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:QIV2ME_5wuYC
0fNwcSsAAAAJ,25,Necessary conditions for the existence of global solutions to nonlinear fractional differential inequalities and systems,"I Aldawish, B Samet","Journal of Function Spaces 2022 (1), 4347755",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12141906658859878071,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:UebtZRa9Y70C
0fNwcSsAAAAJ,26,Necessary and Sufficient Conditions for Normalized Wright Functions to be in Certain Classes of Analytic Functions,"T Al-Hawary, I Aldawish, BA Frasin, O Alkam, F Yousef","Mathematics 10 (24), 4693",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1896069641974576259,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:dhFuZR0502QC
0fNwcSsAAAAJ,27,Blow-up of solutions to fractional differential inequalities involving ψ-Caputo fractional derivatives of different orders,"I Aldawish, M Jleli, B Samet","AIMS Mathematics 7 (5), 9189-9205",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18351118026286519255,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0fNwcSsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0fNwcSsAAAAJ:8k81kl-MbHgC
