Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
0qa3raMAAAAJ,1,Removal of rhodamine blue dye from wastewaters by using perovskite@ 2D-layered nanostructured LaCoO3@ g-C3N4 as super-nanosorbent material,"O Aldaghri, KH Ibnaouf, H Idriss, A Modwi, M Bououdina, GZ Kyzas","Science of The Total Environment 906, 167685",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3373877753954972186,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:4OULZ7Gr8RgC
0qa3raMAAAAJ,2,Efficient photodecolorization of Congo red by CaMgO2@g-C3N4 nanocomposite,"O Aldaghri, L Alqarni, A Modwi, H Idriss, R Abumousa, MKM Ali, ...","Journal of Materials Science: Materials in Electronics 35 (7), 478",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15249780935471864672,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:f2IySw72cVMC
0qa3raMAAAAJ,3,Influence of Maqian essential oil on gut microbiota and immunoresponses in type 1 diabetes: In silico study,"HLS Mahmoud Dahab , Hajo Idris , Ping Zhang , Mohammed Aladhadh , Eid A ...","Heliyon 10 (8), 2405-8440",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0qa3raMAAAAJ,4,Adsorption kinetics behavior of MB dye on CaO nanosheets,"*A. Modwia , M. A. Aissaa , A. I. Alakhrasb,c, H. Idrissc,d","Journal of Ovonic Research 20 (1), 93-102",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0qa3raMAAAAJ,5,Ba2+ removal from aquatic medium via TiY2O5@ g-C3N4 nanocomposites,"A Modwi, H Idriss, L Khezami, A Albadri, M Ismail, AA Assadi, ...","Diamond and Related Materials 135, 109830",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5754016092494335278,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:35N4QoGY0k4C
0qa3raMAAAAJ,6,Stripping of Cu ion from aquatic media by means of MgY2O4@ g-C3N4 nanomaterials,"A Modwi, H Idriss, L Khezami, A Albadri, M Ismail, AA Assadi, ...","Water 15 (6), 1188",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5289429107867229119,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:2P1L_qKh6hAC
0qa3raMAAAAJ,7,Spices as sustainable food preservatives: a comprehensive review of their antimicrobial potential,"AME Sulieman, EM Abdallah, NA Alanazi, A Ed-Dra, A Jamal, H Idriss, ...","Pharmaceuticals 16 (10), 1451",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12637387781586762414,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:dfsIfKJdRG4C
0qa3raMAAAAJ,8,"Inhibitory Activity of Saussurea costus Extract against Bacteria, Candida, Herpes, and SARS-CoV-2","H Idriss, B Siddig, P González-Maldonado, HM Elkhair, AI Alakhras, ...","Plants 12 (3), 460",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3081138173161385610,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:vV6vV6tmYwMC
0qa3raMAAAAJ,9,"Unveiling Chemical, Antioxidant and Antibacterial Properties of Fagonia indica Grown in the Hail Mountains, Saudi Arabia","AME Sulieman, E Alanaizy, NA Alanaizy, EM Abdallah, H Idriss, ZA Salih, ...","Plants 12 (6), 1354",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8218897857501071182,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:70eg2SAEIzsC
0qa3raMAAAAJ,10,Photocatalytic degradation of Congo red pigment by V2O5–TiO2 nanohybrid,"H Idriss, MA Ibrahem, A Modwi","Zeitschrift für Naturforschung A 78 (1), 67-76",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13698841430301459172,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:ns9cj8rnVeAC
0qa3raMAAAAJ,11,Spectral Behavior of a Conjugated Polymer MDMO-PPV Doped with ZnO Nanoparticles: Thin Films,"BB Abdelaziz, N Mustapha, IM Bedja, O Aldaghri, H Idriss, M Ibrahem, ...","Nanomaterials 13 (17), 2405",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18024739928627468660,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:fPk4N6BV_jEC
0qa3raMAAAAJ,12,Exploring the photodynamic profile of laser-generated exciplex from a conjugated polymer,"O Aldaghri, A Alsadig, H Idriss, MKM Ali, MA Ibrahem, KH Ibnaouf","Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy 300, 122929",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0qa3raMAAAAJ,13,"Natural Radioactivity of Granitic Rocks and Their Health Risk around Ingesana Mountains, Sudan","N Fadol, A Abdelrazig, H Idriss, Y Alashban, N Shubayr",Health Physics 10.1097,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0qa3raMAAAAJ,14,Congo red pigment weeding out from water media via RuO2@ZnO nanostructure,"AM H. Idrissa,b,* , A. I. Alakhrasb,c","Journal of Optoelectronic and Biomedical Materials 15 (4), 115-125",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0qa3raMAAAAJ,15,Synthesis and Design of novel morpholinyl mannich bases for Potential Inhibitory Activity of SARS-CoV-2 Main Protease,"5 Mohamed R. Elamin1 *, Sondos Abdullah J Almahmoud1 , Tarek A. Yousef1,2 ...","ORIENTAL JOURNAL OF CHEMISTRY 39 (2), 284-289",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0qa3raMAAAAJ,16,Optical and Electrical Profile of Light Emitting Diodes Based on Oligomer/ZnO Nanopowder: Perspective,"4 Boutheina Ben Abdelaziz1 , Nazir Mustapha2 *, Abbas I. Alakhras3,4 and ...","ORIENTAL JOURNAL OF CHEMISTRY 39 (2), 255-262",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0qa3raMAAAAJ,17,Cleanup of Cd II from water media using Y2O3@ gC3N4 (YGCN) nanocomposite,"O Aldaghri, A Modwi, H Idriss, MKM Ali, KH Ibnaouf","Diamond and Related Materials 129, 109315",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12257435356913276623,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:O3NaXMp0MMsC
0qa3raMAAAAJ,18,"Excellent Adsorption of Dyes via MgTiO3@g-C3N4 Nanohybrid: Construction, Description and Adsorption Mechanism","A Modwi, MR Elamin, H Idriss, NY Elamin, FA Adam, AE Albadri, ...","Inorganics 10 (11), 210",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9760753132815545397,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:RGFaLdJalmkC
0qa3raMAAAAJ,19,Detoxification of Pb (II) from aquatic media via CaMgO2@ g-C3N4 nanocomposite,"MKM Ali, A Modwi, H Idriss, O Aldaghri, M Ismail, KH Ibnaouf","Materials Letters 322, 132501",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16202741951501852445,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0qa3raMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0qa3raMAAAAJ:hMod-77fHWUC
