Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
2_ap8E8AAAAJ,1,A comparative study of pyridine and pyrimidine derivatives based formamidine for copper corrosion inhibition in nitric acid: Experimental and computational exploration,"A Fawzy, OK Alduaij, A Al-Bahir, DA Alshammari, N Alqarni, AM Eldesoky, ...","International Journal of Electrochemical Science 19 (1), 100403",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14175285950403395285,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:J_g5lzvAfSwC
2_ap8E8AAAAJ,2,"Electrochemical, spectroscopic, kinetic and surface analysis of the inhibitory performance of Alcian blue dye for copper corrosion in sulfuric acid solution","A Fawzy, A Toghan, OK Alduaij, N Alqarni, AM Eldesoky, AA Farag","International Journal of Electrochemical Science 19 (1), 100429",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1972695423389226012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:RYcK_YlVTxYC
2_ap8E8AAAAJ,3,Effect of adsorption and interactions of new triazole-thione-Schiff bases on the corrosion rate of carbon steel in 1 M HCl solution: theoretical and experimental evaluation,"A Toghan, OK Alduaij, A Fawzy, AM Mostafa, AM Eldesoky, AA Farag","ACS omega 9 (6), 6761-6772",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1203515404109345955,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:vV6vV6tmYwMC
2_ap8E8AAAAJ,4,"Electrochemical, gravimetric, quantum chemical and computational investigations on an effective synthetic chlorinated cyclic imide derivative as a corrosion inhibitor for …","A Toghan, AA Farag, OK Alduaij, HM Elabbasy, HM Dardeer, EM Masoud, ...","Journal of Molecular Structure 1307, 138040",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8315547606309227169,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:lSLTfruPkqcC
2_ap8E8AAAAJ,5,Corrosion inhibition performance of copper using N-benzylhy-drazinecarbothioamide in a 3.5% NaCl solution,"A Toghan, H Alhussain, A Attia, OK Alduaij, A Fawzy, AM Eldesoky, ...","Journal of Electrochemical Science and Engineering 14 (2), 231-245",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18179846735729383936,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:70eg2SAEIzsC
2_ap8E8AAAAJ,6,"Effective Treatment Methodology for Environmental Safeguard Catalytic Degradation of Fluconazole by Permanganate Ions in Different Acidic Environments: Kinetics, Mechanistics …","A Toghan, A Fawzy, N Alqarni, AM Eldesoky, OK Alduaij, AA Farag","ACS omega 9 (9), 10190-10200",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13005122029382968183,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:35N4QoGY0k4C
2_ap8E8AAAAJ,7,Mesoporous activated carbon produced from mixed wastes of oil palm frond and palm kernel shell using microwave radiation-assisted K2CO3 activation for methylene blue dye …,"K Jasri, AS Abdulhameed, AH Jawad, ZA ALOthman, TA Yousef, ...","Diamond and Related Materials 131, 109581",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8110392630041636741,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:YFjsv_pBGBYC
2_ap8E8AAAAJ,8,Fruit peel-based mesoporous activated carbon via microwave assisted K2CO3 activation: Box Behnken design and desirability function for methylene blue dye …,"TA Yousef, UK Sahu, AH Jawad, NN Abd Malek, OK Al Duaij, ...","International Journal of Phytoremediation 25 (9), 1142-1154",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3765002925184601601,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:blknAaTinKkC
2_ap8E8AAAAJ,9,"Influence of deposition time on structural, morphological, and optical properties of CdS thin films grown by low-cost chemical bath deposition","A El-Shaer, S Ezzat, MA Habib, OK Alduaij, TM Meaz, SA El-Attar","Crystals 13 (5), 788",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1857795678339674328,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:O3NaXMp0MMsC
2_ap8E8AAAAJ,10,Advancement of physical and photoelectrochemical properties of nanostructured CdS thin films toward optoelectronic applications,"W Ismail, G Ibrahim, MA Habib, OK Alduaij, M Abdelfatah, A El-Shaer","Nanomaterials 13 (11), 1764",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18101807270984719819,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:NaGl4SEjCO4C
2_ap8E8AAAAJ,11,"Enhancement of Structural, Optical and Photoelectrochemical Properties of n−Cu2O Thin Films with K Ions Doping toward Biosensor and Solar Cell Applications","M Abdelfatah, N Darwesh, MA Habib, OK Alduaij, A El-Shaer, W Ismail","Nanomaterials 13 (7), 1272",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15227704462755099704,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:ns9cj8rnVeAC
2_ap8E8AAAAJ,12,Production of large surface area activated carbon from a mixture of carrot juice pulp and pomegranate peel using microwave radiation-assisted ZnCl2 activation: an optimized …,"A Suhaimi, AS Abdulhameed, AH Jawad, TA Yousef, OK Al Duaij, ...","Diamond and related materials 130, 109456",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10471565500023078281,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:maZDTaKrznsC
2_ap8E8AAAAJ,13,High-Surface-Area-Activated Carbon Derived from Mango Peels and Seeds Wastes via Microwave-Induced ZnCl2 Activation for Adsorption of Methylene Blue Dye …,"NS Razali, AS Abdulhameed, AH Jawad, ZA ALOthman, TA Yousef, ...","Molecules 27 (20), 6947",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8136442018765894650,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:M3NEmzRMIkIC
2_ap8E8AAAAJ,14,Optimized removal process and tailored adsorption mechanism of crystal violet and methylene blue dyes by activated carbon derived from mixed orange peel and watermelon rind …,"NAM Hanafi, AS Abdulhameed, AH Jawad, ZA ALOthman, TA Yousef, ...",Biomass Conversion and Biorefinery 1-13,2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5507834729080191954,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2_ap8E8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2_ap8E8AAAAJ:BqipwSGYUEgC
