Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
2i9mLfMAAAAJ,1,Green Luminescence in Zero-Dimensional Lead bromide hybrid material (C5H9N3) 2PbBr6: Experimental and Theoretical Studies,"MI Houchati, H Ferjani, YB Smida, A Oueslati, N Chniba-Boudjada, ...","Journal of Molecular Structure 1295, 136687",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15722883441814504990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2i9mLfMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2i9mLfMAAAAJ:pAkWuXOU-OoC
2i9mLfMAAAAJ,2,"Phyto-mediated synthesis of Ag, ZnO, and Ag/ZnO nanoparticles from leave extract of Solanum macrocarpon: Evaluation of their antioxidant and anticancer activities","MYA Mohamed, H Ferjani, OE Ogunjinmi, M Jalouli, DC Onwudiwe","Inorganica Chimica Acta 569, 122086",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=502924721107423224,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2i9mLfMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2i9mLfMAAAAJ:69ZgNCALVd0C
2i9mLfMAAAAJ,3,"Synthesis, crystallographic structure, Hirshfeld surface analysis and DFT calculations of Schiff base (Z)-4-methyl-2-(((3-nitrophenyl) imino) methyl) phenol","E Hamidov, AA Agar, KE El-Kelany, N Dege, TA Yousef, H Ferjani, ...","Journal of Molecular Structure 1310, 138319",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=669860092494629596,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2i9mLfMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2i9mLfMAAAAJ:mWEH9CqjF64C
2i9mLfMAAAAJ,4,Synthesis of pn GCN/CuBi2O4 heterostructures for enhanced visible light photocatalysis,"DC Onwudiwe, OC Olatunde, VM Nkwe, OA Oyewo, AM Muliwa, H Ferjani, ...","Inorganic Chemistry Communications 162, 112193",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15846368823700996478,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2i9mLfMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2i9mLfMAAAAJ:2l5NCbZemmgC
2i9mLfMAAAAJ,5,DFT calculation and molecular docking studies of designing quinoline-derived anti-Alzheimer agents with NLO response,"A Jamal, H Ferjani, MSH Faizi, AYA Alzahrani","Journal of the Indian Chemical Society 101 (8), 101181",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,6,Microstructural properties and persulfate activation evaluation of cobalt-doped copper bismuth oxide,"OC Olatunde, H Ferjani, DC Onwudiwe","Journal of Molecular Structure 1307, 137914",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,7,Monoclinic α-Bi2O3 nanorods by microwave-assisted synthesis: Photocatalytic and antioxidant properties,"MYA Mohamed, H Ferjani, OA Oyewo, OE Ogunjinmi, SM Hamed, ...","Inorganic Chemistry Communications 165, 112557",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,8,Modeling a Graphene-Enhanced Surface Plasmon Resonance Sensor for Cancer Detection,"S Abdalla, H Ferjani, AM Alsaad, CJ Tavares, AD Telfah",Plasmonics 1-8,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,9,"NiO nanoparticles by thermal decomposition of complex and evaluation of the structural, morphological, and optical properties","DC Onwudiwe, NH Seheri, L Hlungwani, H Ferjani, R Rikhotso-Mbungela",Journal of Molecular Structure 139084,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,10,"Synthesis and Experimental Structure of a Multifunctional Catechol‐Azomethinebenzoic Acid, DFT/DMol3 Calculations, and Molecular Docking with Hsp90","H Bashir Shawish, H Ferjani, I Taban, M Salah Gasibat, ...","ChemistrySelect 9 (19), e202401621",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,11,"Optical, electrical, and structural properties of polyethylene oxide/fullerene nanocomposite films","AD Telfah, S Abdalla, H Ferjani, CJ Tavares, J Etzkorn","Physica B: Condensed Matter 679, 415787",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,12,"Supramolecular structure, Hirshfeld surface analysis, optical study and DFT calculations of a new chlorostannate (II) hybrid material","H Ferjani, H Alhussain","Journal of Molecular Structure 1302, 137489",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,13,Photocatalytic degradation of methyl orange using CuO/Al2O3 nanocomposite obtained by microwave-assisted thermal decomposition route,"H Alhussain, H Ferjani, OA Oyewo, S Makgato, DC Onwudiwe","Inorganic Chemistry Communications 162, 112272",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,14,"First‐Principles Calculations to Investigate the Ground State, Mechanical Stability, Electronic Structure, and Optical Properties of Tl2SnX3 (X = S, Se, Te)","H Alhussain, H Ferjani, Y Ben Smida","Crystal Research and Technology 59 (4), 2300340",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,15,"A novel Cd (II) compound of flucytosine: synthesis, structure, and optical properties","H Ferjani, NS Almotlaq, M Fettouhi, MP Ravele, DC Onwudiwe","Transition Metal Chemistry 49 (2), 67-74",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,16,Recent advances in the synthesis and application of copper bismuthate-based materials,"OC Olatunde, W Lei, H Ferjani, DC Onwudiwe",Materials Today Sustainability 100747,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,17,"Flucytosine Antifungal Drug in Organic-Inorganic Bismuth Chloride Material: Crystal Structure, Optical Properties, Biological Activities, and Computational Insights","H Ferjani, R Bechaieb, MB Jemaa, NA Ibrahim, H Alhussain, TA Yousef, ...",Journal of Cluster Science 1-13,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,18,"Tris (2-hydroxyethyl (Methyl) amino-dithiocarbamato) Indium (III): Structural Characterization, Optical Properties, and Thermal Stability Study for Optoelectronic Application","H Ferjani, Y Ben Smida, S Abdalla, DC Onwudiwe, EC Hosten",Journal of Inorganic and Organometallic Polymers and Materials 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2i9mLfMAAAAJ,19,Graphitic carbon nitride functionalized with Cu-doped Bi2S3 as a heterostructure photocatalyst for the visible light degradation of methyl orange,"DC Onwudiwe, VM Nkwe, OC Olatunde, H Ferjani","Ceramics International 49 (11), 19451-19462",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13857198202533680329,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2i9mLfMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2i9mLfMAAAAJ:uVUOdF_882EC
2i9mLfMAAAAJ,20,Dual S-scheme heterojunction g-C3N4 /Bi2S3 /CuS composite with enhanced photocatalytic activity for methyl orange degradation,"HF Damian C. Onwudiwe, Olalekan C. Olatunde, Violet M. Nkwe, Youssef Ben Smida",Inorganic Chemistry Communications 155 (https://doi.org/10.1016/j.inoche …,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11826126290365286392,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2i9mLfMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2i9mLfMAAAAJ:1DsIQWDZLl8C
