Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
2sU62jYAAAAJ,1,Chen–Ricci Inequality for Isotropic Submanifolds in Locally Metallic Product Space Forms,"Y Li, MA Khan, MD Aquib, I Al-Dayel, MZ Youssef","Axioms 13 (3), 183",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8025672009247846664,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2sU62jYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2sU62jYAAAAJ:JV2RwH3_ST0C
2sU62jYAAAAJ,2,Solitonic effect on relativistic string cloud spacetime attached with strange quark matter,"Y Li, MD Siddiqi, MA Khan, I Al-Dayel, M Zakaria","context 14, 16",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15565597391958700441,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2sU62jYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2sU62jYAAAAJ:YFjsv_pBGBYC
2sU62jYAAAAJ,3,Topological analysis of tetracyanobenzene metal–organic framework,"I Al-Dayel, MF Nadeem, MA Khan","Scientific Reports 14 (1), 1789",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7069270466267804917,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2sU62jYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2sU62jYAAAAJ:TFP_iSt0sucC
2sU62jYAAAAJ,4,Statistical Warped Products and Their Generalizations in Holomorphic Statistical Manifolds,"AN Siddiqui, I Al-Dayel, MA Khan, K Masood",Iranian Journal of Science 1-12,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8672848401721846229,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2sU62jYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2sU62jYAAAAJ:hMod-77fHWUC
2sU62jYAAAAJ,5,Pinching Results for Doubly Warped Products’ Pointwise Bi-Slant Submanifolds in Locally Conformal Almost Cosymplectic Manifolds with a Quarter-Symmetric Connection,"M Aquib, I Al-Dayel, M Aslam, MA Khan, M Shuaib","Symmetry 16 (5), 521",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2sU62jYAAAAJ,6,Contravariant Curvatures of Doubly Warped Product Poisson Manifolds,"F Aloui, SK Hui, I Al-Dayel","Mathematics 12 (8), 1205",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2sU62jYAAAAJ,7,Contact CR-Warped Product Submanifold of a Sasakian Space Form with a Semi-Symmetric Metric Connection,"MA Khan, I Al-Dayel, F Aloui, SK Hui","Symmetry 16 (2), 190",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2sU62jYAAAAJ,8,Ricci Curvature Inequalities for Contact CR-Warped Product Submanifolds of an Odd Dimensional Sphere Admitting a Semi-Symmetric Metric Connection,"MA Khan, I Al-Dayel, F Aloui","Symmetry 16 (1), 95",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2sU62jYAAAAJ,9,Generalized warped product submanifolds of Lorentzian concircular structure manifolds,"T Pal, I Al-Dayel, MA Khan, B Bag, SK Hui, F Aloui","AIMS Mathematics 9 (7), 17997-18012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2sU62jYAAAAJ,10,A note on conformal bi-slant submersion from Kenmotsu manifold,"Ibrahim Al-Dayel, Tanveer Fatima, Sharief Deshmukh, Mohammad Shuaib","Journal of Geometry and Physics 190, 104864",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9275286252454181515,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2sU62jYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2sU62jYAAAAJ:QIV2ME_5wuYC
2sU62jYAAAAJ,11,Poisson Doubly Warped Product Manifolds,"Ibrahim Al-Dayel, Foued Aloui, Sharief Deshmukh","Mathematics 11 (3), 519",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13820048688235130471,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2sU62jYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2sU62jYAAAAJ:L8Ckcad2t8MC
2sU62jYAAAAJ,12,Impact of Semi-Symmetric Metric Connection on Homology of Warped Product Pointwise Semi-Slant Submanifolds of an Odd-Dimensional Sphere,"Ibrahim Al-Dayel, Meraj Ali Khan","Symmetry 15 (8), 1606",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10163656668774453340,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2sU62jYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2sU62jYAAAAJ:7PzlFSSx8tAC
2sU62jYAAAAJ,13,-pluriharmonicity in quasi bi-slant conformal -submersions: a comprehensive study,"Ibrahim Al-Dayel, Mohammad Shuaib, Sharief Deshmukh, Tanveer Fatima","AIMS Mathematics 8 (9), 21746-21768",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11160596112097610594,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2sU62jYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2sU62jYAAAAJ:IWHjjKOFINEC
2sU62jYAAAAJ,14,Homology of Warped Product Semi-Invariant Submanifolds of a Sasakian Space Form with Semisymmetric Metric Connection,"Ibrahim Al-Dayel, Meraj Ali Khan, Mohammad Shuaib",Journal of Mathematics 2023,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
