Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
2y1HyyIAAAAJ,1,On the Equivalence Between Ergodicity and Weak Mixing for Operators Semigroups,"H Mohamed, F Mokchaha","International Journal of Applied Mathematics 36 (2), 145-153",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2y1HyyIAAAAJ,2,On Random Maps Correlated with Random Densities,"H Mohamed, F Mokchaha","International Journal of Applied Mathematics 35 (6), 887-901",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2y1HyyIAAAAJ,3,On Random Dynamical Systems Generated by White Noise Time Change of Deterministic Dynamical Systems,"H Mohamed, F Mokchaha","Journal of Probability and Statistics 2022, 7",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2y1HyyIAAAAJ,4,On Representation of Excessive Measures for S-Subordinated Markov Processes,"M Hmissi, CN Jmailli","MARKOV PROCESSES AND RELATED FIELDS 26 (5), 901-914",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2y1HyyIAAAAJ,5,On some random densities for random maps,"M Hmissi, F Mokchaha-Hmissi","Journal of Difference Equations and Applications 24 (1), 127-137",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3016329027818173480,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2y1HyyIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2y1HyyIAAAAJ:2osOgNQ5qMEC
2y1HyyIAAAAJ,6,On potential kernels associated with random dynamical systems,"AH Mohamed Hmissi, Mokchaha Farida","Opuscula Mathematica 35 (4), 499-515",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16637626739146200048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2y1HyyIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2y1HyyIAAAAJ:QIV2ME_5wuYC
2y1HyyIAAAAJ,7,On S-subordination and applications to entrance laws,KJ Mohamed Hmissi,"Revue Roumaine Mathematiques pures et Appliques 59 (1), 105-121",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1751612723895120110,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2y1HyyIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2y1HyyIAAAAJ:qxL8FJ1GzNcC
2y1HyyIAAAAJ,8,Mohamed Hmissi1,"ON KOOPMAN, PFOOF RANDOM","ESAIM: PROCEEDINGS 46, 132-145",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2y1HyyIAAAAJ,9,"Aya Hmissi1, Farida Hmissi2 and Mohamed Hmissi3","D Fournier-Prunaret, L Gardini, L Reich","ESAIM: PROCEEDINGS 36, 217-228",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2y1HyyIAAAAJ,10,On the Bochner subordination of exit laws,"M Hmissi, W Maaouia","Opuscula Mathematica 31 (2), 195-207",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7014757693584602218,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2y1HyyIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2y1HyyIAAAAJ:W7OEmFMy1HYC
2y1HyyIAAAAJ,11,On exit laws for subordinated semigroups by means of -subordinators,"M Hmissi, E Mliki","Commentationes Mathematicae Universitatis Carolinae 51 (4), 605-617",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10125680395612026723,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2y1HyyIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2y1HyyIAAAAJ:0EnyYjriUFMC
2y1HyyIAAAAJ,12,On the abstract exit equation,"EM Mohamed Hmissi, Hassen Mejri","Grazer Mathematische Berichte 354, 84-98",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17083820309000755758,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2y1HyyIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2y1HyyIAAAAJ:9ZlFYXVOiuMC
2y1HyyIAAAAJ,13,On representation by exit laws for some Bochner subordinated semigroups,"M Hmissi, H Mejri","Annales Mathematicae Silesianae 22, 7-26",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2262823051724659927,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2y1HyyIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2y1HyyIAAAAJ:9yKSN-GCB0IC
2y1HyyIAAAAJ,14,On the fractional powers of semidynamical systems,"M Hmissi, H Mejri, E Mliki","Grazer Math. Ber 351, 66-78",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=243155784272796446,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2y1HyyIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2y1HyyIAAAAJ:u-x6o8ySG0sC
2y1HyyIAAAAJ,15,On Subordinated Exit Laws for Densities,"WM Farida Hmissi, Mohamed Hmissi","Grazer Mathematische Berichte 351, 52-65",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4899968590620175324,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2y1HyyIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2y1HyyIAAAAJ:M3ejUd6NZC8C
