Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
4E-WYDIAAAAJ,1,Efficient Photocatalytic Degradation of Congo Red Dye Using Facilely Synthesized and Characterized MgAl2O4 Nanoparticles,"ES Al-Farraj, EA Abdelrahman","ACS omega 9 (4), 4870-4880",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2260801439009260275,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4E-WYDIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4E-WYDIAAAAJ:hC7cP41nSMkC
4E-WYDIAAAAJ,2,"Innovation of some novel complexes based on 1‐(4‐nitrophenyl)‐1H‐1, 2, 3‐triazol‐4‐yl) methanol ligand: Synthesis, structural elucidation DFT calculation and pharmaceutical studies","HA Al‐Abdulkarim, HA Qasem, MR Aouad, MS Khushaim, ES Al‐Farraj, ...","Applied Organometallic Chemistry 38 (6), e7486",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8283287774878930459,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4E-WYDIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4E-WYDIAAAAJ:TQgYirikUcIC
4E-WYDIAAAAJ,3,Efficient Photocatalytic Decomposition of Acid Blue 25 Dye using Facilely Synthesized Magnesium Aluminate Nanoparticles,"ES Al-Farraj, M Khairy, FA Saad, RK Shah, EA Abdelrahman","Water Conservation Science and Engineering 9 (1), 3",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15818294262273115642,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4E-WYDIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4E-WYDIAAAAJ:qUcmZB5y_30C
4E-WYDIAAAAJ,4,"Synthesis, characterization, biological potency, and molecular docking of Co2+, Ni2+ and Cu2+ complexes of a benzoyl isothiocyanate based ligand","ES Al-Farraj, AM Younis, GMIA El-Reash","Scientific Reports 14 (1), 10032",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2773129706232155818,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4E-WYDIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4E-WYDIAAAAJ:e5wmG9Sq2KIC
4E-WYDIAAAAJ,5,Water soluble nano-sized imine Ru (III) complex based on 4-aminobenzene sodium sulphonate for biomedical applications,"MMK Ali, HMAEL Ahmed, M Gouda, AE Hassan, M Alsehli, ES Al-Farraj, ...","US Patent 11,970,509",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2875308537846359912,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4E-WYDIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4E-WYDIAAAAJ:R3hNpaxXUhUC
4E-WYDIAAAAJ,6,"Structural, theoretical and biological studies on Cu2+ and Co2+ complexes of new thiosemicarbazone ligands","FA Adam, YG Abou El-Reash, ES Al-Farraj, IA Abdelwahed, MM El-Gamil, ...","Journal of Molecular Structure 1311, 138360",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4E-WYDIAAAAJ,7,"An efficient synthesis for Cd (II), Cu (II), and UO2 (II) complexes with N-ethyl-2-(1-(naphthalen-1-yl) ethylidene) hydrazine-1-carbothioamide under solvent-free condition …",ES Al-Farraj,"Journal of Molecular Structure 1306, 137928",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4E-WYDIAAAAJ,8,Photocatalytic performance of Nb2O5-graphene heterojunction for the degradation of methylene blue,"AH Al-Marri, A Moulahi, AT Mogharbel, AM Al-Mohaimeed, F Janene, ...",Polyhedron 117080,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4E-WYDIAAAAJ,9,Functionalization of Na2Ca2Si3O9/Ca8Si5O18 Nanostructures with Chitosan and Terephthalaldehyde Crosslinked Chitosan for Effective Elimination of Pb(II …,"ES Al-Farraj, AN Alotaibi, EA Abdelrahman, FA Saad, K Rehman, ...","Inorganics 12 (4), 113",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4E-WYDIAAAAJ,10,Functionalization of Na 2 Ca 2 Si 3 O 9/Ca 8 Si 5 O 18 Nanostructures with Chitosan and Terephthalaldehyde Crosslinked Chitosan for Effective Elimination of Pb (II) Ions from …,"ES Al-Farraj, AN Alotaibi, EA Abdelrahman, FA Saad, FK Algethami, ...",Inorganics 12 (4),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
