Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
5_YD3ZYAAAAJ,1,"Green synthesis of bimetallic Se@TiO2NPs and their formulation into biopolymers and their utilization as antimicrobial, anti-diabetic, antioxidant, and healing agent …","MI Alghonaim, SA Alsalamah, AM Mohammad, TM Abdelghany",Biomass Conversion and Biorefinery 1-13,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15835395268108895737,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5_YD3ZYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=5_YD3ZYAAAAJ:dhFuZR0502QC
5_YD3ZYAAAAJ,2,Green Mediator for Selenium Nanoparticles Synthesis with Antimicrobial Activity and Plant Biostimulant Properties under Heavy Metal Stress.,"MI Alghonaim, SA Alsalamah, Y Ali, TM Abdelghany",BioResources 19 (1),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11999761532646548097,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5_YD3ZYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=5_YD3ZYAAAAJ:9ZlFYXVOiuMC
5_YD3ZYAAAAJ,3,UPLC-qTOF-MS phytochemical profile of Commiphora gileadensis leaf extract via integrated ultrasonic-microwave-assisted technique and synthesis of silver nanoparticles for …,"H Ahmed, MY Zaky, MMA Rashed, M Almoiliqy, S Al-Dalali, ZE Eldin, ...",Ultrasonics Sonochemistry 106923,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
5_YD3ZYAAAAJ,4,Zygnema sp. as creator of copper oxide nanoparticles and their application in controlling of microbial growth and photo-catalytic degradation of dyes,"SA Alsalamah, MI Alghonaim, MM Bakri, TM Abdelghany","Applied Biological Chemistry 67 (1), 47",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
5_YD3ZYAAAAJ,5,"Biosynthesis of CuO@ Au NPs and Its Formulated into Biopolymers Carboxymethyl Cellulose and Chitosan: Characterizations, Antimicrobial, Anticancer and Antioxidant Properties","MI Alghonaim, SA Alsalamah, AS Bazaid, TM Abdelghany",Waste and Biomass Valorization 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
5_YD3ZYAAAAJ,6,"Impact of Moist Heat on Phytochemical Constituents, Anti-Helicobacter Pylori, Antioxidant, Anti-Diabetic, Hemolytic and Healing Properties of Rosemary Plant …","MM Bakri, MI Alghonaim, SA Alsalamah, RO Yahya, KS Ismail, ...",Waste and Biomass Valorization 1-15,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
5_YD3ZYAAAAJ,7,"Antibacterial, Antioxidant and Physicochemical Properties of Pipper nigram Aided Copper Oxide Nanoparticles","J Aien, AA Khan, S Haq, AR Khan, K Elmnasri, M Ben Ali, MS Al-Harbi, ...","Crystals 13 (2), 330",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17689126170443235048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5_YD3ZYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=5_YD3ZYAAAAJ:3fE2CSJIrl8C
5_YD3ZYAAAAJ,8,Nanomedicine as potential cancer therapy via targeting dysregulated transcription factors,"A Ahmad, S Rashid, AA Chaudhary, AS Alawam, MI Alghonaim, SS Raza, ...","Seminars in Cancer Biology 89, 38-60",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=89832894322483761,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5_YD3ZYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=5_YD3ZYAAAAJ:5nxA0vEk-isC
5_YD3ZYAAAAJ,9,"Anti-yeasts, antioxidant and healing properties of henna pre-treated by moist heat and molecular docking of its major constituents, chlorogenic and ellagic acids, with Candida …","SA Alsalamah, MI Alghonaim, M Jusstaniah, TM Abdelghany","Life 13 (9), 1839",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10704640330058780441,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5_YD3ZYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=5_YD3ZYAAAAJ:YOwf2qJgpHMC
5_YD3ZYAAAAJ,10,"Phytochemicals, Antioxidant and Antimicrobial Potentials and LC-MS Analysis of Centaurea parviflora Desf. Extracts","FZ Hechaichi, H Bendif, C Bensouici, SA Alsalamah, B Zaidi, ...","Molecules 28 (5), 2263",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4577683978422684222,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5_YD3ZYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=5_YD3ZYAAAAJ:kNdYIx-mwKoC
