Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
72mY4NwAAAAJ,1,"A new losses (revenues) probability model with entropy analysis, applications and case studies for value-at-risk modeling and mean of order-P analysis","I Elbatal, LS Diab, AB Ghorbal, HM Yousof, M Elgarhy, EIA Ali","AIMS Mathematics 9 (3), 7169-7211",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18434109651357947279,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=72mY4NwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=72mY4NwAAAAJ:4JMBOYKVnBMC
72mY4NwAAAAJ,2,Advancing estimation techniques and their applications in engineering and medical data analysis through novel continuous and discrete linear failure rate distribution extension,"I Elbatal, M Elgarhy, SM Almarzouki, LS Diab, AB Ghorbal, EM Almetwally","Journal of Radiation Research and Applied Sciences 17 (3), 101006",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
72mY4NwAAAAJ,3,A new extension of inverse length biased exponential model with statistical inference under joint censored samples and application,"MM Abdelwahab, I Elbatal, M Elgarhy, AB Ghorbal, HE Semary, ...","Alexandria Engineering Journal 99, 377-393",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
72mY4NwAAAAJ,4,"Statistical analysis of the inverse power Zeghdoudi model: Estimation, simulation and modeling to engineering and environmental data","I Elbatal, AS Hassan, AM Gemeay, LS Diab, AB Ghorbal, M Elgarhy","Physica Scripta 99 (6), 065231",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
72mY4NwAAAAJ,5,Blow-up solutions for a 4-dimensional semilinear elliptic system of Liouville type in some general cases,"S Baraket, AB Ghorbal, R Chetouane, A Grine","Boundary Value Problems 2024 (1), 21",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
72mY4NwAAAAJ,6,Reliability Analysis and Its Applications for a Newly Improved Type-II Adaptive Progressive Alpha Power Exponential Censored Sample,"I Elbatal, N Mazen, A Ben Ghorbal, L Sabry Gad Diab, A Elshahhat",Symmetry 15 (2137),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4556313980035791279,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=72mY4NwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=72mY4NwAAAAJ:R3hNpaxXUhUC
72mY4NwAAAAJ,7,Classical and Bayesian Inference for the Kavya–Manoharan Generalized Exponential Distribution under Generalized Progressively Hybrid Censored Data,"MM Abdelwahab, A Ben Ghorbal, AS Hassan, M Elgarhy, EM Almetwally, ...","Symmetry 15 (6), 1193",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5022310669668576281,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=72mY4NwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=72mY4NwAAAAJ:-f6ydRqryjwC
72mY4NwAAAAJ,8,EXPONENTIATED KAVYA-MANOHARAN BURR X DISTRIBUTION: ESTIMATION UNDER CENSORED TYPE II WITH APPLICATIONS IN MEDICAL DATA,"I Elbatal, SM Alghamdi, A Ben Ghorbal, AW Shawki, M Elgarhy, ...","JP Journal of Biostatistics 23 (3), 227-247",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7249136037486555131,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=72mY4NwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=72mY4NwAAAAJ:hFOr9nPyWt4C
72mY4NwAAAAJ,9,Generalized lower characteristic involving measures of non-strict singularity,"S Baraket, A Ben Ghorbal, A Jeribi",Topological Algebra and its Applications 11 (1),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
72mY4NwAAAAJ,10,Stress–Strength Reliability Analysis for Different Distributions Using Progressive Type-II Censoring with Binomial Removal,"I Elbatal, AS Hassan, LS Diab, AB Ghorbal, M Elgarhy, AR El-Saeed","Axioms 12 (11), 1054",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
72mY4NwAAAAJ,11,Alpha power moment exponential model with applications to biomedical science,"M Shrahili, AS Hassan, EM Almetwally, AB Ghorbal, I Elbatal","Scientific Programming 2022 (1), 6897405",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9995372926102151188,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=72mY4NwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=72mY4NwAAAAJ:aqlVkmm33-oC
72mY4NwAAAAJ,12,On Properties of Length‐Biased Exponential Model,A Ben Ghorbal,"Mathematical Problems in Engineering 2022 (1), 9779767",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10322719056487939563,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=72mY4NwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=72mY4NwAAAAJ:IWHjjKOFINEC
72mY4NwAAAAJ,13,A Generalization of the Linear Exponential Model: Properties and Real Data Modeling,AB Ghorbal,"Advances and Applications in Statistics 75, 135-155",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
72mY4NwAAAAJ,14,Identification of concealed structural alerts using QSTR modeling for Pseudokirchneriella subcapitata,"VH Masand, MEA Zaki, SA Al-Hussain, AB Ghorbal, S Akasapu, I Lewaa, ...","Aquatic Toxicology 239, 105962",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18363834407715662790,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=72mY4NwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=72mY4NwAAAAJ:M3ejUd6NZC8C
72mY4NwAAAAJ,15,QSAR analysis of sodium glucose co–transporter 2 (SGLT2) inhibitors for anti-hyperglycaemic lead development,"A Gandhi, V Masand, MEA Zaki, SA Al-Hussain, AB Ghorbal, ...","SAR and QSAR in Environmental Research 32 (9), 731-744",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13962920760041917487,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=72mY4NwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=72mY4NwAAAAJ:4TOpqqG69KYC
72mY4NwAAAAJ,16,Quantitative Structure–Activity Relationship Evaluation of MDA-MB-231 Cell Anti-Proliferative Leads,"A Gandhi, V Masand, MEA Zaki, SA Al-Hussain, AB Ghorbal, ...","Molecules 26 (16), 4795",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13761603400340957560,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=72mY4NwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=72mY4NwAAAAJ:_kc_bZDykSQC
