Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
7ENE27EAAAAJ,1,Information measures for order statistics and their concomitants from Cambanis bivariate family,"IA Husseiny, MA Alawady, HM Barakat, MA Abd Elgawad","Communications in Statistics-Theory and Methods 53 (3), 865-881",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8492092557826620795,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7ENE27EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7ENE27EAAAAJ:9Nmd_mFXekcC
7ENE27EAAAAJ,2,"A new probabilistic approach: Model, theory, properties with an application in the medical sector","M Kamal, M Alam, MA Abd Elgawad, SMA Alsheikh, MA Abdelkawy, ...","Alexandria Engineering Journal 99, 257-270",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
7ENE27EAAAAJ,3,"A novel compound G family with properties, copulas, modelling the asymmetric and positive-skewed engineering and medical data","OA Alqasem, SMA Alsheikh, H Alsuhabi, R Aldallal, MM Alsolmi, ...","Alexandria Engineering Journal 98, 80-96",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
7ENE27EAAAAJ,4,Utilizing Bayesian inference in accelerated testing models under constant stress via ordered ranked set sampling and hybrid censoring with practical validation,"AF Hashem, N Alotaibi, SA Alyami, MA Abdelkawy, MAA Elgawad, ...","Scientific Reports 14 (1), 14406",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
7ENE27EAAAAJ,5,FISHER INFORMATION AND SHANNON’S ENTROPY FOR RECORD VALUES AND THEIR CONCOMITANTS UNDER ITERATED FGM FAMILY,"MA ABD ELGAWAD, HM BARAKAT, MM ABDELWAHAB, MA ZAKY, ...","Romanian Journal of Physics 69, 103",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
7ENE27EAAAAJ,6,Measures of extropy based on concomitants of generalized order statistics under a general framework from iterated Morgenstern family,"IA Husseiny, MA Alawady, SA Alyami, MA Abd Elgawad","Mathematics 11 (6), 1377",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11407373551822607268,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7ENE27EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7ENE27EAAAAJ:nrtMV_XWKgEC
7ENE27EAAAAJ,7,"Correction to the paper “A new extension of the FGM copula with an application in reliability” by Rasha Ebaid, Walid Elbadawy, Essam Ahmed & Abdalla Abdelghaly","HM Barakat, MA Alawady, MA Abd Elgawad","Communications in Statistics-Theory and Methods 52 (16), iii-iii",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11506617378600281432,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7ENE27EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7ENE27EAAAAJ:NJ774b8OgUMC
7ENE27EAAAAJ,8,Scrutiny of a More Flexible Counterpart of Huang–Kotz FGM’s Distributions in the Perspective of Some Information Measures,"MA Abd Elgawad, HM Barakat, DA Abd El-Rahman, SA Alyami","Symmetry 15 (6), 1257",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15961956849890076607,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7ENE27EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7ENE27EAAAAJ:yB1At4FlUx8C
7ENE27EAAAAJ,9,"Fisher Information, Asymptotic Behavior, and Applications for Generalized Order Statistics and Their Concomitants Based on the Sarmanov Family","MA Abd Elgawad, HM Barakat, IA Husseiny, GM Mansour, SA Alyami, ...","Axioms 13 (1), 17",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
7ENE27EAAAAJ,10,Extropy and Some of Its More Recent Related Measures for Concomitants of K-Record Values in an Extended FGM Family,"MAA Elgawad, HM Barakat, MA Alawady, DAA El-Rahman, IA Husseiny, ...","Mathematics 11 (24), 4934",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
7ENE27EAAAAJ,11,Medical Diagnosis under Effective Bipolar-Valued Multi-Fuzzy Soft Settings,"HH Sakr, SA Alyami, MA Abd Elgawad","Mathematics 11 (17), 3747",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
7ENE27EAAAAJ,12,Extropy and Some of Its More Recent Related Measures for Concomitants of K-Record Values in an Extended FGM Family,"MA Abd Elgawad, HM Barakat, MA Alawady, DA Abd El-Rahman, ...","Mathematics 11 (24), 1-25",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
7ENE27EAAAAJ,13,Concomitants of generalized order statistics from bivariate Cambanis family: Some information measures,"MA Abd Elgawad, HM Barakat, MA Alawady","Bulletin of the Iranian Mathematical Society 48 (2), 563-585",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13862435675276791365,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7ENE27EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7ENE27EAAAAJ:35r97b3x0nAC
7ENE27EAAAAJ,14,On concomitants of generalized order statistics from generalized FGM family under a general setting,"MA Abd Elgawad, MA Alawady","Mathematica Slovaca 72 (2), 507-526",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=903786335242067838,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7ENE27EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7ENE27EAAAAJ:XD-gHx7UXLsC
7ENE27EAAAAJ,15,Cumulative residual tsallis entropy-based test of uniformity and some new findings,"MS Mohamed, HM Barakat, SA Alyami, MA Abd Elgawad","Mathematics 10 (5), 771",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2302294620574522314,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7ENE27EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7ENE27EAAAAJ:z_wVstp3MssC
