Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
8N_Pe6IAAAAJ,1,"Exploring the effectiveness of flavone derivatives for treating liver diseases: Utilizing DFT, molecular docking, and molecular dynamics techniques","ST Quayum, NJI Esha, S Siraji, SS Al Abbad, ZHA Alsunaidi, ...","MethodsX 12, 102537",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3210749488823293263,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8N_Pe6IAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8N_Pe6IAAAAJ:TlpoogIpr_IC
8N_Pe6IAAAAJ,2,DFT Insights into FEBID Stability: Condensed Study of Gold (I) Complexes with Phosphine Ligands,"AT Afaneh, M Alshhadat, A Marashdeh, MH Almatarneh, W Helal","ChemistrySelect 9 (9), e202303726",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8N_Pe6IAAAAJ,3,"Synthesis, characterization, and DFT calculations of a new sulfamethoxazole schiff base and its metal complexes","JI Al-Hawarin, AA Abu-Yamin, AAAA Abu-Saleh, IAM Saraireh, ...","Materials 16 (14), 5160",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7310124844361244125,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8N_Pe6IAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8N_Pe6IAAAAJ:rTD5ala9j4wC
8N_Pe6IAAAAJ,4,"Synthesis, characterization, crystal structure and DFT calculations of dysprosiumIII-(E)-ethyl-4-(2-hydroxybenzylidene amino) benzoate","RM Al-As' ad, AA Abu-Yamin, M Korb, K Al Khalyfeh, IA Elayan, ...","Journal of Molecular Structure 1280, 135061",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6778999844025537103,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8N_Pe6IAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8N_Pe6IAAAAJ:SGW5VrABaM0C
8N_Pe6IAAAAJ,5,"Exploring the potential of fluoro-flavonoid derivatives as anti-lung cancer agents: DFT, molecular docking, and molecular dynamics techniques","NJI Esha, ST Quayum, MZ Saif, MH Almatarneh, S Rahman, A Alodhayb, ...","International Journal of Quantum Chemistry 124 (1), e27274",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11741064337830455992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8N_Pe6IAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8N_Pe6IAAAAJ:SnGPuo6Feq8C
8N_Pe6IAAAAJ,6,"Synthesis, Characterization, and Environmental Applications of Novel Per-Fluorinated Organic Polymers with Azo-and Azomethine-Based Linkers via Nucleophilic Aromatic Substitution","SS Altarawneh, HM El-Kaderi, AJ Richard, OM Alakayleh, IY Aljaafreh, ...","Polymers 15 (20), 4191",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18264552744734480817,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8N_Pe6IAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8N_Pe6IAAAAJ:QUX0mv85b1cC
8N_Pe6IAAAAJ,7,Polymer–drug linking through amide bonds: the chemistry and applications in drug delivery,"R Tripathi, JP Yadav, P Pathak, MH Almatarneh, A Verma",Polymer-Drug Conjugates 147-170,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=181171718963776993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8N_Pe6IAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8N_Pe6IAAAAJ:pS0ncopqnHgC
8N_Pe6IAAAAJ,8,Thermal decomposition of perfluorinated carboxylic acids: Kinetic model and theoretical requirements for PFAS incineration,"M Altarawneh, MH Almatarneh, BZ Dlugogorski","Chemosphere 286, 131685",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3871802245454435039,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8N_Pe6IAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8N_Pe6IAAAAJ:mUJArPsKIAAC
8N_Pe6IAAAAJ,9,Computational Insights in DNA Methylation: Catalytic and Mechanistic Elucidations for Forming 3‐Methyl Cytosine,"MH Almatarneh, GG Kayed, M Altarawneh, Y Zhao, A Verma","Journal of Chemistry 2022 (1), 2673396",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9440016394212836130,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8N_Pe6IAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8N_Pe6IAAAAJ:WAzi4Gm8nLoC
8N_Pe6IAAAAJ,10,Mechanistic study on DNA mutation of the cytosine methylation reaction at C5 position,"MH Almatarneh, GG Kayed, SS Al Abbad, ZHA Alsunaidi, ...","Arabian Journal of Chemistry 15 (8), 103956",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
