Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
8NiqigMAAAAJ,1,\Gamma-convergence for an optimal design problem with variable exponent,H Zorgati,"JKSIAM  Volume 27 Number 4 296–310, 2023",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8NiqigMAAAAJ,2,Asymptotic analysis for a second-order curved thin film,H Zorgati,Mathematics and Mechanics of Solids 24,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8NiqigMAAAAJ,3,A -convergence result for optimal design problems,H Zorgati,"Comptes Rendus. Mathématique 360 (G10), 1145-1151",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17157566706708218377,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:YOwf2qJgpHMC
8NiqigMAAAAJ,4,Dimension reduction and optimality of the uniform state in a phase-field-crystal model involving a higher-order functional,"R Ignat, H Zorgati","Journal of Nonlinear Science 30 (1), 261-282",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7902488877591580698,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:WF5omc3nYNoC
8NiqigMAAAAJ,5,"A note about weak * lower semicontinuity for functionals with linear growth in W                      1,1 × L                      1","E Zappale, H Zorgati","Journal of Elliptic and Parabolic Equations 3, 93-103",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8NiqigMAAAAJ,6,Existence and uniqueness of global solutions for the modified anisotropic 3D Navier− Stokes equations,"H Bessaih, S Trabelsi, H Zorgati","ESAIM: Mathematical Modelling and Numerical Analysis 50 (6), 1817-1823",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=545188532522162284,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:d1gkVwhDpl0C
8NiqigMAAAAJ,7,Homogenization of unbounded integrals with quasiconvex growth,"O Anza Hafsa, JP Mandallena, H Zorgati","Annali di Matematica Pura ed Applicata (1923-) 194 (6), 1619-1648",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2163457919597408484,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:_FxGoFyzp5QC
8NiqigMAAAAJ,8,COMPACTNESS AND DIRICHLET'S PRINCIPLE,"JK Seo, H Zorgati",Journal of the Korean Society for Industrial and Applied Mathematics 18 (2 …,2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4703306398987653849,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:IjCSPb-OGe4C
8NiqigMAAAAJ,9,Some relaxation results for functionals depending on constrained strain and chemical composition,"E Zappale, H Zorgati","Comptes Rendus Mathematique 347 (5-6), 337-342",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16953835517153035675,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:0EnyYjriUFMC
8NiqigMAAAAJ,10,Dimensional reduction for energies with linear growth involving the bending moment,"JF Babadjian, E Zappale, H Zorgati","Journal de mathématiques pures et appliquées 90 (6), 520-549",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=386442722847765787,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:UebtZRa9Y70C
8NiqigMAAAAJ,11,Curved thin films made of second grade materials,"G Gargiulo, E Zappale, H Zorgati","ADVANCES IN MATHEMATICAL SCIENCES AND APPLICATIONS 18, 319-336",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8NiqigMAAAAJ,12,Curved thin films made of non simple grade two materials,"G Gargiulo, E Zappale, H Zorgati","ADVANCES IN MATHEMATICAL SCIENCES AND APPLICATIONS 18, 219-236",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8NiqigMAAAAJ,13,On comparison principles for parabolic equations with nonlocal boundary conditions,"Y Wang, H Zorgati","Boundary Value Problems 2007, 1-10",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13469760137356893419,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:Se3iqnhoufwC
8NiqigMAAAAJ,14,Modélisation de films courbés non simples de second gradient,"G Gargiulo, E Zappale, H Zorgati","Comptes Rendus. Mathématique 344 (5), 343-347",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5081771427476855327,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:Tyk-4Ss8FVUC
8NiqigMAAAAJ,15,Films courbés composés d’un matériaux non simple de second grade,"G Gargiulo, E Zappale, H Zorgati","COMPTES RENDUS MATHEMATIQUES DE L'ACADEMIE DES SCIENCES 344, 343-347",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8NiqigMAAAAJ,16,Asymptotic modeling of thin curved martensitic films,"H Le Dret, H Zorgati","Asymptotic Analysis 48 (1-2), 141-171",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4808185128371064920,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8NiqigMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8NiqigMAAAAJ:zYLM7Y9cAGgC
