Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
8QcEovcAAAAJ,1,Efficient removal of organic dyes by Cr-doped ZnO nanoparticles,"L Khezami, MAB Aissa, A Modwi, A Guesmi, FK Algethami, M Bououdina","Biomass Conversion and Biorefinery 14 (3), 4177-4190",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=366981931354926205,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:aqlVkmm33-oC
8QcEovcAAAAJ,2,Dual-state dual emission from precise chemically engineered bi-ligand MOF free from encapsulation and functionalization with self-calibration model for visual detection,"SSM Ameen, IB Qader, HA Qader, FK Algethami, BY Abdulkhair, ...","Microchimica Acta 191 (1), 62",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4338177611160667839,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:M3NEmzRMIkIC
8QcEovcAAAAJ,3,Facile Synthesis of MgO/CuO and MgO/Cu3MgO4 Binary Nanocomposites as Promising Adsorbents for the Disposal of Zn(II) Ions,"EA Abdelrahman, MMH Khalil, FK Algethami, M Khairy, ...","Journal of Inorganic and Organometallic Polymers and Materials 34 (1), 266-281",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16386927360787023425,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:RHpTSmoSYBkC
8QcEovcAAAAJ,4,A novel chitosan-alginate@ Fe/Mn mixed oxide nanocomposite for highly efficient removal of Cr (VI) from wastewater: Experiment and adsorption mechanism,"LS Alqarni, JS Algethami, RELK Billah, AQ Alorabi, YA Alnaam, ...","International Journal of Biological Macromolecules 263, 129989",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13101393564856347960,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:vV6vV6tmYwMC
8QcEovcAAAAJ,5,Calcium Ferrite Nanoparticles: A Simple Synthesis Approach for the Effective Disposal of Congo Red Dye from Aqueous Environments,"NS Al-Kadhi, GM Al-Senani, FK Algethami, RK Shah, FA Saad, ...","Inorganics 12 (3), 69",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12841008352450279353,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:ns9cj8rnVeAC
8QcEovcAAAAJ,6,Functionalization of calcium silicate/sodium calcium silicate nanostructures with chitosan and chitosan/glutaraldehyde as novel nanocomposites for the efficient adsorption of …,"K Shafeeq, SME Rayes, MMH Khalil, RK Shah, FA Saad, M Khairy, ...","Silicon 16 (4), 1713-1730",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6584680005316057849,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:blknAaTinKkC
8QcEovcAAAAJ,7,Eu3+ doped SrMoO4: A promising nanophosphor for enhanced fingerprint detection and cheiloscopy,"Z Ghubish, YG Abou El-Reash, FK Algethami, NY Elamin, MA El-Kemary","Journal of Molecular Structure 1307, 138049",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7093143745920057691,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:NaGl4SEjCO4C
8QcEovcAAAAJ,8,"Multi-color tunable luminescence of SrMoO4: Tb3+, Eu3+ nanophosphors for dual-mode temperature monitoring and multi-dimensional high secure anti-counterfeiting","Z Ghubish, YG Abou El-Reash, FK Algethami, FA Adam, MA El-Kemary","Journal of Industrial and Engineering Chemistry 134, 152-162",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9429838198377784746,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:NMxIlDl6LWMC
8QcEovcAAAAJ,9,Heteroatoms-doped carbon dots as dual probes for heavy metal detection,"FK Algethami, HN Abdelhamid","Talanta 273, 125893",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=942577370633307828,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:RGFaLdJalmkC
8QcEovcAAAAJ,10,Novel nanophosphor films coated Ag nanoparticles sensor for detecting hydrogen peroxide in biological samples based on Turn off-on luminescent,"Z Ghubish, YG Abou El-Reash, FK Algethami, NY Elamin, MA El-Kemary","Journal of Molecular Structure 1304, 137651",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14614230869538865927,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8QcEovcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8QcEovcAAAAJ:YFjsv_pBGBYC
