Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
8qQC-rYAAAAJ,1,A new scheme of the ARA transform for solving fractional-order waves-like equations involving variable coefficients,"YM Chu, S Sultana, S Karim, S Rashid, MS Alharthi","CMES-Comput. Model. Eng. Sci. 138 (1), 761-791",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14360545994976299988,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:qxL8FJ1GzNcC
8qQC-rYAAAAJ,2,Prioritizing Asthma Treatment Drugs through Multicriteria Decision Making,S Sultana,"International Journal of Analytical Chemistry 2024 (1), 6516976",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8qQC-rYAAAAJ,3,Semi-analytical view of time-fractional PDES with proportional delays pertaining to index and Mittag-Leffler memory interacting with hybrid transforms,"L Shi, S Rashid, S Sultana, A Khalid, P Agarwal, MS Osman","Fractals 31 (04), 2340071",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3576160361940662892,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:KlAtU1dfN6UC
8qQC-rYAAAAJ,4,Dynamical analysis of the stochastic COVID-19 model using piecewise differential equation technique,"YM Chu, S Sultana, S Rashid, MS Alharthi, M Higazy","Comput. Model. Eng. Sci 137, 2427-2464",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13408945512202176715,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:M3ejUd6NZC8C
8qQC-rYAAAAJ,5,New numerical simulation for the fractal-fractional model of deathly lassa hemorrhagic fever disease in pregnant women with optimal analysis,"YM Chu, S Rashid, S Sultana, M Inc","Fractals 31 (04), 2340054",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11919312079033587084,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:ULOm3_A8WrAC
8qQC-rYAAAAJ,6,Chemical Application of Topological Indices in Infertility Treatment Drugs and QSPR Analysis,S Sultana,"International Journal of Analytical Chemistry 2023 (1), 6928167",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6365657967872557304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:aqlVkmm33-oC
8qQC-rYAAAAJ,7,Some further extensions considering discrete proportional fractional operators,"S Rashid, S Sultana, Y Karaca, A Khalid, YM Chu","Fractals 30 (01), 2240026",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9115496586900736685,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:5nxA0vEk-isC
8qQC-rYAAAAJ,8,New Developments in Weighted n-Fold Type Inequalities via Discrete Generalized ℏ ̂-Proportional Fractional Operators,"S Rashid, EI Abouelmagd, S Sultana, YM Chu","Fractals 30 (02), 2240056",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3495948528269550998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:YsMSGLbcyi4C
8qQC-rYAAAAJ,9,An approximate analytical view of physical and biological models in the setting of Caputo operator via Elzaki transform decomposition method,"S Rashid, KT Kubra, S Sultana, P Agarwal, MS Osman","Journal of Computational and Applied Mathematics 413, 114378",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2370789102438692108,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:roLk4NBRz8UC
8qQC-rYAAAAJ,10,Novel numerical investigation of the fractional oncolytic effectiveness model with M1 virus via generalized fractional derivative with optimal criterion,"S Rashid, A Khalid, S Sultana, F Jarad, KM Abualnaja, YS Hamed","Results in Physics 37, 105553",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18180454878389309974,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:LkGwnXOMwfcC
8qQC-rYAAAAJ,11,On the Analytical Treatment for the Fractional‐Order Coupled Partial Differential Equations via Fixed Point Formulation and Generalized Fractional Derivative Operators,"S Rashid, S Sultana, N Idrees, E Bonyah","Journal of Function Spaces 2022 (1), 3764703",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16798053492351625329,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:_FxGoFyzp5QC
8qQC-rYAAAAJ,12,A novel analytical view of time-fractional Korteweg-De Vries equations via a new integral transform,"S Rashid, A Khalid, S Sultana, Z Hammouch, R Shah, AM Alsharif","Symmetry 13 (7), 1254",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12926902432658379049,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8qQC-rYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8qQC-rYAAAAJ:Y0pCki6q_DkC
