Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
96sgQ2UAAAAJ,1,"Structural, theoretical and biological studies on Cu2+ and Co2+ complexes of new thiosemicarbazone ligands","FA Adam, YG Abou El-Reash, ES Al-Farraj, IA Abdelwahed, MM El-Gamil, ...","Journal of Molecular Structure 1311, 138360",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
96sgQ2UAAAAJ,2,"Green processing and characterization of Novel HETERO-ligand Co (II) complexes with cyanopyridine derivatives: Quantitative structure, Computational assessment, and Biological …","FA Adam, YG Abou El-Reash, MG Ghoniem, RR Zaky","Journal of Molecular Structure 1308, 137947",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
96sgQ2UAAAAJ,3,"Purification of Water Contaminated with Heavy Metals, Exemplified by Lead Cations, Utilizing Fe2O3@ Al2O3 Nanocomposites",FA Adam,"Egyptian Journal of Chemistry 67 (3), 457-466",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
96sgQ2UAAAAJ,4,Fortified anti-proliferative activity of niclosamide for breast cancer treatment: In-vitro and in-vivo assessment,"A Mansour, MY Mahmoud, AF Bakr, MG Ghoniem, FA Adam, ...","Life Sciences 316, 121379",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
96sgQ2UAAAAJ,5,Highly selective removal of cationic dyes from wastewater by MgO nanorods,"MG Ghoniem, FAM Ali, BY Abdulkhair, MRA Elamin, AM Alqahtani, ...","Nanomaterials 12 (6), 1023",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3247970973029602783,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=96sgQ2UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=96sgQ2UAAAAJ:qjMakFHDy7sC
96sgQ2UAAAAJ,6,"Enhanced adsorptive removal of indigo carmine dye by bismuth oxide doped MgO based adsorbents from aqueous solution: Equilibrium, kinetic and computational studies","FA Adam, MG Ghoniem, M Diawara, S Rahali, BY Abdulkhair, MR Elamin, ...","RSC advances 12 (38), 24786-24803",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4893478828283231244,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=96sgQ2UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=96sgQ2UAAAAJ:YsMSGLbcyi4C
96sgQ2UAAAAJ,7,"Excellent Adsorption of Dyes via MgTiO3@g-C3N4 Nanohybrid: Construction, Description and Adsorption Mechanism","A Modwi, MR Elamin, H Idriss, NY Elamin, FA Adam, AE Albadri, ...","Inorganics 10 (11), 210",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9760753132815545397,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=96sgQ2UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=96sgQ2UAAAAJ:LkGwnXOMwfcC
96sgQ2UAAAAJ,8,Removal of malachite green dye from aqueous solution by catalytic wet oxidation technique using Ni/kaolin as catalyst,"A Moumen, Y Belhocine, N Sbei, S Rahali, FAM Ali, F Mechati, ...","Molecules 27 (21), 7528",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8121111394362501848,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=96sgQ2UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=96sgQ2UAAAAJ:eQOLeE2rZwMC
96sgQ2UAAAAJ,9,Spontaneous Adsorption and Efficient Photodegradation of Indigo Carmine under Visible Light by Bismuth Oxyiodide Nanoparticles Fabricated Entirely at Room Temperature,"MR Elamin, KH Ibnaouf, NY Elamin, FA Adam, AH Alolayan, ...","Inorganics 10 (5), 65",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8639075835013226504,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=96sgQ2UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=96sgQ2UAAAAJ:UeHWp8X0CEIC
96sgQ2UAAAAJ,10,Efficient and rapid removal of Pb (II) and Cu (II) heavy metals from aqueous solutions by MgO nanorods,"MG Ghoniem, MA Ben Aissa, FAM Ali, M Khairy","Inorganics 10 (12), 256",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2755554895404017659,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=96sgQ2UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=96sgQ2UAAAAJ:WF5omc3nYNoC
