Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
9G047jAAAAAJ,1,"Benzohydrazide derivative metal complex's antimicrobial and inhibitory effects on liver cancer cell lines and quinone oxidoreductase 2: Experimental, molecular docking, and DFT …","TA Yousef, LHK Al-Jibori, AS Fiahan, AO Elzupir, MM Abou-Krisha, ...","Journal of Molecular Structure 1308, 138073",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8815952528402302304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:JV2RwH3_ST0C
9G047jAAAAAJ,2,Removal of ciprofloxacin and indigo carmine from water by carbon nanotubes fabricated from a low-cost precursor: Solution parameters and recyclability,"MR Elamin, BY Abdulkhair, AO Elzupir","Ain Shams Engineering Journal 14 (1), 101844",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3337605543898121626,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:4JMBOYKVnBMC
9G047jAAAAAJ,3,"New dual inhibitors of SARS-CoV-2 based on metal complexes with Schiff-base 4-chloro-3-methyl phenyl hydrazine: Synthesis, DFT, antibacterial properties and molecular docking …","ASM Al-Janabi, AO Elzupir, MM Abou-Krisha, TA Yousef","Inorganics 11 (2), 63",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17192762790361478544,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:TFP_iSt0sucC
9G047jAAAAAJ,4,"Inhibitory Activity of Saussurea costus Extract against Bacteria, Candida, Herpes, and SARS-CoV-2","H Idriss, B Siddig, P González-Maldonado, HM Elkhair, AI Alakhras, ...","Plants 12 (3), 460",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3081138173161385610,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:bEWYMUwI8FkC
9G047jAAAAAJ,5,"Insight into Tyrosine-Containing Pharmaceuticals as Potential Inhibitors of SARS-CoV-2 3CLpro and NSP16: Structural Analysis, Docking Studies, Molecular …","MR Elamin, TA Yousef, AO Elzupir","Chemistry 5 (2), 762-777",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9G047jAAAAAJ,6,"Ferrocenyl Hydroxy Methyl Coupled Caffeine Synthesis, Density Functional Theory, ADME Prediction and Docking Analysis of It's Binding Interactions to Coronavirus Main Protease.","SAJ ALMAHMOUD, M CARIELLO, AO ELZUPIR",Oriental Journal of Chemistry 39 (2),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9G047jAAAAAJ,7,Synthesis and Design of novel morpholinyl mannich bases for Potential Inhibitory Activity of SARS-CoV-2 Main Protease.,"MR ELAMIN, SAJ ALMAHMOUD, TA YOUSEF, IK FARH, H IDRISS, ...",Oriental Journal of Chemistry 39 (2),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9G047jAAAAAJ,8,Caffeine and caffeine-containing pharmaceuticals as promising inhibitors for 3-chymotrypsin-like protease of SARS-CoV-2,AO Elzupir,"Journal of Biomolecular Structure and Dynamics 40 (5), 2113-2120",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=638889207891464591,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:HDshCWvjkbEC
9G047jAAAAAJ,9,"Phytochemical Discrimination, Biological Activity and Molecular Docking of Water-Soluble Inhibitors from Saussurea costus Herb against Main Protease of SARS …","H Idriss, B Siddig, PG Maldonado, HM Elkhair, AI Alakhras, EM Abdallah, ...","Molecules 27 (15), 4908",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2064488623619318856,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:r0BpntZqJG4C
9G047jAAAAAJ,10,"Co (II), Ni (II), and Zn (II) complexes of 5‐methyl‐1, 3, 4‐oxadiazol‐2‐amine Schiff base as potential heat shock protein 90 inhibitors: Spectroscopic, biological activity …","AS Al‐Janabi, AFK Al‐Bayati, OA ALtaie, AO Elzupir, TA Yousef","Applied Organometallic Chemistry 36 (12), e6899",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13567210496544931770,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:iH-uZ7U-co4C
9G047jAAAAAJ,11,"Synthesis of novel pyrrolidinyl chalcone derivatives: Spectral properties, energy band-gap tailoring, and amplified spontaneous emission","AO Elzupir, KH Ibnaouf","Journal of Molecular Structure 1250, 131698",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16549911708236282028,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:e5wmG9Sq2KIC
9G047jAAAAAJ,12,"Intermolecular CH-π electrons interaction in poly (9, 9-dioctylfluorenyl-2, 7-diyl)(PFO): an experimental and theoretical study","AO Elzupir, RK Hussein, KH Ibnaouf","Molecules 27 (5), 1488",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2504531076565212618,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:RHpTSmoSYBkC
9G047jAAAAAJ,13,"Synthesis, Crystal Structures, and Nonlinear Optical Properties of Chalcone Doped by Titanium Dioxide Nanoparticles for Solar Cell Application","MKM Ali, AO Elzupir, AI Aljameel, KH Ibnaouf","Journal of Nanoelectronics and Optoelectronics 17 (9), 1308-1314",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11020799914380991864,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:isC4tDSrTZIC
9G047jAAAAAJ,14,"Synthesis, anti-bacterial evaluation, DFT study and molecular docking as a potential 3-chymotrypsin-like protease (3CLpro) of SARS-CoV-2 inhibitors of a novel Schiff bases","ASM Al-Janabi, AO Elzupir, TA Yousef","Journal of Molecular Structure 1228, 129454",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16835377244806291887,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9G047jAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9G047jAAAAAJ:mB3voiENLucC
