Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
9Qe2APQAAAAJ,1,Ammonia gas sensors based on undoped and Ca-doped ZnO nanoparticles,"M Hjiri, S Algessair, R Dhahri, HB Albargi, NB Mansour, AA Assadi, G Neri","RSC advances 14 (8), 5001-5011",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10639418652905849108,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Qe2APQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9Qe2APQAAAAJ:WF5omc3nYNoC
9Qe2APQAAAAJ,2,"Investigating Fe-doped Ba 0.67 Ni 0.33 Mn 1− x Fe x O 3 (x= 0, 0.2) ceramics: insights into electrical and dielectric behaviors","F Tayari, KI Nassar, S Algessair, M Hjiri, M Benamara","RSC advances 14 (18), 12561-12573",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16614671262503131538,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Qe2APQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9Qe2APQAAAAJ:LkGwnXOMwfcC
9Qe2APQAAAAJ,3,Preparation and characterization of various PVPylated divalent metal-doped ferrite nanoparticles for magnetic hyperthermia,"K El-Boubbou, OM Lemine, S Algessair, N Madkhali, B Al-Najar, E AlMatri, ...","RSC advances 14 (22), 15664-15679",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1056810776749653543,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Qe2APQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9Qe2APQAAAAJ:roLk4NBRz8UC
9Qe2APQAAAAJ,4,"Formation of Natural Melanin/TiO2 Nanostructure Hybrids with Enhanced Optical, Thermal and Magnetic Properties as a Soft Material","S Algessair, N Madkhali","Journal of Wuhan University of Technology-Mater. Sci. Ed. 39 (3), 613-620",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9Qe2APQAAAAJ,5,Exploring the optical properties of metal-modified melanin following ultraviolet irradiation: An experimental and theoretical study using density functional theory,"N Madkhali, S Algessair",Heliyon 10 (7),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9Qe2APQAAAAJ,6,Heating ability of amine functionalized Fe3O4 as a function of field amplitude and frequency for hyperthermia application,"N Madkhali, F Alshehri, MM Abduljawad, S Algessair, OM Lemine","Physica Scripta 99 (4), 045957",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9Qe2APQAAAAJ,7,Gas sensing properties of hematite nanoparticles synthesized via different techniques,"M Hjiri, S Algessair, R Dhahri, A Mirzaei, G Neri","RSC advances 14 (25), 17526-17534",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9Qe2APQAAAAJ,8,Assessing the Heat Generation and Self-Heating Mechanism of Superparamagnetic Fe3O4 Nanoparticles for Magnetic Hyperthermia Application: The Effects of …,"OM Lemine, S Algessair, N Madkhali, B Al-Najar, K El-Boubbou","Nanomaterials 13 (3), 453",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16812165972046944518,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Qe2APQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9Qe2APQAAAAJ:Tyk-4Ss8FVUC
9Qe2APQAAAAJ,9,Tuning the heat dissipated by polyacrylic acid (PAA)-coated magnetite nanoparticles under alternating magnetic field for hyperthermia applications,"S Algessair, OM Lemine, N Madkhali, K El-Boubbou","Applied Physics A 129 (11), 814",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16172831793321730971,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Qe2APQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9Qe2APQAAAAJ:YsMSGLbcyi4C
9Qe2APQAAAAJ,10,Effect of Magnesium Ion Substitution on Physical Properties and Magnetic Induction Heating of Maghemite (γ-Fe2O3) Nanoparticles,"OM Lemine, A Faqih, S Algessair, N Madkhali, M Hjiri, SA Alrub, ...","Journal of Superconductivity and Novel Magnetism 36 (6), 1583-1593",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3184889621717979420,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Qe2APQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9Qe2APQAAAAJ:W7OEmFMy1HYC
9Qe2APQAAAAJ,11,"Effective removal of methylene blue from simulated wastewater using ZnO-chitosan nanocomposites: optimization, kinetics, and isotherm studies","ZU Zango, JO Dennis, AI Aljameel, F Usman, MKM Ali, BA Abdulkadir, ...","Molecules 27 (15), 4746",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7772197755941563310,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Qe2APQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9Qe2APQAAAAJ:IjCSPb-OGe4C
9Qe2APQAAAAJ,12,"Synthesis, characterization and heating efficiency of Gd-doped maghemite (γ-Fe2O3) nanoparticles for hyperthermia application","I Alotaibi, MS Alshammari, S Algessair, N Madkhali, NA All, M Hjiri, ...","Physica B: Condensed Matter 625, 413510",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=177423767230973136,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Qe2APQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9Qe2APQAAAAJ:2osOgNQ5qMEC
