Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
A5fs6DwAAAAJ,1,Impact of waste discharge concentration on fluid flow in inner stretched  and outer stationary co-axial cylinders,"RJPG Kholoud Saad Albalawi a , K. Karthik b , Mona Bin-Asfour a , Badr Saad ...",Applied Thermal Engineering 244,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18291012513925795131,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A5fs6DwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=A5fs6DwAAAAJ:UebtZRa9Y70C
A5fs6DwAAAAJ,2,Nonlinear complex dynamical analysis and solitary waves for the (3+1)-D nonlinear extended Quantum Zakharov–Kuznetsov equation,"1 Ibtehal Alazman , Badr Saad T. Alkahtani , Mati ur Rahman ,∗ , Manvendra ...",Results in Physics 58,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16062187373776426451,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A5fs6DwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=A5fs6DwAAAAJ:hqOjcs7Dif8C
A5fs6DwAAAAJ,3,Some families of differential equations associated with multivariate Hermite polynomials,"BST Alkahtani, I Alazman, SA Wani","Fractal and Fractional 7 (5), 390",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4314935539696633779,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A5fs6DwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=A5fs6DwAAAAJ:roLk4NBRz8UC
A5fs6DwAAAAJ,4,Nonexistence criteria for a generalized Boussinesq-type equation in bounded and unbounded domains,"I Aldawish, I Alazman, M Jleli, B Samet","Discrete and Continuous Dynamical Systems-S 16 (8), 2017-2029",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5041445865946583239,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A5fs6DwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=A5fs6DwAAAAJ:UeHWp8X0CEIC
A5fs6DwAAAAJ,5,Certain Properties of Δh Multi-Variate Hermite Polynomials,"I Alazman, BST Alkahtani, SA Wani","Symmetry 15 (4), 839",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2231303742094124977,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A5fs6DwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=A5fs6DwAAAAJ:WF5omc3nYNoC
A5fs6DwAAAAJ,6,Certain Properties and Applications of Convoluted Δh Multi-Variate Hermite and Appell Sequences,"SA Wani, I Alazman, BST Alkahtani","Symmetry 15 (4), 828",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=758965507628505201,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A5fs6DwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=A5fs6DwAAAAJ:eQOLeE2rZwMC
A5fs6DwAAAAJ,7,Instantaneous blow-up for evolution inequalities of Sobolev type with nonlinear convolution terms,"I Alazman, M Jleli","Discrete and Continuous Dynamical Systems-S 16 (8), 1996-2016",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
A5fs6DwAAAAJ,8,A (3+ 1)-dimensional equation of plasma drift waves perturbed by a singular potential in an infinite parallelepiped,"I Aldawish, I Alazman, M Jleli, B Samet","Journal of Physics A: Mathematical and Theoretical 56 (26), 265205",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
A5fs6DwAAAAJ,9,A Time-Fractional Schrödinger Equation with Singular Potentials on the Boundary,"I Alazman, M Jleli, B Samet","Fractal and Fractional 7 (6), 417",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
A5fs6DwAAAAJ,10,Analytical Solution of the Local Fractional KdV Equation,"KS Albalawi, I Alazman, JG Prasad, P Goswami","Mathematics 11 (4), 882",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
A5fs6DwAAAAJ,11,Hyperbolic inequalities with a Hardy potential singular on the boundary of an annulus,"I Alazman, I Aldawish, M Jleli, B Samet","AIMS Mathematics 8 (5), 11629-11650",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
A5fs6DwAAAAJ,12,A higher order evolution inequality with a gradient term in the exterior of the half-ball,"I Alazman, I Aldawish, M Jleli, B Samet","AIMS Mathematics 8 (4), 9230-9246",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
A5fs6DwAAAAJ,13,Investigation of novel piecewise fractional mathematical model for COVID-19,"I Alazman, BST Alkahtani","Fractal and Fractional 6 (11), 661",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9410392994113979959,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A5fs6DwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=A5fs6DwAAAAJ:Y0pCki6q_DkC
A5fs6DwAAAAJ,14,NONEXISTENCE RESULTS FOR A CLASS OF NONLINEAR FRACTIONAL DIFFERENTIAL INEQUALITIES INVOLVING ERDÉLYI–KOBER FRACTIONAL DERIVATIVES,"I Alazman, M Jleli, B Samet","Fractals 30 (10), 2240197",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
A5fs6DwAAAAJ,15,"Systems Of Nonlinear Delay Integral Equations: Positive Solutions, Comparison Theorems, And Data Dependence","I Alazman, M Jleli, B Samet","Fractals 30 (10), 2240250",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
A5fs6DwAAAAJ,16,On Study of Modified Caputo–Fabrizio Omicron Type COVID-19 Fractional Model,"KS Albalawi, I Alazman","Fractal and Fractional 6 (9), 517",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
