Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
BUlL9twAAAAJ,1,"Effect of Cr substitution on structural, magnetic, magnetocaloric and critical behaviors of La0. 7Y0. 05Ba0. 25MnO3 perovskite manganite","S Mnefgui, S Hcini, A Guedri, I Ghiloufi, R Charguia, A Mimouni, A Dhahri, ...","Journal of Solid State Chemistry 330, 124481",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11914084301479780015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUlL9twAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=BUlL9twAAAAJ:QndmRo8phpgC
BUlL9twAAAAJ,2,Ammonia gas sensors based on undoped and Ca-doped ZnO nanoparticles,"M Hjiri, S Algessair, R Dhahri, HB Albargi, NB Mansour, AA Assadi, G Neri","RSC advances 14 (8), 5001-5011",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10639418652905849108,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUlL9twAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=BUlL9twAAAAJ:ZbXHRDTBJTgC
BUlL9twAAAAJ,3,"Investigating Fe-doped Ba 0.67 Ni 0.33 Mn 1− x Fe x O 3 (x= 0, 0.2) ceramics: insights into electrical and dielectric behaviors","F Tayari, KI Nassar, S Algessair, M Hjiri, M Benamara","RSC advances 14 (18), 12561-12573",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16614671262503131538,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUlL9twAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=BUlL9twAAAAJ:5o6HiIVP414C
BUlL9twAAAAJ,4,Advanced degradation of organic pollutants using sonophotocatalytic peroxymonosulfate activation with CoFe2O4/Cu-and Ce-doped SnO2 composites,"M Hjiri, R Bujaldón, J Lloreda, E Gómez, A Serrà","Chemosphere 354, 141656",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
BUlL9twAAAAJ,5,"The Influence of Calcination Temperature on Structural, Optical, and Impedance Spectroscopy Properties of Mixed Ni0.4Cd0.3Co0.3Fe2O4 Spinel Ferrites …","N Missaoui, F Hcini, O Amorri, S Hcini, I Ghiloufi, J Dhahri, HA Alsalmah, ...","Journal of Inorganic and Organometallic Polymers and Materials 34 (2), 622-639",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
BUlL9twAAAAJ,6,Gas sensing properties of hematite nanoparticles synthesized via different techniques,"M Hjiri, S Algessair, R Dhahri, A Mirzaei, G Neri","RSC advances 14 (25), 17526-17534",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
BUlL9twAAAAJ,7,Green synthesis of iron oxide nanoparticles using Hibiscus plant extract,"MH M.S.Aida, N.H.Alonizan, B. Zarrad","Journal of Taibah University for Sciences 17 (2023), 2221827",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8549681469463326467,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUlL9twAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=BUlL9twAAAAJ:MbTKqoTs-1EC
BUlL9twAAAAJ,8,Room temperature UV-Vis activated NO2 gas sensor-based Mg-doped zinc oxide nanopowders,"S Jaballah, M Hjiri, N Zahmouli, HB Albargi, R Dhahri, H Dahman, LE Mir, ...","Journal of Materials Science: Materials in Electronics 34 (2), 137",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11524191525949785475,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUlL9twAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=BUlL9twAAAAJ:dFKc6_kCK1wC
BUlL9twAAAAJ,9,ZnO: V nanoparticles with enhanced antimicrobial activities,"L Alaya, AM Saeedi, AA Alsaigh, MHK Almalki, NH Alonizan, M Hjiri","Journal of Composites Science 7 (5), 190",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3814680833104393276,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUlL9twAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=BUlL9twAAAAJ:8xutWZnSdmoC
BUlL9twAAAAJ,10,Photo-Activated Ga-ZnO Gas Sensor for NO2 Detection at Near Ambient Temperature,"M Hjiri, G Neri",Journal of Inorganic and Organometallic Polymers and Materials 1-10,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8202826999439306542,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUlL9twAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=BUlL9twAAAAJ:1DAnfT_YoJgC
