Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Bm58r-QAAAAJ,1,The anti-staphylococcal fusidic acid as an efflux pump inhibitor combined with fluconazole against vaginal candidiasis in mouse model,"SE Gomaa, HA Abbas, FA Mohamed, MAM Ali, TM Ibrahim, ...","BMC microbiology 24 (1), 1-16",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Bm58r-QAAAAJ,2,Deciphering Campylobacter jejuni DsbA1 protein dynamics in the presence of anti-virulent compounds: a multi-pronged computer-aided approach,"MA Alghamdi, F Azam, P Alam",Journal of Biomolecular Structure and Dynamics 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Bm58r-QAAAAJ,3,Relocating Glyceryl Trinitrate as an Anti-Virulence Agent against Pseudomonas aeruginosa and Serratia marcescens: Insights from Molecular and In Vivo …,"SI Nazeih, MAM Ali, ASA Halim, H Al-Lawati, HA Abbas, M Al-Zharani, ...","Microorganisms 11 (10), 2420",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=451139446837785220,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bm58r-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bm58r-QAAAAJ:eQOLeE2rZwMC
Bm58r-QAAAAJ,4,Bee Pollen and Probiotics May Alter Brain Neuropeptide Levels in a Rodent Model of Autism Spectrum Disorders,"MA Alghamdi, L Al-Ayadhi, WM Hassan, RS Bhat, MA Alonazi, ...","Metabolites 12 (6), 562",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17279782489156697328,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bm58r-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bm58r-QAAAAJ:IjCSPb-OGe4C
Bm58r-QAAAAJ,5,Synthesis of Two Novel Copper (II) Complexes as Potential Inhibitors of HIV-1 Protease Enzyme: Experimental and Theoretical Investigations,"M Hamlaoui, I Hamlaoui, M Damous, Y Belhocine, N Sbei, FAM Ali, ...","Crystals 12 (8), 1066",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9666118209121808770,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bm58r-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bm58r-QAAAAJ:Tyk-4Ss8FVUC
Bm58r-QAAAAJ,6,Site‐directed mutagenesis of Serine‐72 reveals the location of the fructose 6‐phosphate regulatory site of the Agrobacterium tumefaciens ADP‐glucose …,"MA Alghamdi, RA Hussien, Y Zheng, HP Patel, MD Asencion Diez, ...","Protein Science 31 (7), e4376",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4307743837850046344,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bm58r-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bm58r-QAAAAJ:zYLM7Y9cAGgC
Bm58r-QAAAAJ,7,Assessment of a combination of plasma anti-histone autoantibodies and PLA2/PE ratio as potential biomarkers to clinically predict autism spectrum disorders,"A El-Ansary, M Al-Onazi, AM Alhowikan, MA Alghamdi, L Al-Ayadhi","Scientific Reports 12 (1), 1-12",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Bm58r-QAAAAJ,8,Author Correction: Assessment of a combination of plasma anti-histone autoantibodies and PLA2/PE ratio as potential biomarkers to clinically predict autism spectrum disorders,"A El-Ansary, M Al-Onazi, AM Alhowikan, MA Alghamdi, L Al-Ayadhi",Scientific Reports 12,2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Bm58r-QAAAAJ,9,"Design, Microwave-Assisted Synthesis and In Silico Prediction Study of Novel Isoxazole Linked Pyranopyrimidinone Conjugates as New Targets for Searching Potential Anti-SARS-CoV …","FK Algethami, M Cherif, S Jlizi, N Ben Hamadi, A Romdhane, MR Elamin, ...","Molecules 26 (20), 6103",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4024789652552959754,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bm58r-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bm58r-QAAAAJ:qjMakFHDy7sC
Bm58r-QAAAAJ,10,Fast fabrication of bismuth oxyiodide/carbon‐nanofibers composites for efficient anti‐proliferation of liver and breast cancer cells,"FK Algethami, MR Elamin, BY Abdulkhair, M Al‐Zharani, NAS Qarah, ...","Zeitschrift für anorganische und allgemeine Chemie 647 (19), 1921-1929",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6912060633429797026,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bm58r-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bm58r-QAAAAJ:2osOgNQ5qMEC
