Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
CRUo41EAAAAJ,1,Antioxidant Effects of Whey Protein as a Dietary Supplement to Alleviate Cadmium-Induced Oxidative Stress in Male Wistar Rats,"M Al-Zharani, E Almuqri, M Mubarak, N Aljarba, H Rudayni, K Yassen","Current Research in Nutrition and Food Science Journal 12 (1), 147-156",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CRUo41EAAAAJ,2,The impact of adding calcium ionomycin on the sperm capacitation medium of frozen thawed bovine spermatozoa,"M Aleissa, A Alhimaidi, R Amran, A Ammari, M Al-Ghadi, M Mubarak, ...","Journal of King Saud University-Science 36 (4), 103135",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CRUo41EAAAAJ,3,"Network Pharmacology, Molecular Docking, Simulation Studies of Urolithin A by Inhibiting AKT and Caspase Pathways against Colorectal Cancer","AA Abhishek Tiwari1,*, Varsha Tiwari1,*, Shivani Verma2 , Ajay Sharma3 ...","J. Biol. Regul. Homeost. Agents 38 (6), 5175–5194",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CRUo41EAAAAJ,4,Exogenous Melatonin Supplement Contributes as Antioxidant to Attenuate the Oxidative Stress Induced by Cadmium Toxicity in Male Wistar Rats,"MM Al-Zharani, EA Almuqri, MM Ahmed, NH Aljarba, HA Rudayni, ...","Biomedical and Biotechnology Research Journal 8 (2), 218-224",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CRUo41EAAAAJ,5,Use of Lactoferrin Supplement as an Efficient Antioxidant to Ameliorate the Effects of Mercury-induced Oxidative Stress in Male Wistar Rats,"MM Al Zharani, EA Ahmed, Mohammed Mubarak1, NH Aljarba, ...","Biomedical and Biotechnology Research Journal 8 (1), 45-52",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CRUo41EAAAAJ,6,Quercetin as a dietary supplementary flavonoid alleviates the oxidative stress induced by lead toxicity in male Wistar rats,"M Al-Zharani, M Mubarak, HA Rudayni, AA Al-Doaiss, MM Abd-Elwahab, ...","Nutrients 15 (8), 1888",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9435902328207587444,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CRUo41EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CRUo41EAAAAJ:M3ejUd6NZC8C
CRUo41EAAAAJ,7,"Intoxication Induced by Urea Containing Diets in Broiler Chickens: Effect on Weight Gain, Feed Conversion Ratio, Hematological and Biochemical Profiles","M Al-Zharani, M Mubarak, HA Rudayni, MM Abdelwahab, M Al-Eissa","Advances in Bioscience and Biotechnology 14 (3), 106-119",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8296680415925105545,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CRUo41EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CRUo41EAAAAJ:Y0pCki6q_DkC
CRUo41EAAAAJ,8,Use of multi-walled carbon nanotubes (MWCNTs) stabilized in Arabic gum colloidal solution to induce genotoxicity and apoptosis of human breast and lung cancer cell lines,"M Al-zharani, NM Alyami, AA Qurtam, NH Aljarba, S Alkahtani, M Mubarak, ...","Frontiers in Materials 10, 1229637",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6998672666519544531,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CRUo41EAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CRUo41EAAAAJ:qxL8FJ1GzNcC
CRUo41EAAAAJ,9,"Histomorphological, Histochemical and Ultrastructural Studies on the Healthy Liver of Yemen Veiled Chameleon (Chamaeleo calyptratus) in Southern Saudi Arabia.","AA Al-Doaiss, MA Alshehri, AA Shati, MY Alfaifi, MA Al-Kahtani, ...",International Journal of Morphology 41 (5),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CRUo41EAAAAJ,10,"Estudios Histomorfológicos, Histoquímicos y Ultraestructurales en el Hígado Sano del Camaleón Velado de Yemen (Chamaeleo calyptratus) en el Sur de Arabia Saudita","AA Al-Doaiss, MA Alshehri, AA Shati, MY Alfaifi, MA Al-Kahtani, ...","International Journal of Morphology 41 (5), 1513-1526",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
