Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Cbob540AAAAJ,1,Triple‐Band MIMO Antenna for 5 G Terminals,"A Ghiat, A Tribak, J Terhzaz, A Mimouni, H Akhdar","International Journal of Antennas and Propagation 2024 (1), 6410202",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Cbob540AAAAJ,2,Novel Folded Antenna Design and SAR Analysis for WCE and Biomedical Applications,"A Mimouni, B Fady, J Terhzaz, A Tribak, H Akhdar",Progress in Electromagnetics Research C 135,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=101999258610903677,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Cbob540AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Cbob540AAAAJ:LkGwnXOMwfcC
Cbob540AAAAJ,3,Design and manufacturing of iris waveguide filters for satellite communication,"H Setti, A Mimouni, A Tribak","TELKOMNIKA (Telecommunication Computing Electronics and Control) 21 (2), 247-252",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15986871199281169002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Cbob540AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Cbob540AAAAJ:WF5omc3nYNoC
Cbob540AAAAJ,4,Programmable Miniaturized Multiband Antenna System and Applications for Smart Industry.,A Mimouni,International Journal of Microwave & Optical Technology 18 (2),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1929363194298997907,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Cbob540AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Cbob540AAAAJ:ufrVoPGSRksC
Cbob540AAAAJ,5,a new technique to estimate relative permittivity of dielectric materials at high frequency,"asmae mimouni lahcen ait benali, abdelwahed tribaq, jawad terhzaz","international journal of microwave and optical technology 17 (6), 651-655",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4155488328580797977,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Cbob540AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Cbob540AAAAJ:W7OEmFMy1HYC
Cbob540AAAAJ,6,design and manufacturing of iris waveguide filters for satellite communication,"a. tribaq hicham setti, a. mimouni","telkomnika telecommunication computing electronic and control 22 (5), 1-7",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Cbob540AAAAJ,7,"Contribution to the Study, Design and Production of a Miniaturized Adjustable Phase Coupler for Beam Steering Applications","A Mimouni, M El Bakkali, NA Touhami","Progress In Electromagnetics Research Letters 103, 143 - 150",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Cbob540AAAAJ,8,asymmetric shunt inductance iris rectangular waveguide filters for satellite communication,"a. tribaq and o. souna hicham setti, a. mimouni",ICIES' '22 351 (22),2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Cbob540AAAAJ,9,Gate leakage current in GaN HEMT’s: A degradation modeling approach,"A Mimouni, T Fernández, J Rodriguez-Tellez, A Tazón, H Baudrand, ...","Electrical and Electronic Engineering 2 (6), 397-402",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8498591642248661793,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Cbob540AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Cbob540AAAAJ:9yKSN-GCB0IC
Cbob540AAAAJ,10,Nonlinear modeling of trapping and thermal effects on GaAs and GaN MESFET/HEMT devices,"M Chaibi, T Fernandez, A Mimouni, J Rodriguez-Tellez, A Tazón, ...","Progress In Electromagnetics Research 124, 163-186",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=933244947555794353,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Cbob540AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Cbob540AAAAJ:u-x6o8ySG0sC
