Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
DFzUUEAAAAAJ,1,Steklov problems for the p−Laplace operator involving Lq-norm,AEKAT My Driss Morchid Alaoui,"Moroccan Journal of Pure and Applied Mathematics 8 (2), 228-243",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DFzUUEAAAAAJ,2,Eigencurves of the (·)-Biharmonic operator with a Hardy-type term,"M Laghzal, A El Khalil, MDM Alaoui, A Touzani","Moroccan Journal of Pure and Applied Analysis 6 (2), 198-209",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3580530998723476133,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:43bX7VzcjpAC
DFzUUEAAAAAJ,3,On the spectrum of Robin boundary p-Laplacian problem,AE Khalil,"Moroccan Journal of Pure and Applied Analysis 5 (2), 279–293",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4535065101516240816,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:ubry08Y2EpUC
DFzUUEAAAAAJ,4,A Weighted Eigenvalue Problems Driven by both (·)-Harmonic and (·)-Biharmonic Operators,"M Laghzal, A El Khalil, A Touzani","Communications in Mathematics 2020 (0011), 14",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3361421144799696791,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:7Hz3ACDFbsoC
DFzUUEAAAAAJ,5,On a nonlinear PDE involving weighted p-Laplacian,"A El Khalil, MDM Alaoui, M Laghzal, A Touzani","Bol Soc Paran Mat 38, 131-145",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9082262247644213106,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:NyGDZy8z5eUC
DFzUUEAAAAAJ,6,Eigenvalues for a class of singular problems involving p (x)-Biharmonic operator and q (x)-Hardy potential,"A El Khalil, M Laghzal, MDM Alaoui, A Touzani","Advances in Nonlinear Analysis 9 (1), 1130-1144",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10386525835492207155,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:48xauSegjOkC
DFzUUEAAAAAJ,7,Γ-convergence: an application to eigenvalue problems,"I Brahmi, A El Khalil, A Touzani","Italian Journal of Pure and Applied Mathematics 2019 (42), 449–457",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DFzUUEAAAAAJ,8,Stability of eigenvalues of a fourth order partial differential equation,"AT I. Brahimi, A. EL KHALIL","International Journal of Mathematical Analysis 13 (3), 123-133",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DFzUUEAAAAAJ,9,Multiplicity results for quasi linear problems involving p(x)-Laplace operator,"MD Morchid Alaoui, A El Khalil, A Touzani","Complex Variables and Elliptic Equations 63 (11), 1664-1674",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DFzUUEAAAAAJ,10,On the Spectrum of problems involving both p (x)-Laplacian and P (x)-Biharmonic,"A El Khalil, MDM Alaoui, A Touzani","Advances in Science, Technology and Engineering Systems Journal 2 (5), 134-140",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6987166170927945392,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:fQNAKQ3IYiAC
DFzUUEAAAAAJ,11,A bifurcation result involving Sobolev trace embedding and the duality mapping of,A El Khalil,"Moroccan Journal of Pure and Applied Analysis 3 (2), 186-198",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DFzUUEAAAAAJ,12,On the p‐Biharmonic Operator with Critical Sobolev Exponent and Nonlinear Steklov Boundary Condition,"A El Khalil, MDM Alaoui, A Touzani","International Journal of Analysis 2014 (1), 498386",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3214647516324211375,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:sJsF-0ZLhtgC
DFzUUEAAAAAJ,13,On the spectrum of the -biharmonic operator involving -Hardy's inequality,"A El Khalil, MDM Alaoui, A Touzani","Applicationes Mathematicae 41, 239-246",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14140952190010249618,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:foquWX3nUaYC
DFzUUEAAAAAJ,14,On the -biharmonic operator with critical Sobolev exponent,"A El Khalil, MDM Alaoui, A Touzani","Applicationes Mathematicae 41, 229-237",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6548827402663672472,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:tS2w5q8j5-wC
DFzUUEAAAAAJ,15,On the principal frequency curve of the p-biharmonic operator,"A El Khalil, S Kellati, A Touzani","Arab Journal of Mathematical Sciences 17 (2), 89-99",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2411592081596556767,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:9ZlFYXVOiuMC
DFzUUEAAAAAJ,16,On a Class of PDE Involving p‐Biharmonic Operator,A El Khalil,"International Scholarly Research Notices 2011 (1), 630745",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12770959780562770858,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:1lhNe0rCu4AC
DFzUUEAAAAAJ,17,On a Class of PDE Involving                      -Biharmonic Operator,EK Abdelouahed,ISRN Mathematical Analysis 2011,2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DFzUUEAAAAAJ,18,On a Class of PDE Involving 𝑝-Biharmonic Operator,A El Khalil,International Scholarly Research Notices 2011,2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DFzUUEAAAAAJ,19,Some results on strongly nonlinear anisotropic differential equations,"L Bougoffa, A El Khalil, S El Manouni","Applicationes Mathematicae 3 (37), 375-386",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DFzUUEAAAAAJ,20,PERTURBED NONLINEAR DEGENERATE PROBLEMS IN RN,"A El Khalil, S El Manouni, M Ouanan","Applicationes Mathematicae 36 (2), 213-223",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DFzUUEAAAAAJ,21,On some nonlinear elliptic problems for p-Laplacian in RN,"A El Khalil, S El Manouni, M Ouanan","NoDEA Nonlinear Differential Equations Appl 15, 295-307",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5802122588457921586,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:dBIO0h50nwkC
DFzUUEAAAAAJ,22,Boundary eigencurve problems involving the-Laplacian operator.,"A El Khalil, M Ouanan",Electronic Journal of Differential Equations (EJDE)[electronic only] 2008 …,2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8031426002274500688,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:olpn-zPbct0C
DFzUUEAAAAAJ,23,On some nonlinear elliptic problems for p–Laplacian in,"AE Khalil, SE Manouni, M Ouanan","Nonlinear Differential Equations and Applications NoDEA 15 (3), 295-308",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8971447311026256800,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:6yz0xqPARnAC
DFzUUEAAAAAJ,24,On the Principal Eigencurve of the p-Laplacian: Stability Phenomena,"A El Khalil, S El Manouni, M Ouanan","Canadian Mathematical Bulletin 49 (3), 358-370",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4687491866767917207,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:pqnbT2bcN3wC
DFzUUEAAAAAJ,25,Simplicity and stability of the first eigenvalue of a nonlinear elliptic system,"A El Khalil, S El Manouni, M Ouanan",International Journal of Mathematics and Mathematical Sciences 2005 (10 …,2005,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5249985885837930003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DFzUUEAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DFzUUEAAAAAJ:cFHS6HbyZ2cC
