Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
EyiEY3QAAAAJ,1,"Surfactant-Assisted synthesis of α-and β-Ag2WO4 modified with Sulphur, Phosphorous, and boron and their applications in wastewater elimination","M Khairy, MM Mohamed, ME Khalifa, EA Abdelrahman, M Sameeh","Journal of Photochemistry and Photobiology A: Chemistry 450, 115458",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7159954020795474812,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EyiEY3QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=EyiEY3QAAAAJ:NhqRSupF_l8C
EyiEY3QAAAAJ,2,Efficient Photocatalytic Decomposition of Acid Blue 25 Dye using Facilely Synthesized Magnesium Aluminate Nanoparticles,"RKSEAA Eida S. Al-Farraj, Mohamed Khairy, Fawaz A. Saad",Water Conservation Science and Engineering 9,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15818294262273115642,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EyiEY3QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=EyiEY3QAAAAJ:xtRiw3GOFMkC
EyiEY3QAAAAJ,3,"Phosphorous, boron and sulphur-doped silver tungstate-based nanomaterials toward electrochemical methanol oxidation and water splitting energy applications","SE Mohamed Mokhtar Mohamed, M. Khairy","International Journal of Hydrogen Energy 50, 1232-1245",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5384420334983757761,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EyiEY3QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=EyiEY3QAAAAJ:f2IySw72cVMC
EyiEY3QAAAAJ,4,"Innovative optimization for maximum magnetic nanoparticles production by Trichoderma asperellum with evaluation of their antibacterial activity, and application in sustainable …","RM El-Sharkawy, M Khairy, MEA Zaki, MHH Abbas","Environmental Technology & Innovation 35, 103660",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
EyiEY3QAAAAJ,5,Enhanced electrical properties of spun blend polymer composite electrolyte PMMA–PVdF-co-HFP–PEO/LiBF4 containing nano SiO2 for lithium-ion batteries application,"EM Masoud, TZ Abolibda, A Toghan, MY Nassar, M Khairy, MEA Zaki, ...",Ionics 1-23,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
EyiEY3QAAAAJ,6,"Facile synthesis of TiO2@ ZnO nanoparticles for enhanced removal of methyl orange and indigo carmine dyes: Adsorption, kinetics","MAB Aissa, M Khairy, ME Khalifa, EA Abdelrahman, N Raza, EM Masoud, ...",Heliyon 10 (10),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
EyiEY3QAAAAJ,7,Enhancing the Conductivity and Dielectric Characteristics of Bismuth Oxyiodide via Activated Carbon Doping,"M Khairy, FK Algethami, AN Alotaibi, RS Almufarij, BY Abdulkhair","Molecules 29 (9), 2082",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
EyiEY3QAAAAJ,8,Evaluating the water splitting promotion effects of birnessite Mn3+/4+ platelets of α-Mn3O4 coated with Ag@ Ag2WO4 nanosphericals,"MM Mohamed, SM Syam, M Khairy","International Journal of Hydrogen Energy 61, 1028-1042",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
EyiEY3QAAAAJ,9,Novel ternary mesoporous Co3CsO4-g-C3N4 nanocomposite as an efficient sorbent for Pb (II) and Cu (II) ions elimination,"M Khairy, EA Abdelrahman, N Raza, EM Masoud, LS Alqarni, MAB Aissa, ...","Journal of Materials Science: Materials in Electronics 35 (11), 1-14",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
EyiEY3QAAAAJ,10,"Nano Na-Montmorillonite@ Polyaniline Hybrid Composite: Effect of Nano Na-Montmorillonite Content on Structure, Thermal Stability and Electrical Properties","EM Masoud, TZ Abolibda, M Khairy",Journal of Inorganic and Organometallic Polymers and Materials 1-12,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
