Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
GSyWvl8AAAAJ,1,"Green synthesis of magnesium oxide nanoparticles using endophytic fungal strain to improve the growth, metabolic activities, yield traits, and phenolic compounds content of …","MAA Amin, AM Abu-Elsaoud, AI Nowwar, AT Abdelwahab, MA Awad, ...","Green Processing and Synthesis 13 (1), 20230215",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13198517742281306193,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GSyWvl8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GSyWvl8AAAAJ:-vzq6BoH5oUC
GSyWvl8AAAAJ,2,Metabolite profiling and in-silico studies show multiple effects of insecticidal actinobacterium on Spodoptera littoralis,"MK Diab, HM Mead, MA Khedr, MS Nafie, AM Abu-Elsaoud, ...","Scientific Reports 14 (1), 3057",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=666350675209988310,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GSyWvl8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GSyWvl8AAAAJ:1wZ_wKGpLuwC
GSyWvl8AAAAJ,3,"The Impact of Food Waste Compost, Vermicompost, and Chemical Fertilizers on the Growth Measurement of Red Radish (Raphanus sativus): A Sustainability …","SB Almaramah, AM Abu-Elsaoud, WA Alteneiji, ST Albedwawi, ...","Foods 13 (11), 1608",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12827915422735414005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GSyWvl8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GSyWvl8AAAAJ:hB2aVRuWZNwC
GSyWvl8AAAAJ,4,"Effect of salinity, nitrogen and phosphorus stresses on growth and photosynthetic activity of the marine microalga Dunaliella parva","ELS Mostafa, S Dewidar, A Hamad, AM Abu-elsaoud, M Alharbi, ...","Notulae Botanicae Horti Agrobotanici Cluj-Napoca 52 (1), 13426-13426",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11003678687150490378,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GSyWvl8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GSyWvl8AAAAJ:jRIwE-1ttnoC
GSyWvl8AAAAJ,5,Endophytic fungi hosted anti-diabetic medicinal plants as a source of α-Amylase and α-Glucosidase inhibitors,"BM Khader, AM Abu-Elsaoud, AMG Darwish, AM Abdel-Azeem","Microbial Biosystems 8 (2), 44-56",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9880421785857714209,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GSyWvl8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GSyWvl8AAAAJ:cOfwuRB03ygC
GSyWvl8AAAAJ,6,"Does Erodium trifolium (Cav.) Guitt exhibit medicinal properties? Response elements from phytochemical profiling, enzyme-inhibiting, and antioxidant and …","A Bouhedda, H Laouer, N Souilah, C Çakır, N Bouriah, AM Abu-Elsaoud, ...","Open Chemistry 22 (1), 20240049",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GSyWvl8AAAAJ,7,Actinomycetes are a natural resource for sustainable pest control and safeguarding agriculture,"MK Diab, HM Mead, MM Ahmad Khedr, AM Abu-Elsaoud, SA El-Shatoury","Archives of Microbiology 206 (6), 268",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GSyWvl8AAAAJ,8,"Effect of Normal and Magnetized Gray Water on Growth, Mineral Hemostasis and Antioxidant Content in Zucchini (Cucurbita pepo L.)","A Moussa, M Omar, AG Mancy, A Abu-Elsaoud, I Ali, E Azab, A Elkelish","Egyptian Journal of Soil Science 64 (2), 561-580",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GSyWvl8AAAAJ,9,Induction of abiotic stress tolerance in plants by endophytic fungi hosted wild plants,"FA Abo Nouh, AM Abu-Elsaoud, AM Abdel-Azeem","Microbial Biosystems 9 (1), 38-50",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GSyWvl8AAAAJ,10,"Optimization of polyphenol extraction, phenolic profile by LC-ESI-MS/MS, antioxidant, anti-enzymatic, and cytotoxic activities of Physalis acutifolia","L Derbak, H Bendif, R Ayad, C Bensouici, İ Yildiz, I Demirtas, K Rebbas, ...","Open Chemistry 22 (1), 20240040",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
