Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
GYTGrJcAAAAJ,1,On Salem half-norms,T Zaïmi,"Quaestiones Mathematicae 45 (1), 91-99",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8122290138329903935,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GYTGrJcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GYTGrJcAAAAJ:mB3voiENLucC
GYTGrJcAAAAJ,2,On the zeros of the derivatives of certain polynomials,T Zaïmi,"Moscow Journal of Combinatorics and Number Theory 11 (3), 205-214",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GYTGrJcAAAAJ,3,On Salem numbers which are Mahler measures of nonreciprocal 2-Pisot numbers,T Zaimi,"Publicationes Mathematicae 98 (3-4), 467-474",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7045987680893890625,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GYTGrJcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GYTGrJcAAAAJ:R3hNpaxXUhUC
GYTGrJcAAAAJ,4,Comments on Salem polynomials,T Zaïmi,"Archiv der Mathematik 117, 41-51",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2805198777938181611,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GYTGrJcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GYTGrJcAAAAJ:TQgYirikUcIC
GYTGrJcAAAAJ,5,Salem numbers as Mahler measures of Gaussian Pisot numbers,T Zaïmi,"Acta Arithmetica 194, 383-392",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17471798512397058655,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GYTGrJcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GYTGrJcAAAAJ:-f6ydRqryjwC
GYTGrJcAAAAJ,6,On the distribution of powers of a Gaussian Pisot number,T Zaïmi,"Indagationes Mathematicae 31 (1), 177-183",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9271525152516675184,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GYTGrJcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GYTGrJcAAAAJ:hC7cP41nSMkC
GYTGrJcAAAAJ,7,Quartic Salem numbers which are Mahler measures of non-reciprocal 2-Pisot numbers,T Zaïmi,"Journal de théorie des nombres de Bordeaux 32 (3), 877-889",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6448890950144718883,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GYTGrJcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GYTGrJcAAAAJ:HDshCWvjkbEC
GYTGrJcAAAAJ,8,A remark on an algorithm for testing Pisot polynomials,T Zaimi,"Publicationes Mathematicae 96 (3-4), 423-426",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=222092488111794803,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GYTGrJcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GYTGrJcAAAAJ:hFOr9nPyWt4C
GYTGrJcAAAAJ,9,Corps CM ayant une unité reciproque primitive,"C Greither, T Zaimi","Comptes Rendus Mathematique 356 (1), 8-12",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GYTGrJcAAAAJ,10,CM fields with a reciprocal unit-primitive element,"C Greither, T Zaïmi","Comptes Rendus. Mathématique 356 (1), 8-12",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
