Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Gj9Y3a8AAAAJ,1,Synthesis of MoS2-loaded Co3O4 nanocrystals for endorsed photocatalytic reduction of mercury (II) ions under visible light,KS Al-Namshah,"Optical Materials 142, 114114",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16077201858207147333,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:3fE2CSJIrl8C
Gj9Y3a8AAAAJ,2,Auto combustion synthesis and characterization of Co doped ZnO nanoparticles with boosted photocatalytic performance,"KS Al-Namshah, M Shkir, FA Ibrahim, MS Hamdy","Physica B: Condensed Matter 625, 413459",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6028310853312697833,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:W7OEmFMy1HYC
Gj9Y3a8AAAAJ,3,Enhancement of photodegradation activity of ZnO nanoparticles prepared by one-pot flash combustion route: An effect of Ag doping,"KS Al-Namshah, SA Adewinbi, M Shkir, IM Ashraf, MS Hamdy","Optical and Quantum Electronics 54 (12), 838",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12518947187568607526,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:hqOjcs7Dif8C
Gj9Y3a8AAAAJ,4,The utilization of ball-mill in the fabrication of metallic titanium incorporated carbon nitride as an active visible light sensitive photocatalyst,KS Al-Namshah,"Inorganic Chemistry Communications 137, 109194",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=968930305010167380,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:u-x6o8ySG0sC
Gj9Y3a8AAAAJ,5,rGO supported g-C3N4/CoFe2O4 heterojunction: Visible-light-active photocatalyst for effective utilization of H2O2 to organic pollutant degradation and OH radicals production,"B Palanivel, M Lallimathi, B Arjunkumar, M Shkir, T Alshahrani, ...","Journal of Environmental Chemical Engineering 9 (1), 104698",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9939222850378035228,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:_FxGoFyzp5QC
Gj9Y3a8AAAAJ,6,"Novel Mg@ ZnO nanoparticles synthesized by facile one-step combustion route for anti-microbial, cytotoxicity and photocatalysis applications","MS Hamdy, KV Chandekar, M Shkir, S AlFaify, EH Ibrahim, Z Ahmad, ...","Journal of Nanostructure in Chemistry 11, 147-163",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16515171997516899279,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:kNdYIx-mwKoC
Gj9Y3a8AAAAJ,7,Development of mesoporous Bi2WO6/g-C3N4 heterojunctions via soft-and hard-template-assisted procedures for accelerated and reinforced photocatalytic reduction of mercuric …,"KS Al-Namshah, RM Mohamed","Ceramics International 47 (4), 5003-5012",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12084723439502653476,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:Se3iqnhoufwC
Gj9Y3a8AAAAJ,8,Photocatalytic degradation mechanism of Ce-loaded ZnO catalysts toward methyl green dye pollutant,"KS Al-Namshah, SM Mariappan, M Shkir, MS Hamdy","Applied Physics A 127 (6), 452",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15612245799198491842,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:8k81kl-MbHgC
Gj9Y3a8AAAAJ,9,A noticeable consistent improvement in photocatalytic efficiency of hazardous textile dye through facile flash combustion synthesized Li-doped ZnO nanoparticles,"KV Chandekar, M Shkir, S AlFaify, BM Al-Shehri, KS Al-Namshah, ...","Journal of Materials Science: Materials in Electronics 32, 3437-3450",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14810766632957338542,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:0EnyYjriUFMC
Gj9Y3a8AAAAJ,10,Impact of CuO incorporation on the photocatalytic enhancement of the mesostructured Fe2O3 nanocomposite,KS Al-Namshah,"Applied Nanoscience 11, 467-476",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5062939439852630986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Gj9Y3a8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Gj9Y3a8AAAAJ:IjCSPb-OGe4C
