Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
GjYyTt8AAAAJ,1,A Review on Internet of Things (IoT)-Related Disabilities and Their Implications,"HE Semary, KA Al-Karawi, MM Abdelwahab, AM Elshabrawy","Journal of Disability Research 3 (2), 20240012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2441111629691921888,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:qUcmZB5y_30C
GjYyTt8AAAAJ,2,Univariate and bivariate extensions of the truncated inverted arctan power distribution with applications,"HE Semary, C Chesneau, MA Aldahlan, I Elbatal, M Elgarhy, ...","Alexandria Engineering Journal 100, 340-356",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,3,Alpha–beta-power family of distributions with applications to exponential distribution,"HE Semary, Z Hussain, WA Hamdi, MA Aldahlan, I Elbatal, ...","Alexandria Engineering Journal 100, 15-31",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,4,A new extension of inverse length biased exponential model with statistical inference under joint censored samples and application,"MM Abdelwahab, I Elbatal, M Elgarhy, AB Ghorbal, HE Semary, ...","Alexandria Engineering Journal 99, 377-393",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,5,Integrating gene selection and deep learning for enhanced Autisms' disease prediction: a comparative study using microarray data,"MM Abdelwahab, KA Al-Karawi, HE Semary",AIMS Mathematics 9 (7),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,6,Implications of labour market disruptions on subjective wellbeing during the COVID-19 pandemic in MENA countries,"MM Abdelwahab, MR Abonazel, HE Semary, S Abdel-Rahman",Heliyon 10 (4),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,7,New comprehensive class of estimators for population proportion using auxiliary attribute: Simulation and an application,"EMA H.E. Semary , Sohaib Ahmad , Ibrahim Elbatal , Christophe Chesneau ...","Alexandria Engineering Journal 99, 130-136",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,8,A Review on Internet of Things (IoT)-Related Disabilities and Their Implications,"MMAAME H. E. Semary, Khamis A. Al-Karawi","Journal of Disability Research 3 (2), 1-16",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,9,Deep Learning-Based Prediction of Alzheimer’s Disease Using Microarray Gene Expression Data,KAAKHES Mahmoud M. Abdelwahab,"Biomedicines 11 (12), 1-17",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3579916792159032273,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:QIV2ME_5wuYC
GjYyTt8AAAAJ,10,Determinants of Discontinuation and Switching from Family Planning Methods: Applying to the Egyptian Demographic Health Survey Data 2014,"HE Semary, EM Hassneen, S Gamal, A El-Shabrawy","Int J Contemp Math Sci 16 (1), 35-51",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4995734697822118871,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:W7OEmFMy1HYC
GjYyTt8AAAAJ,11,A New Family of Lifetime Models: Theoretical Developments with Applications in Biomedical and Environmental Data,"Ibrahim Elbatal, Sadaf Khan, Tassaddaq Hussain , Mohammed Elgarhy , Naif ...","Axioms 11 (361), 1-30",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11210082945765163214,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:M3ejUd6NZC8C
GjYyTt8AAAAJ,12,Predicting Health Facility Delivery Among Women in Egypt Based on Antenatal Care,"HE Semary, EM Hassneen, RE Ibrahim","International Journal of Contemporary Mathematical Sciences 16 (2), 79-99",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2288806261927601034,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:2osOgNQ5qMEC
GjYyTt8AAAAJ,13,Using Logistic Regression to Measure Unmet Need Levels in Some Rural Upper Egypt Governorates,HE Semary,"International Journal of Contemporary Mathematical Sciences 15 (1), 1-10",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17366008987398595330,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:KlAtU1dfN6UC
GjYyTt8AAAAJ,14,استخدام نموزج الشبکات العصبية للتنبؤ بمعدل الاحتفاظ فى التأمينات العامة,"حاتم السيد سمري, حاتم السيد","مجلة البحوث التجارية 44 (1), 511-562",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,15,STATISTICAL INFERENCE FOR A SIMPLE STEP-STRESS MODEL WITH TYPE-II HYBRID CENSORED DATA FROM THE KUMARASWAMY WEIBULL DISTRIBUTION.,"RE Ibrahim, HE Semary",Journal of Data Science 18 (1),2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1624960289363111972,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:9yKSN-GCB0IC
GjYyTt8AAAAJ,16,Estimation for a Simple Step–Stress Model with Type–II Hybrid Censored Data from the Exponentiated Rayleigh Distribution,"RE Ibrahim, HE Semary","International Journal of Contemporary Mathematical Sciences 15 (1), 37-52",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,17,"The Factorial Composition and Weights for Subjective Component in Well-Being Index: Case Study in Giza Governorate, Egypt","RE Ibrahim, EM Hassneen, HE Semary","International Journal of Contemporary Mathematical Sciences 14 (2), 69-79",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14142633693363986897,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:MXK_kJrjxJIC
GjYyTt8AAAAJ,18,The Determination of the Reorder Point Using the Marshall–Olkin Extended Weibull Distribution in Inventory Control,"RE Ibrahim, HE Semary","International Journal of Contemporary Mathematical Sciences 13 (5), 219-230",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,19,Seasonal Pattern for Under–Five Children Mortality in Egypt,"A Elabbasy, HE Semary","International Journal of Engineering 4 (5), 8269",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1061715509536409142,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:u-x6o8ySG0sC
GjYyTt8AAAAJ,20,The Applications of the Generalized Beta II Distribution in Inventory Control,MEA Mead,"Austuralia 20, 102-113",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GjYyTt8AAAAJ,21,The applications of the modified generalized gamma distribution in inventory control,"IM Abd El-Fatah, ME Mead, HE Semary","International Journal of Contemporary Mathematical Sciences 6 (35), 1699-1712",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=832095458410534139,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjYyTt8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjYyTt8AAAAJ:u5HHmVD_uO8C
