Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
GjgCLaUAAAAJ,1,"MoO3 nanoplates reinforced the structural, electrical, mechanical, and antibacterial characteristics of polyvinyl pyrrolidone/sodium alginate polymer blend for optoelectronics …","AA Al-Muntaser, RA Althobiti, MA Morsi, HA Alsalmah, AE Tarabiah, ...","International Journal of Biological Macromolecules 254, 127894",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6197502863081653210,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:Se3iqnhoufwC
GjgCLaUAAAAJ,2,"Alteration in the structural, optical, thermal, electrical, and dielectric properties of PMMA/PVDF blend by incorporation of Ni/ZnO nanohybrid for optoelectronic and energy …","A Rajeh, HA Althobaiti, SJ Almehmadi, HA Alsalmah, NA Masmali, ...","Journal of Inorganic and Organometallic Polymers and Materials 34 (3), 1221-1231",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10511704995679384778,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:LkGwnXOMwfcC
GjgCLaUAAAAJ,3,"Optical, conductivity, dielectric, and magnetic properties of polymer nanocomposite based on PAM/cs matrix and ZnFe2O4 NPs for use in magneto-electronic and energy storage …","HA Alsalmah, A Rajeh, O Nur","Ceramics International 50 (7), 12167-12174",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12631372715861962481,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:3fE2CSJIrl8C
GjgCLaUAAAAJ,4,Synthesis and characterization of PEG/CS‐AgNO3 polymer nanocomposites for flexible optoelectronic and energy storage applications,"HA Alsalmah, A Rajeh, MO Farea, O Nur","Polymer Composites 45 (6), 5164-5175",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7210626919460652263,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:MXK_kJrjxJIC
GjgCLaUAAAAJ,5,"Enhancement in the optoelectronic and thermoelectric properties of the NaASb (A= Ca, Sr and Ba) Sodium Antimonides via switching from P4/nmm to P62 m symmetry","H Al Salmah, S Mehmood","Journal of Science: Advanced Materials and Devices 9 (1), 100662",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=794560534374330795,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:Zph67rFs4hoC
GjgCLaUAAAAJ,6,"Synergistic effects of co-doping and rGO reinforcement to boost the structural, electrical, optical, and photocatalytic properties of manganese ferrite",HA Alsalmah,"Ceramics International 50 (3), 4687-4698",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4862033067440057823,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:UebtZRa9Y70C
GjgCLaUAAAAJ,7,"Structural, thermal, optical, morphological, electrical, and photocatalytic characteristics of silver-doped bismuth oxide synthesized by the green route",HA Alsalmah,"Ceramics International 50 (9), 14675-14685",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9876807663311655783,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:kNdYIx-mwKoC
GjgCLaUAAAAJ,8,"Structure, Opto-electronic and Thermoelectric Properties of Tetra One Type Structured Compounds AFMgY (A= Ca–Ba and Y= P, As) for Solar Cell and Thermoelectric Applications","HA Alsalmah, S Mehmood",Journal of Inorganic and Organometallic Polymers and Materials 1-15,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15512101269426487727,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:_kc_bZDykSQC
GjgCLaUAAAAJ,9,"Investigation of Pressure-Dependent Electronic and Optical Properties of Double Perovskites Cs2AgXY6 (X = Bi, In; Y = Cl, Br)","S Shakeel, P Song, HA Alsalmah, G Murtaza, T Huang","Journal of Inorganic and Organometallic Polymers and Materials 34 (3), 1040-1054",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6087022266827995211,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:ufrVoPGSRksC
GjgCLaUAAAAJ,10,"Nanoengineering of novel MXene (Ti3C2Tx) based MgCr2O4 nanocomposite with detailed synthesis, morphology and characterization for enhanced energy storage application","R Shafique, M Rani, K Batool, AA Shah, AAA Bahajjaj, M Sillanpää, ...","Materials Science and Engineering: B 299, 117036",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18119200256293509177,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GjgCLaUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GjgCLaUAAAAJ:hqOjcs7Dif8C
