Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
HEfoQi8AAAAJ,1,Machine learning analysis of heat transfer and electroosmotic effects on multiphase wavy flow: A numerical approach,"MN Aslam, A Riaz, N Shaukat, MW Aslam, G Alhamzi","International Journal of Numerical Methods for Heat & Fluid Flow 34 (1), 150-177",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3779290150087519627,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HEfoQi8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HEfoQi8AAAAJ:kNdYIx-mwKoC
HEfoQi8AAAAJ,2,Thermal and mass exchange in a multiphase peristaltic flow with electric-debye-layer effects and chemical reactions using machine learning,"M Alqudah, A Riaz, MN Aslam, M Shehzadi, MW Aslam, N Shaukat, ...","Case Studies in Thermal Engineering 56, 104234",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4461999361793982610,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HEfoQi8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HEfoQi8AAAAJ:4DMP91E08xMC
HEfoQi8AAAAJ,3,Study of fractional variable-order lymphatic filariasis infection model,"MB Jeelani, G Alhamzi, MB Zada, M Hassan","Open Physics 22 (1), 20230206",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HEfoQi8AAAAJ,4,Unveiling new insights: taming complex local fractional Burger equations with the local fractional Elzaki transform decomposition method,"G Alhamzi, JG Prasad, BST Alkahtani, RS Dubey","Frontiers in Applied Mathematics and Statistics 10, 1323759",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HEfoQi8AAAAJ,5,A new solution of the nonlinear fractional logistic differential equations utilizing efficient techniques,"AH Ganie, A Khan, G Alhamzi, AM Saeed",AIP Advances 14 (3),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HEfoQi8AAAAJ,6,Analytical Solution of Generalized Bratu-Type Fractional Differential Equations Using the Homotopy Perturbation Transform Method,"G Alhamzi, A Gouri, BST Alkahtani, RS Dubey","Axioms 13 (2), 133",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HEfoQi8AAAAJ,7,Deterministic and Stochastic Nonlinear Model for Transmission Dynamics of COVID-19 with Vaccinations Following Bayesian-Type Procedure,"MB Jeelani, RU Din, G Alhamzi, M Hleili, H Alrabaiah","Mathematics 12 (11), 1662",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HEfoQi8AAAAJ,8,-complex anti fuzzy subgroups and their applications,"A Ali, MH Mateen, Q Xin, T Alsuraiheed, G Alhamzi","AIMS Mathematics 9 (5), 11580-11595",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HEfoQi8AAAAJ,9,Enhancing interval-valued Pythagorean fuzzy decision-making through Dombi-based aggregation operators,"G Alhamzi, S Javaid, U Shuaib, A Razaq, H Garg, A Razzaque","Symmetry 15 (3), 765",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4022585132452509993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HEfoQi8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HEfoQi8AAAAJ:YsMSGLbcyi4C
HEfoQi8AAAAJ,10,Secure communication through reliable S-box design: A proposed approach using coset graphs and matrix operations,"A Razaq, G Alhamzi, S Abbas, M Ahmad, A Razzaque",Heliyon 9 (5),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1484750544905726361,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HEfoQi8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HEfoQi8AAAAJ:WF5omc3nYNoC
