Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
HF7bFVkAAAAJ,1,A green synthesis of cellulose nanocrystals biosorbent for remediation of wastewater containing industrial dye,"W Abd El-Fattah, A Guesmi, NB Hamadi, MG El-Desouky, A Shahat","Colloids and Surfaces A: Physicochemical and Engineering Aspects 681, 132729",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14836312825494891470,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:ULOm3_A8WrAC
HF7bFVkAAAAJ,2,Novel composite based on cellulose nanomaterial for detection and selective removal of cadmium (II) ions from wastewater,"W Abd El-Fattah, A Guesmi, NB Hamadi, AAA Alayyafi, A Shahat","Microchemical Journal 198, 110175",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17121804138044224048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:4TOpqqG69KYC
HF7bFVkAAAAJ,3,A highly sensitive chemosensor based on a metal‐organic framework for determining zinc ions in cosmetics creams and wastewater,"W Abd El‐Fattah, A Guesmi, N Ben Hamadi, MA Khalil, A Shahat","Applied Organometallic Chemistry 38 (5), e7407",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6427336555227373480,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:qxL8FJ1GzNcC
HF7bFVkAAAAJ,4,Extraction and detection of mercury in electronic waste using efficient modified MOF,"W Abd El-Fattah, A Guesmi, NB Hamadi, A Subaihi, A Shahat","Colloids and Surfaces A: Physicochemical and Engineering Aspects 686, 133256",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4497947353273711850,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:_kc_bZDykSQC
HF7bFVkAAAAJ,5,"A new non-centrosymmetric material (C5H9N3)[ZnBr4]· H2O: Molecular structure, characterization, optical properties and biological activities","SW Dammak, H Tlili, I Trabelsi, N Ktari, W Abd El-Fattah, A Guesmi, ...","Journal of Molecular Structure 1307, 137907",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HF7bFVkAAAAJ,6,"Novel composite from chitosan and a metal-organic framework for removal of tartrazine dye from aqueous solutions; adsorption isotherm, kinetic, and optimization using Box …","W Abd El-Fattah, A Guesmi, NB Hamadi, A Houas, MT Alotaibi, ...","International Journal of Biological Macromolecules 273, 133015",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HF7bFVkAAAAJ,7,"Hydrothermal synthesis of (C5H14N2)[CoCl4]⸳ 0.5 H2O: Crystal structure, spectroscopic characterization, thermal behavior, magnetic properties and biological evaluation","S Walha, N Mhadhbi, BF Ali, A Kaiba, A Guesmi, W Abd El-Fattah, ...","Chemical Physics Impact 8, 100597",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HF7bFVkAAAAJ,8,"Synthesis and structural of Fe3O4 magnetic nanoparticles and its effect on the structural optical, and magnetic properties of novel Poly (methyl methacrylate)/Polyaniline …","NY Elamin, A Modwi, W Abd El-Fattah, A Rajeh","Optical Materials 135, 113323",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4445713377261152102,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:hqOjcs7Dif8C
HF7bFVkAAAAJ,9,In situ fabrication of green CoFe2O4 loaded on g-C3N4 nanosheets for Cu (II) decontamination,"NY Elamin, W Abd El-Fattah, A Modwi","Inorganic Chemistry Communications 156, 111184",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10717674453001359409,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:Zph67rFs4hoC
HF7bFVkAAAAJ,10,Effective Adsorption and Removal of Doxorubicin from Aqueous Solutions Using Mesostructured Silica Nanospheres: Box–Behnken Design Optimization and Adsorption Performance …,"K Althumayri, A Guesmi, W Abd El-Fattah, L Khezami, T Soltani, ...","ACS omega 8 (15), 14144-14159",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5108001912092061425,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:MXK_kJrjxJIC
HF7bFVkAAAAJ,11,Enhanced adsorption and evaluation of tetracycline removal in an aquatic system by modified silica nanotubes,"K Althumayri, A Guesmi, WA El-Fattah, A Houas, NB Hamadi, A Shahat","ACS omega 8 (7), 6762-6777",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8494141699728169970,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:0EnyYjriUFMC
HF7bFVkAAAAJ,12,"Immobilization of ZnO-TiO2 Nanocomposite into Polyimidazolium Amphiphilic Chitosan Film, Targeting Improving Its Antimicrobial and Antibiofilm Applications","W Abd El-Fattah, MY Alfaifi, J Alkabli, HA Ramadan, AA Shati, ...","Antibiotics 12 (7), 1110",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6428833569191727304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:kNdYIx-mwKoC
HF7bFVkAAAAJ,13,New ionic liquid microemulsion-mediated synthesis of silver nanoparticles for skin bacterial infection treatments,"F Althobaiti, OA Abu Ali, I Kamal, MY Alfaifi, AA Shati, E Fayad, ...","Antibiotics 12 (2), 247",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=702520461105243561,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:5nxA0vEk-isC
HF7bFVkAAAAJ,14,New Mn (III)/Fe (III) complexes with thiohydantoin-supported imidazolium ionic liquids for breast cancer therapy,"OAA Ali, W Abd El-Fattah, MY Alfaifi, AA Shati, SEI Elbehairi, ...","Inorganica Chimica Acta 551, 121460",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9030079681680110295,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:KlAtU1dfN6UC
HF7bFVkAAAAJ,15,"Synthesis and Molecular Docking of New 1, 2, 3-triazole Carbohydrates with COVID-19 Proteins","NB Hamadi, A Guesmi, FK Algathami, L Khezami, W Nouira, WA El-Fattah","Current Organic Synthesis 20 (2), 238-245",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14959919910228571634,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:eQOLeE2rZwMC
HF7bFVkAAAAJ,16,Biologically active sulfur-containing polyamides as promising anticancer materials,"GR Ashour, SA Alqarni, YO Al-Ghamdi, W Abd El-Fattah, AM Alosaimi, ...","Designed Monomers and Polymers 26 (1), 150-162",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HF7bFVkAAAAJ,17,Organically tuned white-light emission from two zero-dimensional Cd-based hybrids,"R Msalmi, S Elleuch, B Hamdi, W Abd El-Fattah, NB Hamadi, H Naïli","RSC advances 12 (17), 10431-10442",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1946979255223558595,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:YsMSGLbcyi4C
HF7bFVkAAAAJ,18,"Stabilization of supramolecular network of fluconazole drug polyiodide: Synthesis, computational and spectroscopic studies","H Ferjani, R Bechaieb, N Dege, W Abd El-Fattah, NY Elamin, W Frigui","Journal of Molecular Structure 1263, 133192",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17549978289758809949,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HF7bFVkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HF7bFVkAAAAJ:WF5omc3nYNoC
