Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
HLnP4vUAAAAJ,1,Approximate and Parametric Solutions to SIR Epidemic Model,"L Bougoffa, S Bougouffa, A Khanfer","Axioms 13 (3), 201",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,2,Qualitative analysis on the electrohydrodynamic flow equation,"L Bougoffa, A Khanfer, S Bougouffa","AIMS Mathematics 9 (1), 775-791",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,3,On the approximation of the modified error function,"S Bougouffa, A Khanfer, L Bougoffa","Mathematical Methods in the Applied Sciences 46 (10), 11657-11665",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3152151899304497219,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:g5m5HwL7SMYC
HLnP4vUAAAAJ,4,Analytic approximate solution of the extended blasius equation with temperature-dependent viscosity,"A Khanfer, L Bougoffa, S Bougouffa","Journal of Nonlinear Mathematical Physics 30 (1), 287-302",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10938670988362126921,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:fPk4N6BV_jEC
HLnP4vUAAAAJ,5,An Analysis of the One-Phase Stefan Problem with Variable Thermal Coefficients of Order p,"L Bougoffa, S Bougouffa, A Khanfer","Axioms 12 (5), 497",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3745023007003034432,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:b0M2c_1WBrUC
HLnP4vUAAAAJ,6,"Generalized Thomas-Fermi equation: existence, uniqueness, and analytic approximation solutions","L Bougoffa, S Bougouffa, A Khanfer","AIMS Math 8, 10529-10546",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1482069057144979251,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:f2IySw72cVMC
HLnP4vUAAAAJ,7,A Nonclassical Stefan Problem with Nonlinear Thermal Parameters of General Order and Heat Source Term,"A Khanfer, L Bougoffa, S Bougouffa","Axioms 13 (1), 14",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,8,Absorption of hybrid fibre modes by Cs atoms in quadrupole transitions,"S Bougouffa, M Babiker","Journal of Physics B: Atomic, Molecular and Optical Physics 56 (21), 215002",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,9,Exploring Optical Nanofibers for Atom-Photon Hybrid Quantum Systems: Chirality Effects and Optical Forces,"H Mohammed Aldawsari, S Bougouffa","Journal of Nanoelectronics and Optoelectronics 18 (8), 946-958",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,10,New Explicit and Approximate Solutions of the Newton-Schrödinger System,"L Bougoffa, A Khanfer, S Bougouffa","Journal of Nonlinear Mathematical Physics 30 (2), 795-812",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,11,Probing Quantum Correlations in a Hybrid Optomechanical System,"S Bougouffa, M Al-Hmoud, J Wali Hakami",International Journal of Theoretical Physics 61 (190),2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16476701128784388962,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:pyW8ca7W8N0C
HLnP4vUAAAAJ,12,On a generalization of a coupled integrable dispersionless system,"L Bougoffa, S Bougouffa, A Khanfer","Results in Physics 39, 105761",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,13,Quadrupole absorption rate for atoms in circularly-polarized optical vortices,S Bougouffa,Results in Physics 27 (104541),2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=644067728865999690,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:70eg2SAEIzsC
HLnP4vUAAAAJ,14,Simultaneous high Q/V-ratio and optimized far-field emission pattern in diamond slot-bridge nanobeam cavity,"M Al-Hmoud, S Bougouffa","Results in Physics 26, 104314",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10119459736993431855,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:lSLTfruPkqcC
HLnP4vUAAAAJ,15,Atom trapping and dynamics in the interaction of optical vortices with quadrupole-active transitions,"S Bougouffa, M Babiker","Physical Review A 101 (4), 043403",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13621589073679335168,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:M3NEmzRMIkIC
HLnP4vUAAAAJ,16,Bipartite entanglement in optomechanical cavities driven by squeezed light,"S Bougouffa, M Al-Hmoud","International Journal of Theoretical Physics 59, 1699-1716",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16747287747142409852,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:maZDTaKrznsC
HLnP4vUAAAAJ,17,Quadrupole absorption rate and orbital angular momentum transfer for atoms in optical vortices,"S Bougouffa, M Babiker","Physical Review A 102 (6), 063706",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=114366276801900937,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:blknAaTinKkC
HLnP4vUAAAAJ,18,Delayed transfer of entanglement to initially populated qubits,"S Bougouffa, Z Ficek","Physical Review A 102 (4), 043720",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8549497660728681970,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:hMod-77fHWUC
HLnP4vUAAAAJ,19,Solutions of the two-wave interactions in quadratic nonlinear media,"L Bougoffa, S Bougouffa","Mathematics 8 (11), 1867",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13060189217169737319,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:YFjsv_pBGBYC
HLnP4vUAAAAJ,20,Solvability of the Caldeira–Leggett model,"S Bougouffa, L Bougoffa","Canadian Journal of Physics 98 (7), 683-688",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,21,Quadrupole interaction of non-diffracting beams with two-level atoms,"S Al-Awfi, S Bougouffa","Results in Physics 12, 1357-1362",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15564194915591610416,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:iH-uZ7U-co4C
HLnP4vUAAAAJ,22,A complete and partial integrability technique of the Lorenz system,"L Bougoffa, S Al-Awfi, S Bougouffa","Results in Physics 9, 712-716",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4632402250287273036,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:_Qo2XoVZTnwC
HLnP4vUAAAAJ,23,Ground-state cooling in cavity optomechanics with unresolved sidebands,"S Al-Awfi, M Al-Hmoud, S Bougouffa","Europhysics Letters 123 (1), 14005",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5681088808549698721,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:RHpTSmoSYBkC
HLnP4vUAAAAJ,24,Entanglement generation between two mechanical resonators in two optomechanical cavities,"AAL Rehaily, S Bougouffa","International Journal of Theoretical Physics 56 (5), 1399-1409",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15003733043444660405,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:IWHjjKOFINEC
HLnP4vUAAAAJ,25,Evidence of indistinguishability and entanglement determined by the energy-time uncertainty principle in a system of two strongly coupled bosonic modes,"S Bougouffa, Z Ficek","Physical Review A 93 (6), 063848",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7086853383416128079,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:2osOgNQ5qMEC
HLnP4vUAAAAJ,26,Dynamics of entangled states in a correlated reservoir,"K Aloufi, S Bougouffa, Z Ficek","Physica Scripta 90 (7), 074020",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13348101043698731619,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:mB3voiENLucC
HLnP4vUAAAAJ,27,New parametric approach for the general Lorenz system,"L Bougoffa, S Bougouffa","Physica Scripta 89 (7), 075203",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=350634147240020746,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:kNdYIx-mwKoC
HLnP4vUAAAAJ,28,Atoms versus photons as carriers of quantum states,"S Bougouffa, Z Ficek","Physical Review A—Atomic, Molecular, and Optical Physics 88 (2), 022317",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9335225574228045191,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:UebtZRa9Y70C
HLnP4vUAAAAJ,29,Effect of retardation in the atom–field interaction on entanglement in a double Jaynes–Cummings system,"S Bougouffa, Z Ficek","Journal of Physics B: Atomic, Molecular and Optical Physics 46 (22), 224006",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18339916526689293269,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:9yKSN-GCB0IC
HLnP4vUAAAAJ,30,Entanglement transfer between bipartite systems,"S Bougouffa, Z Ficek","Physica Scripta 2012 (T147), 014005",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9672094182649716121,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:d1gkVwhDpl0C
HLnP4vUAAAAJ,31,Generation of surface optical vortices by evanescent Bessel beams,"S Al-Awfi, S Bougouffa","International Journal of Physical Sciences 7 (25), 4043-4048",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1374322062157726459,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:e5wmG9Sq2KIC
HLnP4vUAAAAJ,32,Entanglement dynamics of a bipartite system in squeezed vacuum reservoirs,"S Bougouffa, A Hindi","Physica Scripta 2011 (T143), 014006",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6766541745192963037,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:7PzlFSSx8tAC
HLnP4vUAAAAJ,33,Optical manipulation at planar dielectric surfaces using evanescent Hermite–Gaussian light,"S Al-Awfi, S Bougouffa, M Babiker","Optics communications 283 (6), 1022-1025",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13849432678919722774,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:Se3iqnhoufwC
HLnP4vUAAAAJ,34,Entanglement dynamics of two-bipartite system under the influence of dissipative environments,S Bougouffa,"Optics Communications 283 (14), 2989-2996",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1216188553697573009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:hFOr9nPyWt4C
HLnP4vUAAAAJ,35,Entanglement dynamics of high-dimensional bipartite field states inside the cavities in dissipative environments,"R Tahira, M Ikram, S Bougouffa, MS Zubairy","Journal of Physics B: Atomic, Molecular and Optical Physics 43 (3), 035502",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18149131454625343149,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:9ZlFYXVOiuMC
HLnP4vUAAAAJ,36,The dynamics of the Jaynes–Cummings model in nanostructures,"S Bougouffa, S Al-Awfi","Physica Scripta 2009 (T135), 014011",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14124778271314582052,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:LkGwnXOMwfcC
HLnP4vUAAAAJ,37,Transient Dynamics of Atoms Between Parallel Conducting Plates,"S Bougouffa, S Al-Awfi","Applied Mathematics & Information Sciences 3 (3), 355-365",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5742650885575773138,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:roLk4NBRz8UC
HLnP4vUAAAAJ,38,Dipole emission rate inside a nano quantum dot resonator,"SA Al-Awfi, SB Bougouffa, MS Bawa'aneh","International Journal of Nanomanufacturing 4 (1-4), 92-98",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16049971822087893433,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:R3hNpaxXUhUC
HLnP4vUAAAAJ,39,Atomic decay rate enhancement inside a cylindrical quantum nanotube,"SA Al-Awfi, SB Bougouffa, AA Al-Ghamdi","International Journal of Nanomanufacturing 4 (1-4), 84-91",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13650917431522501146,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:TQgYirikUcIC
HLnP4vUAAAAJ,40,Analysis of transient effects of two-level atom in laser light,"S Bougouffa, S Al-Awfi","Journal of Modern Optics 55 (3), 473-489",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7143334849271424083,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:dhFuZR0502QC
HLnP4vUAAAAJ,41,Dynamical aspects in the optical bloch equations: Dynamical aspects,"S Bougouffa, S Al-Awfi","The European Physical Journal Special Topics 160 (1), 43-50",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3342965945979898031,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:W7OEmFMy1HYC
HLnP4vUAAAAJ,42,Transient optical regime of two level atom in laser light,"S Bougouffa, S Al-Awfi","International Journal of Theoretical Physics 46, 920-934",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18244864698779803818,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:3fE2CSJIrl8C
HLnP4vUAAAAJ,43,Separation approach of Lorenz model in time-varying phenomena in cavities,"L Bougoffa, S Al-Awfl, S Bougouffa","Applied Mathematical Sciences 1 (56), 2917-2926",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4913450164921969703,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:ZeXyd9-uunAC
HLnP4vUAAAAJ,44,Numerical Treatment of Schrodinger Coupled Differential Equations,"S Bougouffa, S Al-Awfi","Computation in Modern Science and Engineering, Volume 2, Part B(AIP …",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,45,Close coupling approach in optically allowed atomic transitions,S Bougouffa,"Annalen der Physik 519 (12), 783-790",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,46,Solvability of the Nonlinear Competition Model with Variable Coefficients and Comparison of the Results with Modified Decomposition Method,"L Bougoffa, S Bougouffa","Journal of Mathematical Control Science and Applications (JMCSA) 1 (1), 29-37",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HLnP4vUAAAAJ,47,Adomian method for solving some coupled systems of two equations,"L Bougoffa, S Bougouffa","Applied mathematics and computation 177 (2), 553-560",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8432092510729448932,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:MXK_kJrjxJIC
HLnP4vUAAAAJ,48,The study of atomic transitions by use of Numerov technique in schematic model,S Bougouffa,"Fizika A: a journal of experimental and theoretical physics 15 (3), 193-208",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10847696683987388939,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HLnP4vUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HLnP4vUAAAAJ:qjMakFHDy7sC
