Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
HrHXO5kAAAAJ,1,Data analysis by adaptive progressive hybrid censored under bivariate model,"ESA El-Sherpieny, HZ Muhammed, EM Almetwally","Annals of Data Science 11 (2), 507-548",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10516703104577165100,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:D_sINldO8mEC
HrHXO5kAAAAJ,2,Progressive Type-II censored samples for bivariate Weibull distribution with economic and medical Applications,"ESA El-Sherpieny, HZ Muhammed, EM Almetwally","Annals of Data Science 11 (1), 51-85",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16834035827946678504,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:M05iB0D1s5AC
HrHXO5kAAAAJ,3,Bayesian and non-bayesian estimation for the shape parameters of new versions of bivariate inverse weibull distribution based on progressive type II censoring,"HZ Muhammed, EM Almetwally","Computational Journal of Mathematical and Statistical Sciences 3 (1), 85-111",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12948380619956322936,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:yB1At4FlUx8C
HrHXO5kAAAAJ,4,Evaluating the discrete generalized Rayleigh distribution: Statistical inferences and applications to real data analysis,"H Haj Ahmad, DA Ramadan, EM Almetwally","Mathematics 12 (2), 183",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11417078489222194011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:ipzZ9siozwsC
HrHXO5kAAAAJ,5,Introducing the new arcsine-generator distribution family: An in-depth exploration with an illustrative example of the inverse weibull distribution for analyzing healthcare …,"TN Sindhu, A Shafiq, MB Riaz, TA Abushal, H Ahmad, EM Almetwally, ...","Journal of Radiation Research and Applied Sciences 17 (2), 100879",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5541924264927158566,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:BwyfMAYsbu0C
HrHXO5kAAAAJ,6,Bayesian and non-Bayesian two-sample prediction for the Fréchet distribution under progressive type II censoring,"R Alotaibi, GR Al-Dayian, EM Almetwally, H Rezk",AIP Advances 14 (1),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12206107039257398449,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:zLWjf1WUPmwC
HrHXO5kAAAAJ,7,Statistical Inference for the Unit Gompertz Power Series Distribution Using Ranked Set Sampling with Applications,"M Yousef, A Hassan, E Almetwally",Assiut University Journal of Multidisciplinary Scientific Research 53 (1 …,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16449943486751422164,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:uc_IGeMz5qoC
HrHXO5kAAAAJ,8,Comparison of some Bayesian estimation methods for type-I generalized extreme value distribution with simulation,"SB Habeeb, FK Abdullah, RN Shalan, AS Hassan, EM Almetwally, ...","Alexandria Engineering Journal 98, 356-363",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9173599324967059942,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:hMsQuOkrut0C
HrHXO5kAAAAJ,9,"Discrete Poisson Quasi-XLindley distribution with mathematical properties, regression model, and data analysis","FM Alghamdi, M Ahsan-ul-Haq, MNS Hussain, E Hussam, EM Almetwally, ...","Journal of Radiation Research and Applied Sciences 17 (2), 100874",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17304051564731544928,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:ML0RJ9NH7IQC
HrHXO5kAAAAJ,10,A case study for Kuwait mortality during the consequent waves of COVID-19,"SS BuHamra, NM Al-Kandari, E Hussam, EM Almetwally, AM Gemeay",Heliyon 10 (5),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13848602903667785651,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:vDijr-p_gm4C
HrHXO5kAAAAJ,11,Bivariate step-stress accelerated life test for a new three-parameter model under progressive censored schemes with application in medical,"N Alotaibi, AS Al-Moisheer, I Elbatal, SA Alyami, AM Gemeay, ...","AIMS Mathematics 9 (2), 3521-3558",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8835104817399280644,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HrHXO5kAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HrHXO5kAAAAJ:EkHepimYqZsC
