Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
IAK0cV4AAAAJ,1,"Effect of ex situ, eco-friendly ZnONPs incorporating green synthesised Moringa oleifera leaf extract in enhancing biochemical and molecular aspects of Vicia faba L. under salt …","AM Alhudhaibi, SM Ragab, M Sharaf, L Turoop, S Runo, S Nyanjom, ...","Green Processing and Synthesis 13 (1), 20240012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
IAK0cV4AAAAJ,2,Enhancing salt stress tolerance in wheat (Triticum aestivum) seedlings: insights from trehalose and mannitol,"AM Alhudhaibi, MAR Ibrahim, SMS Abd-Elaziz, HRM Farag, SM Elsayed, ...","BMC Plant Biology 24 (1), 472",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
IAK0cV4AAAAJ,3,"Alleviating chromium-induced oxidative stress in Vigna radiata through exogenous trehalose application: insights into growth, photosynthetic efficiency, mineral …","A Elkelish, AM Alhudhaibi, ABMS Hossain, F Haouala, BM Alharbi, ...","BMC Plant Biology 24 (1), 460",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
IAK0cV4AAAAJ,4,Mathematical modelling of quantifying bioethanol fuel production from pineapple waste,"M Imteaz, ABM Hossain, A Ahsan, P Kaur",Detritus 54,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
IAK0cV4AAAAJ,5,"Reducing sugar estimation and bioethanol production from banana, pineapple and mango fruit wastes",ABMS Hossain,"International Journal of Biotech Trends and Technology 13 (1), 1-6",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9111790503445943175,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IAK0cV4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=IAK0cV4AAAAJ:FQ36aI_S1AEC
IAK0cV4AAAAJ,6,Linear and thermo-optically generated nonlinear optical response of bovine serum albumin and its constituent amino acids in continuous wave z-scan,"SA Tarek, SB Faruque, SM Sharafuddin, KME Hasan, A Hossain, H Ara, ...",AIP Advances 13 (3),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6924795022568006783,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IAK0cV4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=IAK0cV4AAAAJ:9CGX2owmTHMC
IAK0cV4AAAAJ,7,MICROWAVE ASSISTED PYROLYSIS OF MORINGA SEED AND KARANJA FOR BIO-OIL PRODUCTION,"N A .S. Ahmed, c. Henry, ABM Sharif Hossain, Hassan Ahmed Rudayni","International Journal of Renewable Energy Resources 13, 14-24",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14660420046505018531,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IAK0cV4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=IAK0cV4AAAAJ:jq04SsiGh3QC
IAK0cV4AAAAJ,8,"Seedless okra pod, chlorophyll, vitamin C and mineral content development using plant growth regulator in vitro and in vivo culture","ABMS Hossain, MMA Alenazi, ASA Ahmed, HA Alrudayni, F Haouala, ...","Cellular and Molecular Biology 69 (13), 53-58",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
IAK0cV4AAAAJ,9,"Callus cell and explants regeneration, glucose, mineral, antioxidant and flavonoid content development using broccoli root tip and leaf cutting in vitro","ABMS Hossain, HA Alrudayni, F Haouala, MS Aleissa, D Kahrizi, ...","Cellular and Molecular Biology 69 (11), 45-50",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
IAK0cV4AAAAJ,10,"Carbohydrate, flavonoid, anthocyanin,total phenol, chlorophyll and mineral (K+) content development of wax apple fruit as affected by CPPU and NAA using swabbing technology …",H ABMS,"Revista Brasileria de fruticultura 45, 225",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
