Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Ikn5nuEAAAAJ,1,Implementation of multi-criteria decision making for the ranking of drugs used to treat bone-cancer,FB Farooq,"AIMS Mathematics 9 (6), 15119-15131",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Ikn5nuEAAAAJ,2,Topological descriptors and QSPR models of drugs used in blood cancer,"S Parveen, N Ul Hassan Awan, F Bashir Farooq, S Hussain",Punjab University Journal of Mathematics 55 (1),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14541675459539704120,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ikn5nuEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Ikn5nuEAAAAJ:IWHjjKOFINEC
Ikn5nuEAAAAJ,3,Topological Descriptors and QSPR Modelling of HIV/AIDS Disease Treatment Drugs,"FB Farooq, S Parveen, NU Hassan Awan, R Fanja","Discrete Dynamics in Nature and Society 2023 (1), 9963241",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4743614828674211147,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ikn5nuEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Ikn5nuEAAAAJ:R3hNpaxXUhUC
Ikn5nuEAAAAJ,4,QSPR Modeling of Fungicides Using Topological Descriptors,"S Parveen, F Saeed, FB Farooq, N Parveen, N Idrees, S Nasir, R Fanja","International Journal of Analytical Chemistry 2023 (1), 9625588",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Ikn5nuEAAAAJ,5,SOME RECENT DEVELOPMENTS ON DYNAMICAL -DISCRETE FRACTIONAL TYPE INEQUALITIES IN THE FRAME OF NONSINGULAR AND NONLOCAL …,"S Rashid, EI Abouelmagd, A Khalid, FB Farooq, YM Chu","Fractals 30 (02), 2240110",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2254006846800417690,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ikn5nuEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Ikn5nuEAAAAJ:KlAtU1dfN6UC
Ikn5nuEAAAAJ,6,Impact of non-similar modeling for forced convection analysis of nano-fluid flow over stretching sheet with chemical reaction and heat generation,"J Cui, R Razzaq, U Farooq, WA Khan, FB Farooq, T Muhammad","Alexandria Engineering Journal 61 (6), 4253-4261",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3494516622802260095,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ikn5nuEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Ikn5nuEAAAAJ:kNdYIx-mwKoC
Ikn5nuEAAAAJ,7,Topological indices of novel drugs used in diabetes treatment and their QSPR modeling,"S Parveen, NU Hassan Awan, M Mohammed, FB Farooq, N Iqbal","Journal of Mathematics 2022 (1), 5209329",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13714684625971009104,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ikn5nuEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Ikn5nuEAAAAJ:aqlVkmm33-oC
Ikn5nuEAAAAJ,8,Topological indices of novel drugs used in blood cancer treatment and its QSPR modeling,"S Nasir, FB Farooq, S Parveen","AIMS Mathematics 7 (7), 11829-11850",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7433878827620525324,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ikn5nuEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Ikn5nuEAAAAJ:M3ejUd6NZC8C
Ikn5nuEAAAAJ,9,Topological indices of drugs used in rheumatoid arthritis treatment and its QSPR modeling,"S Parveen, FB Farooq, NUH Awan, R Fanja, MF Choudhary","Journal of Mathematics 2022 (1), 1562125",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15063582417880097293,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ikn5nuEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Ikn5nuEAAAAJ:mVmsd5A6BfQC
Ikn5nuEAAAAJ,10,Topological Indices of NovelDrugs Used inCardiovascularDisease Treatment and Its QSPR Modeling,"SP Fozia Bashir Farooq,1 Nadeem Ul Hassan Awan","Journal of Chemistry 2022, 13",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8856604623270485573,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ikn5nuEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Ikn5nuEAAAAJ:7PzlFSSx8tAC
