Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
JfM3t_YAAAAJ,1,Effects of crossover operator combined with mutation operator in genetic algorithms for the generalized travelling salesman problem,"ZH Ahmed, MT Choudhary, I Al-Dayel","International Journal of Industrial Engineering Computations 15, 627–644",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
JfM3t_YAAAAJ,2,Appropriate Combination of Crossover Operator and Mutation Operator in Genetic Algorithms for the Travelling Salesman Problem,"ZH Ahmed, H Haron, A Al-Tameem","Computers, Materials & Continua 79 (2), 2499",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
JfM3t_YAAAAJ,3,Optimization of the Travelling Salesman Problem Using a New Hybrid Genetic Algorithm,"ZH Ahmed, FF Altukhaim, AKJ Saudagar, S Khan",IJCSNS International Journal of Computer Science and Network Security 24 (3 …,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
JfM3t_YAAAAJ,4,Fixed fleet open vehicle routing problem: Mathematical model and a modified ant colony optimization,"M Yousefikhoshbakht, F Didehvar, F Rahmati, ZH Ahmed","Bulletin of the Polish Academy of Sciences Technical Sciences 72 (1), 10 …",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
JfM3t_YAAAAJ,5,An improved tabu search algorithm for solving heterogeneous fixed fleet open vehicle routing problem with time windows,"ZH Ahmed, M Yousefikhoshbakht","Alexandria Engineering Journal 64 (1), 349-363",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16606290178462440727,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JfM3t_YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JfM3t_YAAAAJ:e5wmG9Sq2KIC
JfM3t_YAAAAJ,6,Next-gen mulsemedia: virtual reality haptic simulator’s impact on medical practitioner for higher education institutions,"A Kumar, B Srinivasan, AKJ Saudagar, A AlTameem, M Alkhathami, ...","Electronics 12 (2), 356",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3019539065260246511,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JfM3t_YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JfM3t_YAAAAJ:4JMBOYKVnBMC
JfM3t_YAAAAJ,7,Gamified Learning and Assessment Using ARCS with Next-Generation AIoMT Integrated 3D Animation and Virtual Reality Simulation,"A Kumar, B Srinivasan, AKJ Saudagar, A AlTameem, M Alkhathami, ...","Electronics 12 (4), 835",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14525873757784871329,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JfM3t_YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JfM3t_YAAAAJ:TFP_iSt0sucC
JfM3t_YAAAAJ,8,Genetic Crossover Operators for the Capacitated Vehicle Routing Problem,"ZH Ahmed, N Al-Otaibi, A Al-Tameem, AKJ Saudagar","Computers, Materials & Continua 74 (1), 1575-1605",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15622312497548101118,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JfM3t_YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JfM3t_YAAAAJ:_Qo2XoVZTnwC
JfM3t_YAAAAJ,9,Solving the vehicle routing problem with time windows using modified football game algorithm,"ZH Ahmed, F Maleki, M Yousefikhoshbakht, H Haron","Egyptian Informatics Journal 24 (4), 100403",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17618971816922809095,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JfM3t_YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JfM3t_YAAAAJ:ns9cj8rnVeAC
JfM3t_YAAAAJ,10,Solving the Travelling Salesman Problem Using an Ant Colony System Algorithm,"ZH Ahmed, M Yousefikhoshbakht, AKJ Saudagar, S Khan",IJCSNS International Journal of Computer Science and Network Security 23 (2 …,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7990346288706464626,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JfM3t_YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JfM3t_YAAAAJ:M3NEmzRMIkIC
JfM3t_YAAAAJ,11,A hybrid algorithm for the heterogeneous fixed fleet open vehicle routing problem with time windows,"ZH Ahmed, M Yousefikhoshbakht","Symmetry 15 (2), 486",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17838156662850939853,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JfM3t_YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JfM3t_YAAAAJ:maZDTaKrznsC
JfM3t_YAAAAJ,12,An Enhanced Ant Colony System Algorithm Based on Subpaths for Solving the Capacitated Vehicle Routing Problem,"ZH Ahmed, AS Hameed, ML Mutar, H Haron","Symmetry 15 (11), 2020",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7800107098600395914,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JfM3t_YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JfM3t_YAAAAJ:RGFaLdJalmkC
