Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
JycqxoIAAAAJ,1,CaO@ ZrO2@ g-C3N4 nanosorbent for superior malachite green dye selectivity and adsorption from contaminated water,"O Aldaghri, BA El-Badry, KH Ibnaouf, KK Taha, MAB Aissa, A Modwi","Diamond and Related Materials 144, 110944",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17269302096991064849,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JycqxoIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JycqxoIAAAAJ:3fE2CSJIrl8C
JycqxoIAAAAJ,2,Degradation of Methyl Red (MR) dye via fabricated Y2O3–MgO/g-C3N4 nanostructures: Modification of band gap and photocatalysis under visible light,"AA Alharbi, O Aldaghri, BA El-Badry, KH Ibnaouf, F Alfadhl, A Albadri, ...","Optical Materials 152, 115443",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
JycqxoIAAAAJ,3,"Improvement of the optical properties, dielectric behaviors and Cole-Cole plot of gamma-irradiated polyvinyl alcohol filled by nanostructured aluminum metal oxide","GA Khouqeer, BA El-Badry, MF Zaki","Journal of Radiation Research and Applied Sciences 17 (2), 100871",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
JycqxoIAAAAJ,4,Design and Simulation of Dielectrically Modulated Dual Material Gate-Stack Double-Gate FinFET Biosensor,"A Pattnaik, SK Mohapatra, A Dastidar, OP Acharya, N AbdelAll, ...","ECS Journal of Solid State Science and Technology 13 (5), 057002",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
JycqxoIAAAAJ,5,Design and analysis of a fiber Bragg grating‐based foot pressure assessment system,"P Sharan, GA Khouqeer, BA El‐Badry, AM Upadhyaya","Journal of Biophotonics, e e202400070",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
JycqxoIAAAAJ,6,"Gamma rays induced modifications in the structural, optical and photoemission properties of PVA/TiO2 nanocomposite films","BA El-Badry, GA Khouqeer, MF Zaki","Physica Scripta 98 (2), 025821",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10455074007802643765,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JycqxoIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JycqxoIAAAAJ:5nxA0vEk-isC
JycqxoIAAAAJ,7,Optofluidic photonic crystal micro sensor for enhanced detection of infectious diseases,"P Sharan, GA Khouqeer, BA El-Badry, AN Alodhayb, AM Upadhyaya, ...","Engineering Research Express 6 (1), 015012",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17733623556200668799,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JycqxoIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JycqxoIAAAAJ:MXK_kJrjxJIC
JycqxoIAAAAJ,8,Effect of Gamma Radiation on the Properties of Poly (Methyl Methacrylate)/Titanium Dioxide Nanocomposite Films,BA El-Badry,"Journal of Nanoelectronics and Optoelectronics 18 (4), 486-492",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14703522623696548527,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JycqxoIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JycqxoIAAAAJ:8k81kl-MbHgC
JycqxoIAAAAJ,9,Improve the surface structural and optical properties of PM-355 polymer by alpha particles,"MF Zaki, TI Al-Nagaar, BA Elbadry","Polymer Bulletin 79 (11), 10013-10035",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4931525491369835923,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JycqxoIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JycqxoIAAAAJ:ufrVoPGSRksC
JycqxoIAAAAJ,10,Effect of gamma irradiation on the optical properties of the conjugated copolymer B-co-MP,"OA Aldaghri, BA El-Badry, MKM Ali, KH Ibnaouf","Applied Sciences 12 (3), 1606",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13960696703605648827,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JycqxoIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=JycqxoIAAAAJ:_FxGoFyzp5QC
