Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
K-GHEeMAAAAJ,1,A reliable neural network framework for the Zika system based reservoirs and human movement,"Z Sabir, SN Khan, MAZ Raja, MM Babatin, AF Hashem, MA Abdelkawy","Knowledge-Based Systems 292, 111621",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10858669922756970703,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=K-GHEeMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=K-GHEeMAAAAJ:YFjsv_pBGBYC
K-GHEeMAAAAJ,2,Design of stochastic neural networks for the fifth order system of singular engineering model,"Z Sabir, MM Babatin, AF Hashem, MA Abdelkawy, S Salahshour, M Umar","Engineering Applications of Artificial Intelligence 133, 108141",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14117128983425183771,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=K-GHEeMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=K-GHEeMAAAAJ:NMxIlDl6LWMC
K-GHEeMAAAAJ,3,Non-Polynomial Collocation Spectral Scheme for Systems of Nonlinear Caputo–Hadamard Differential Equations,"MA Zaky, IG Ameen, M Babatin, A Akgül, M Hammad, AM Lopes","Fractal and Fractional 8 (5), 262",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11316648898324552724,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=K-GHEeMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=K-GHEeMAAAAJ:GnPB-g6toBAC
K-GHEeMAAAAJ,4,A space-time spectral approximation for solving two dimensional variable-order fractional convection-diffusion equations with nonsmooth solutions,"AZ Amin, MÂA Abdelkawy, EÂM Soluma, MÂM Babatin","International Journal of Modern Physics C (IJMPC) 35 (07), 1-17",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5696948797426808737,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=K-GHEeMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=K-GHEeMAAAAJ:blknAaTinKkC
K-GHEeMAAAAJ,5,Spectral algorithm for two-dimensional fractional sine-Gordon and Klein–Gordon models,"MA Abdelkawy, H Almadi, EM Solouma, MM Babatin",International Journal of Modern Physics C 2450149,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
K-GHEeMAAAAJ,6,Efficient spectral collocation method for nonlinear systems of fractional pantograph delay differential equations,"MA Zaky, M Babatin, M Hammad, A Akgül, AS Hendy","AIMS Mathematics 9 (6), 15246-15262",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
K-GHEeMAAAAJ,7,On the numerical evaluation for studying Ohmic dissipation and thermal conductivity impacts on the flow of Casson fluid,"MM Khader, MM Babatin, AM Megahed","Case Studies in Thermal Engineering 49, 103192",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10618983634043965389,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=K-GHEeMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=K-GHEeMAAAAJ:k_IJM867U9cC
K-GHEeMAAAAJ,8,Numerical investigation for the fractional model of pollution for a system of lakes using the SCM based on the Appell type Changhee polynomials,"M Adel, MM Khader, MM Babatin, MZ Youssef","AIMS Math 8, 31104-31117",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4815051099508831246,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=K-GHEeMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=K-GHEeMAAAAJ:JV2RwH3_ST0C
K-GHEeMAAAAJ,9,Non-Newtonian nanofluid flow across an exponentially stretching sheet with viscous dissipation: numerical study using an SCM based on Appell–Changhee polynomials,"MM Khader, MM Babatin, AM Megahed","Boundary Value Problems 2023 (1), 77",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11057406299966685271,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=K-GHEeMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=K-GHEeMAAAAJ:bEWYMUwI8FkC
K-GHEeMAAAAJ,10,Numerical investigation of the flow characteristics involving dissipation and slip effects in a convectively nanofluid within a porous medium,"MM Babatin, MM Khader, AM Megahed","Open Physics 21 (1), 20230150",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
K-GHEeMAAAAJ,11,Evaluating the Impacts of Thermal Conductivity on Casson Fluid Flow Near a Slippery Sheet: Numerical Simulation Using Sixth-Kind Chebyshev Polynomials,"MM Khader, MM Babatin","Journal of Nonlinear Mathematical Physics 30 (4), 1834-1853",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
K-GHEeMAAAAJ,12,Numerical Simulation by Using the Spectral Collocation Method for Williamson Nanofluid Flow Over an Exponentially Stretching Sheet with Slip Velocity,"MM Khader, MM Babatin, AM Megahed","Journal of Nonlinear Mathematical Physics 30 (3), 1134-1152",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
