Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
KKEH1sMAAAAJ,1,Magnetic solid phase extraction of aminoglycosides residue in chicken egg samples using Fe3O4-GO-Agarose-Chitosan composite,"M Sajjad, R Almufarij, Z Ali, M Sajid, N Raza, S Manzoor, M Hayat, ...","Food Chemistry 430, 137092",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11726646514399699996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:vV6vV6tmYwMC
KKEH1sMAAAAJ,2,Functionalization of Strontium Ferrite Nanoparticles with Novel Chitosan–Schiff Base Ligand for Efficient Removal of Pb (II) Ions from Aqueous Media,"AS Al-Wasidi, EA Abdelrahman","Inorganics 12 (6), 148",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
KKEH1sMAAAAJ,3,Facile Synthesis of CuFe2O4 Nanoparticles for Efficient Removal of Acid Blue 113 and Malachite Green Dyes from Aqueous Media,"AS Al-Wasidi, RK Shah, EA Abdelrahman, ESM Mabrouk","Inorganics 12 (6), 143",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
KKEH1sMAAAAJ,4,Novel ternary mesoporous Co3CsO4-g-C3N4 nanocomposite as an efficient sorbent for Pb (II) and Cu (II) ions elimination,"M Khairy, EA Abdelrahman, N Raza, EM Masoud, LS Alqarni, MAB Aissa, ...","Journal of Materials Science: Materials in Electronics 35 (11), 1-14",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
KKEH1sMAAAAJ,5,"Production, optimization, and purification of alkaline thermotolerant protease from newly isolated Phalaris minor seeds","EAA Umber Zaman, Khalil ur Rehman, Shahid Ullah Khan, Syed Badshah, Khaled M ...",International Journal of Biological Macromolecules 123544,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8307249548780164373,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:_Qo2XoVZTnwC
KKEH1sMAAAAJ,6,Facile Synthesis and Characterization of Novel Nanostructures for the Efficient Disposal of Crystal Violet Dye from Aqueous Media,"EA Abdelrahman, FK Algethami, HS AlSalem, MS Binkadem, FA Saad, ...","Inorganics 11 (8), 339",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8689313775088861977,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:J_g5lzvAfSwC
KKEH1sMAAAAJ,7,"Functionalization of Sodium Magnesium Silicate Hydroxide/Sodium Magnesium Silicate Hydrate Nanostructures Using 2, 3-Dihydroxybenzaldehyde as a Novel Nanocomposite for the …","AS Al-Wasidi, MT Basha, RM Alghanmi, ES Al-Farraj, EA Abdelrahman","Separations 10 (2), 88",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=567099673504160399,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:hFOr9nPyWt4C
KKEH1sMAAAAJ,8,Remarkable High Adsorption of Methylene Blue Dye from Aqueous Solutions Using Facilely Synthesized MgFe2O4 Nanoparticles,"AS Al-Wasidi, FK Algethami, FA Saad, EA Abdelrahman",Journal of Inorganic and Organometallic Polymers and Materials 1-11,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10669730614003677089,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:k_IJM867U9cC
KKEH1sMAAAAJ,9,Facile Synthesis and Characterization of Sodium Magnesium Silicate Hydrate/Sodium Magnesium Silicate Hydroxide as Novel Nanostructures for the Efficient Removal of Methylene …,"AS Al-Wasidi, MT Basha, RM Alghanmi, ES Al-Farraj, EA Abdelrahman",Journal of Inorganic and Organometallic Polymers and Materials 1-11,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17192757409493539276,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:HDshCWvjkbEC
KKEH1sMAAAAJ,10,Efficient Disposal of Rhodamine 6G and Acid Orange 10 Dyes from Aqueous Media Using ZrO2/CdMn2O4/CdO as Novel and Facilely Synthesized Nanocomposites,"EA Abdelrahman, FK Algethami, HS AlSalem, MS Binkadem, M Khairy, ...","Inorganics 11 (8), 333",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=225771586052879428,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:NaGl4SEjCO4C
KKEH1sMAAAAJ,11,Facile synthesis and characterization of magnesium and manganese mixed oxides for the efficient removal of tartrazine dye from aqueous media,"AS Al-Wasidi, FA Saad, AM Munshi, EA Abdelrahman","RSC Advances 13 (9), 5656-5666",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15716626409722302572,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:RHpTSmoSYBkC
KKEH1sMAAAAJ,12,Highly fluorescent hydroxyl groups functionalized graphitic carbon nitride for ultrasensitive and selective determination of mercury ions in water and fish samples,"YG Abou El-Reash, EA Ghaith, O El-Awady, FK Algethami, H Lin, ...","Journal of Analytical Science and Technology 14 (1), 1-11",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13001146498922664560,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:j3f4tGmQtD8C
KKEH1sMAAAAJ,13,Utilisation of wastes for low-cost synthesis of chitosan composites with nanosized sodium aluminium silicate hydrate and geopolymer/zeolite A for the removal of Hg (II) and Pb …,"HS Abdelbaset, SA Shama, RM Hegazey, EA Abdelrahman",International Journal of Environmental Analytical Chemistry 1-19,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13319657219348255680,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:5nxA0vEk-isC
KKEH1sMAAAAJ,14,Facile synthesis and characterisation of novel Sn/Si mixtures for the efficient removal of methylene blue and crystal violet dyes from aqueous media,"AE Shalapy, YG Abou El-Reash, EA Abdelrahman, ME Khalifa",International Journal of Environmental Analytical Chemistry 1-17,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2457300965569468049,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:_FxGoFyzp5QC
KKEH1sMAAAAJ,15,A Facile Sol-gel Synthesis and Characterization of MgCO3/MnCO3 and MgMn2O4/Mn2O3 Novel Nanostructures With Remarkably High Adsorption Activity Toward Eriochrome Black T Dye,"NS Al-Kadhi, FA Saad, RK Shah, ES Al-Farraj, GS El-Sayyad, ...",Journal of Inorganic and Organometallic Polymers and Materials 1-12,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15876655011034530708,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:maZDTaKrznsC
KKEH1sMAAAAJ,16,Removing atrazine herbicide from water with an efficient metal–organic framework,"FK Algethami, EA Abdelrahman, YG Abou El‐Reash, A Shahat","Applied Organometallic Chemistry, e e7334",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
KKEH1sMAAAAJ,17,Facile Synthesis and Characterizations of Mixed Metal Oxide Nanoparticles for the Efficient Photocatalytic Degradation of Rhodamine B and Congo Red Dyes,"EA Abdelrahman, ES Al-Farraj","Nanomaterials 12 (22), 3992",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8858642236818209380,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KKEH1sMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KKEH1sMAAAAJ:7PzlFSSx8tAC
