Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
KxotB0AAAAAJ,1,"Comprehensive analysis of the effects of Mo and Co on the synthesis, structural, and radiation-shielding properties of TiO2 based composites","KA Mahmoud, M Binmujlli, M Marashdeh, MI Sayyed, MJ Aljaafreh, ...","Progress in Nuclear Energy 169, 105105",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14339395896382565705,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KxotB0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KxotB0AAAAAJ:R3hNpaxXUhUC
KxotB0AAAAAJ,2,The potential of bi2–xZrxO3+ x/2@ ZrO2 (BZO) as a heavyweight radiation shielding material: Fabrication and characterization using a hydrothermal technique directly from zircon …,"KA Mahmoud, MW Marashdeh, M Al-Hmoud, MJ Aljaafreh, S Alanazi, ...","Progress in Nuclear Energy 172, 105216",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6635609752460323968,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KxotB0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KxotB0AAAAAJ:iH-uZ7U-co4C
KxotB0AAAAAJ,3,The influence of Ni ion addition on the microstructure and gamma ray shielding ability of ferromagnetic CuFe2O4 ceramic material,"MW Marashdeh, FH Sallam, AM Abd El-Aziz, MI Elkhatib, MJ Aljaafreh, ...","Nuclear Engineering and Technology 56 (7), 2740-2747",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9775569502279825414,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KxotB0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KxotB0AAAAAJ:4JMBOYKVnBMC
KxotB0AAAAAJ,4,Substituent effect on the electronic and optical properties of newly designed pyrrole derivatives using density functional theory,"MJ Aljaafreh, RK Hussein","Open Physics 22 (1), 20240012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4326392187767206158,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KxotB0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=KxotB0AAAAAJ:bEWYMUwI8FkC
KxotB0AAAAAJ,5,Impacts of the calcinated clay on structure and gamma-ray shielding capacity of epoxy-based composites,"S Alanazi, KA Mahmoud, M Marashdeh, MJ Aljaafreh, A Abu El-Soad, ...","e-Polymers 24 (1), 20240017",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
KxotB0AAAAAJ,6,Sodium titanium oxide/zinc oxide (STO/ZnO) photocomposites for efficient dye degradation applications,"M Zayed, M Nasr, MJ Aljaafreh, M Marashdeh, M Al-Hmoud, M Shaban, ...","Green Processing and Synthesis 13 (1), 20230272",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
KxotB0AAAAAJ,7,Evaluating the Effects of Metallic Waste on the Structural and Gamma-Ray Shielding Properties of Epoxy Composites,"S Alanazi, M Hanfi, MW Marashdeh, MJ Aljaafreh, KA Mahmoud","Polymers 16 (10), 1415",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
KxotB0AAAAAJ,8,Effect of Gamma-Irradiation on Electrochemical Properties of Nicos for Supercapacitor Application,"MW Marashdeh, MJ Aljaafreh, GM Al-Mazaideh, H Akhdar, AI Alakhras, ...","Science of Advanced Materials 16 (5), 596-605",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
KxotB0AAAAAJ,9,Impact of heavy metal waste on gamma ray shielding performance of epoxy resin: an experimental investigation,"S Alanazi, MY Hanfi, MW Marashdeh, MJ Aljaafreh, KA Mahmoud",Polymer Bulletin 1-20,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
KxotB0AAAAAJ,10,Synthesized PANI/CeO2 Nanocomposite Films for Enhanced Anti-Corrosion Performance,"AM Alsaad, M Al-Hmoud, TM Rababah, MW Marashdeh, MJ Aljaafreh, ...","Nanomaterials 14 (6), 526",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
