Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
LLfguDwAAAAJ,1,"Green synthesis of bimetallic Se@TiO2NPs and their formulation into biopolymers and their utilization as antimicrobial, anti-diabetic, antioxidant, and healing agent …","MI Alghonaim, SA Alsalamah, AM Mohammad, TM Abdelghany",Biomass Conversion and Biorefinery 1-13,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15835395268108895737,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LLfguDwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LLfguDwAAAAJ:blknAaTinKkC
LLfguDwAAAAJ,2,Green Mediator for Selenium Nanoparticles Synthesis with Antimicrobial Activity and Plant Biostimulant Properties under Heavy Metal Stress.,"MI Alghonaim, SA Alsalamah, Y Ali, TM Abdelghany",BioResources 19 (1),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11999761532646548097,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LLfguDwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LLfguDwAAAAJ:M3NEmzRMIkIC
LLfguDwAAAAJ,3,UPLC-qTOF-MS phytochemical profile of Commiphora gileadensis leaf extract via integrated ultrasonic-microwave-assisted technique and synthesis of silver nanoparticles for …,"H Ahmed, MY Zaky, MMA Rashed, M Almoiliqy, S Al-Dalali, ZE Eldin, ...",Ultrasonics Sonochemistry 106923,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LLfguDwAAAAJ,4,Zygnema sp. as creator of copper oxide nanoparticles and their application in controlling of microbial growth and photo-catalytic degradation of dyes,"SA Alsalamah, MI Alghonaim, MM Bakri, TM Abdelghany","Applied Biological Chemistry 67 (1), 47",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LLfguDwAAAAJ,5,"Biosynthesis of CuO@ Au NPs and Its Formulated into Biopolymers Carboxymethyl Cellulose and Chitosan: Characterizations, Antimicrobial, Anticancer and Antioxidant Properties","MI Alghonaim, SA Alsalamah, AS Bazaid, TM Abdelghany",Waste and Biomass Valorization 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LLfguDwAAAAJ,6,"Impact of Moist Heat on Phytochemical Constituents, Anti-Helicobacter Pylori, Antioxidant, Anti-Diabetic, Hemolytic and Healing Properties of Rosemary Plant …","MM Bakri, MI Alghonaim, SA Alsalamah, RO Yahya, KS Ismail, ...",Waste and Biomass Valorization 1-15,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LLfguDwAAAAJ,7,Nanoparticles Enhanced Ligninolytic Enzymes Activity of Rotten Wood Fungus Phanerochaete chrysosporium.,"AMH Al-Rajhi, AA Alharbi, SA Alsalamah, TM Abdelghany",BioResources 19 (2),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LLfguDwAAAAJ,8,In Vitro and Molecular Docking Evaluation of Target Proteins of Lipase and Protease for the Degradation of Aflatoxins,"TMA Aisha M. H. Al-Rajhi, a Magdah Ganash, b Amal Naif Alshammari, c ...","Bioresources 19 (2), 2701-2713",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LLfguDwAAAAJ,9,"Antibacterial, Antioxidant and Physicochemical Properties of Pipper nigram Aided Copper Oxide Nanoparticles","J Aien, AA Khan, S Haq, AR Khan, K Elmnasri, M Ben Ali, MS Al-Harbi, ...","Crystals 13 (2), 330",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17689126170443235048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LLfguDwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LLfguDwAAAAJ:RHpTSmoSYBkC
LLfguDwAAAAJ,10,"Anti-yeasts, antioxidant and healing properties of henna pre-treated by moist heat and molecular docking of its major constituents, chlorogenic and ellagic acids, with Candida …","SA Alsalamah, MI Alghonaim, M Jusstaniah, TM Abdelghany","Life 13 (9), 1839",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10704640330058780441,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LLfguDwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LLfguDwAAAAJ:iH-uZ7U-co4C
