Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
LasuvXwAAAAJ,1,"HPLC-ESI/MS-MS Metabolic Profiling of White Pitaya fruit and Cytotoxic Potential Against Cervical Cancer: Comparative Studies, Synergistic effects, and Molecular Mechanistic …","HAS El-Nashar, MA Al-Azzawi, HH Al-Kazzaz, YK Alghanimi, ...",Journal of Pharmaceutical and Biomedical Analysis 116121,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14928018374156024993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:fPk4N6BV_jEC
LasuvXwAAAAJ,2,Disease prognosis and therapeutic strategies in patients with advanced non-small cell lung cancer (NSCLC): a 6-year epidemiological study between 2015–2021,"S Alamri, MZ Badah, S Zorgi, R Alenazi, HM Alshanbari, MAM Ali, ...","Translational Cancer Research 13 (2), 762",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1528214029368025971,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:zA6iFVUQeVQC
LasuvXwAAAAJ,3,Investigating Sulforaphane’s anti-virulence and anti-quorum sensing properties against Pseudomonas aeruginosa,"MM Bendary, MAM Ali, AS Abdel Halim, F Boufahja, AA Chaudhary, ...","Frontiers in Pharmacology 15, 1406653",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LasuvXwAAAAJ,4,"Doping zinc oxide and titanium dioxide nanoparticles with gold induces additional oxidative stress, membrane damage, and neurotoxicity in Mytilus galloprovincialis: results …","I Bouzidi, A Khazri, K Mougin, W Bendhafer, AM Abu-Elsaoud, OA Plavan, ...","Journal of Trace Elements in Medicine and Biology 83, 127401",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LasuvXwAAAAJ,5,The anti-staphylococcal fusidic acid as an efflux pump inhibitor combined with fluconazole against vaginal candidiasis in mouse model,"SE Gomaa, HA Abbas, FA Mohamed, MAM Ali, TM Ibrahim, ...","BMC microbiology 24 (1), 54",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LasuvXwAAAAJ,6,Preparation of novel S-allyl cysteine chitosan based nanoparticles for use in ischemic brain treatment,"MF Khan, N Ahmad, FK Alkholifi, Z Ullah, MS Khalid, S Akhtar, S Farooqui, ...","RSC advances 14 (1), 160-180",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LasuvXwAAAAJ,7,Drug repositioning: doxazosin attenuates the virulence factors and biofilm formation in Gram-negative bacteria,"MA Elfaky, SS Elbaramawi, AG Eissa, TS Ibrahim, ES Khafagy, MAM Ali, ...","Applied Microbiology and Biotechnology 107 (11), 3763-3778",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16066835931884758746,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:vV6vV6tmYwMC
LasuvXwAAAAJ,8,Diminishing the Pathogenesis of the Food-Borne Pathogen Serratia marcescens by Low Doses of Sodium Citrate,"MT Khayat, SS Elbaramawi, SI Nazeih, MK Safo, ES Khafagy, MAM Ali, ...","Biology 12 (4), 504",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5569915102843336500,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:RYcK_YlVTxYC
LasuvXwAAAAJ,9,MicroRNAs: Small molecules with big impacts in liver injury,"AS Abdel Halim, HA Rudayni, AA Chaudhary, MAM Ali","Journal of Cellular Physiology 238 (1), 32-69",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6775834648040184754,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:GnPB-g6toBAC
LasuvXwAAAAJ,10,Biomaterial-based strategies for immunomodulation in IBD: current and future scenarios,"C Jori, AA Chaudhary, S Rashid, MAM Ali, AS Alawam, F Haouala, ...","Journal of Materials Chemistry B 11 (25), 5668-5692",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1328991032293432111,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:35N4QoGY0k4C
LasuvXwAAAAJ,11,Relocating Glyceryl Trinitrate as an Anti-Virulence Agent against Pseudomonas aeruginosa and Serratia marcescens: Insights from Molecular and In Vivo …,"SI Nazeih, MAM Ali, ASA Halim, H Al-Lawati, HA Abbas, M Al-Zharani, ...","Microorganisms 11 (10), 2420",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=451139446837785220,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:M05iB0D1s5AC
LasuvXwAAAAJ,12,The anti-virulence activities of the antihypertensive drug propranolol in light of its anti-quorum sensing effects against Pseudomonas aeruginosa and Serratia marcescens,"HF Alotaibi, H Alotaibi, KM Darwish, ES Khafagy, AS Abu Lila, MAM Ali, ...","Biomedicines 11 (12), 3161",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10292126004316648995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:pqnbT2bcN3wC
LasuvXwAAAAJ,13,Maternal thrombophilic and hypofibrinolytic genetic variants in idiopathic recurrent pregnancy loss: a continuing mystery,"M Younis, MAM Ali, DA Ghareeb, R Youssef, SA Fathy","Reproductive Sciences 30 (2), 656-666",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8870184809122453818,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:NMxIlDl6LWMC
LasuvXwAAAAJ,14,An efficient and effective framework for intestinal parasite egg detection using YOLOv5,"S Kumar, T Arif, G Ahamad, AA Chaudhary, S Khan, MAM Ali","Diagnostics 13 (18), 2978",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1787893886231014836,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:ldfaerwXgEUC
LasuvXwAAAAJ,15,Downregulation of IRAIN long non-coding RNA predicts unfavorable clinical outcome in acute myeloid leukemia patients,"M Hussein, A Ahmed, Y ElNahass, D El-Dahshan, M Ali","Biomarkers 28 (3), 323-340",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3159799556778800127,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:ns9cj8rnVeAC
LasuvXwAAAAJ,16,Insights into the identification and evolutionary conservation of key genes in the transcriptional circuits of meiosis initiation and commitment in budding yeast,"D Das, AA Chaudhary, MAM Ali, AS Alawam, H Sarkar, S Podder","FEBS Open Bio 13 (12), 2290-2305",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LasuvXwAAAAJ,17,Characterization of the anti-biofilm and anti-quorum sensing activities of the β-adrenoreceptor antagonist atenolol against gram-negative bacterial pathogens,"S Cavalu, SS Elbaramawi, AG Eissa, MF Radwan, T S. Ibrahim, ...","International Journal of Molecular Sciences 23 (21), 13088",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9647805155557578368,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:BqipwSGYUEgC
LasuvXwAAAAJ,18,Hiring of the Anti-Quorum Sensing Activities of Hypoglycemic Agent Linagliptin to Alleviate the Pseudomonas aeruginosa Pathogenesis,"MT Khayat, TS Ibrahim, KM Darwish, AN Khayyat, M Alharbi, ES Khafagy, ...","Microorganisms 10 (12), 2455",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4381380329089712332,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:O3NaXMp0MMsC
LasuvXwAAAAJ,19,Mesenchymal stem cells seeded onto nanofiber scaffold for myocardial regeneration,"MS Kishta, HH Ahmed, MAM Ali, HA Aglan, MR Mohamed","Biotechnic & Histochemistry 97 (5), 322-333",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1615045617453016092,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:blknAaTinKkC
LasuvXwAAAAJ,20,Adipose Tissue-derived Cardiomyocytes for Enhancing Cardiac Remodeling in a Rat Model of Acute Myocardial Infarction,"MS KISHTA, MR MOHAMED, HA AGLAN, MAM ALI, HH AHMED","Romanian Biotechnological Letters 27 (1), 3315-3329",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LasuvXwAAAAJ,21,DEAD-box RNA helicases: the driving forces behind RNA metabolism at the crossroad of viral replication and antiviral innate immunity,MAM Ali,"Virus Research 296, 198352",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15984835314087981872,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:isC4tDSrTZIC
LasuvXwAAAAJ,22,The DEAD-box protein family of RNA helicases: sentinels for a myriad of cellular functions with emerging roles in tumorigenesis,MAM Ali,"International Journal of Clinical Oncology 26 (5), 795-825.",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3238820786236203282,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:k_IJM867U9cC
LasuvXwAAAAJ,23,Expression and prognostic relevance of long noncoding RNAs CRNDE and AOX2P in adult acute myeloid leukemia,"MAM Hola, MAM Ali, Y ElNahass, TAE Salem, MR Mohamed","International Journal of Laboratory Hematology 43 (4), 732-742",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6167716719087123850,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:maZDTaKrznsC
LasuvXwAAAAJ,24,Nanomaterial-induced mesenchymal stem cell differentiation into osteoblast for counteracting bone resorption in the osteoporotic rats,"NS Mahmoud, MR Mohamed, MAM Ali, HA Aglan, KS Amr, HH Ahmed","Tissue and Cell 73, 101645",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15662704559610215016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:M3NEmzRMIkIC
LasuvXwAAAAJ,25,Role of nanoparticles in osteogenic differentiation of bone marrow mesenchymal stem cells,"NS Mahmoud, HH Ahmed, MR Mohamed, KS Amr, HA Aglan, MAM Ali, ...","Cytotechnology 72 (1), 1-22",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15774309593734273976,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:r0BpntZqJG4C
LasuvXwAAAAJ,26,Osteoblast-Based Therapy—A New Approach for Bone Repair in Osteoporosis: Pre-Clinical Setting,"NS Mahmoud, MR Mohamed, MAM Ali, HA Aglan, KS Amr, HH Ahmed","Tissue Engineering and Regenerative Medicine 17 (3), 363-373",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10258306825052784318,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:TFP_iSt0sucC
LasuvXwAAAAJ,27,"Additive Diagnostic Yield of Homozygosity Regions Identified During Chromosomal microarray Testing in Children with Developmental Delay, Dysmorphic Features or Congenital Anomalies","MAM Ali, AM Hassan, MA Saafan, AA Abdelmagid","Biochemical genetics 58 (1), 74-101",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2957113323459058387,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:_Qo2XoVZTnwC
LasuvXwAAAAJ,28,"Influence of IL-6, IL-10, IFN-γ and TNF-α genetic variants on susceptibility to diabetic kidney disease in type 2 diabetes mellitus patients","SA Fathy, MR Mohamed, MAM Ali, AE El-Helaly, AT Alattar","Biomarkers 24 (1), 43-55",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14854078469404095516,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:HDshCWvjkbEC
LasuvXwAAAAJ,29,"Cervical high‐risk human papillomavirus infection among women residing in the Gulf Cooperation Council countries: Prevalence, type‐specific distribution, and correlation with …","MAM Ali, RN Bedair, RM Abd El Atti","Cancer cytopathology 127 (9), 567-577",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3584202497424501068,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:j3f4tGmQtD8C
LasuvXwAAAAJ,30,Correlation between Antioxidant/Antimutagenic and Antiproliferative Activity of Some Phytochemicals,"DT Ramadan, MAM Ali, SM Yahya, WM El-Sayed","Anti-Cancer Agents in Medicinal Chemistry 19 (12), 1481-1490",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14158250104164528281,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:bEWYMUwI8FkC
LasuvXwAAAAJ,31,Development of an efficient in vivo cell-based assay system for monitoring hepatitis C virus genotype 4a NS3/4A protease activity,"MM Naguib, MR Mohamed, MAM Ali, AM Karim","Indian Journal of Pathology and Microbiology 62 (3), 391-398",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LasuvXwAAAAJ,32,Time-course expression profile and diagnostic potential of a miRNA panel in exosomes and total serum in acute liver injury,"TK Motawi, MR Mohamed, NN Shahin, MAM Ali, MA Azzam","The international journal of biochemistry & cell biology 100, 11-21",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4379682892626055442,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:mB3voiENLucC
LasuvXwAAAAJ,33,The Synonymous Isocitrate Dehydrogenase 1 315C> T SNP Confers an Adverse Prognosis in Egyptian Adult Patients with NPM1-/CEBPA-Negative Acute Myeloid Leukemia,"MAM Ali, EK Ahmed, MMA Assem, R Helwa","Indian Journal of Hematology and Blood Transfusion 34 (2), 240-252",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1090159715968422045,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:-f6ydRqryjwC
LasuvXwAAAAJ,34,Identification of novel small molecule inhibitors against the NS3/4A protease of hepatitis C virus genotype 4a,"MMR El-Sayed SM, Ali MAM, El-Gendy BEM, Dandash SS, Issac Y, Saad R, Azab MM","Current Pharmaceutical Design 24 (37), 4484-4491",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3345269468567162917,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:TQgYirikUcIC
LasuvXwAAAAJ,35,Identification of host DEAD-box RNA helicases that regulate cellular tropism of oncolytic Myxoma virus in human cancer cells,"MM Rahman, E Bagdassarian, MAM Ali, G McFadden","Scientific reports 7 (1), 15710",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16637594104229620371,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LasuvXwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LasuvXwAAAAJ:qUcmZB5y_30C
