Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
LmAU7x9nw_4C,1,Bioaccumulation of carcinogenic metals in river fish: A quantitative investigation of public health risk,"MA Irshad, R Nawaz, I Nasim, A Irfan, A Hussain, AA Al-Mutairi, M Rizwan, ...","Ecological Indicators 162, 112057",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5829337595223300102,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LmAU7x9nw_4C&pagesize=100&sortby=pubdate&citation_for_view=LmAU7x9nw_4C:dhFuZR0502QC
LmAU7x9nw_4C,2,"Exploring theophylline-1, 2, 4-triazole tethered N-phenylacetamide derivatives as antimicrobial agents: unraveling mechanisms via structure-activity relationship, in vitro …","S Saeed, I Shahzadi, AF Zahoor, AA Al-Mutairi, S Kamal, S Faisal, A Irfan, ...","Frontiers in Chemistry 12, 1372378",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9491719511137828530,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LmAU7x9nw_4C&pagesize=100&sortby=pubdate&citation_for_view=LmAU7x9nw_4C:QIV2ME_5wuYC
LmAU7x9nw_4C,3,QSAR modeling approaches to identify a novel ACE2 inhibitor that selectively bind with the C and N terminals of the ectodomain,"RD Jawarkar, MEA Zaki, SA Al-Hussain, AA Al-Mutairi, A Samad, ...","Journal of Biomolecular Structure and Dynamics 42 (5), 2550-2569",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12062888720160340304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LmAU7x9nw_4C&pagesize=100&sortby=pubdate&citation_for_view=LmAU7x9nw_4C:YOwf2qJgpHMC
LmAU7x9nw_4C,4,"Mechanistic QSAR modeling derived virtual screening, drug repurposing, ADMET and in-vitro evaluation to identify anticancer lead as lysine-specific demethylase …","RD Jawarkar, MEA Zaki, SA Al-Hussain, AA Al-Mutairi, A Samad, ...",Journal of Biomolecular Structure and Dynamics 1-31,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10652702376171894542,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LmAU7x9nw_4C&pagesize=100&sortby=pubdate&citation_for_view=LmAU7x9nw_4C:4DMP91E08xMC
LmAU7x9nw_4C,5,Efficient chromium removal from leather industrial wastewater in batch experimental study: Green synthesis and characterization of zinc oxide nanoparticles using Ficus …,"MA Irshad, M Latif, I Nasim, R Nawaz, AF Zahoor, AA Al-Mutairi, ...","Ecotoxicology and Environmental Safety 281, 116616",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LmAU7x9nw_4C,6,Unveiling dynamics of nitrogen content and selected nitrogen heterocycles in thrombin inhibitors: a ceteris paribus approach,"VH Masand, S Al-Hussain, AY Alzahrani, AA Al-Mutairi, ...",Expert Opinion on Drug Discovery 1-19,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LmAU7x9nw_4C,7,A novel approach to assessing the antioxidant and anti-diabetic potential of synthesized calcium carbonate nanoparticles using various extracts of Ailanthus altissima,"N Samad, U Ejaz, S Kousar, AA Al-Mutairi, A Khalid, ZS Amin, S Bashir, ...","Frontiers in Chemistry 12, 1345950",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LmAU7x9nw_4C,8,Aloe-inspired eco-friendly synthesis of Ag/ZnO heterostructures: boosting photocatalytic potential,"N Ansar, W Shahid, MA Irshad, S Shahid, R Nawaz, A Irfan, MI Khan, ...","Scientific Reports 14 (1), 12711",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LmAU7x9nw_4C,9,A Comprehensive Review on Benzofuran Synthesis Featuring Innovative and Catalytic Strategies,"A Mushtaq, AF Zahoor, S Ahmad, MJ Saif, A ul Haq, SG Khan, ...","ACS omega 9 (19), 20728-20752",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
LmAU7x9nw_4C,10,Estrogen Receptor Alpha Binders for Hormone-Dependent Forms of Breast Cancer: e-QSAR and Molecular Docking Supported by X-ray Resolved Structures,"VH Masand, SA Al-Hussain, AY Alzahrani, AA Al-Mutairi, RA Hussien, ...","ACS omega 9 (14), 16759-16774",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
