Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
MJOEKM8AAAAJ,1,Comparative Study of Self-assembly Bioflocculant from Multiple Consortium Utilizing Peanut Hull and Wheat Bran Hydrolyte with Green Synthesized Nanoparticles on Various …,"LM Alneghery, M Al-Zharani, FA Nasr, AA Qurtam, A Bepari, P Manickam, ...",Journal of Inorganic and Organometallic Polymers and Materials 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
MJOEKM8AAAAJ,2,Structure-based virtual screening methods for the identification of novel phytochemical inhibitors targeting furin protease for the management of COVID-19,"P Kumar Tiwari, M Chouhan, R Mishra, S Gupta, AA Chaudhary, ...","Frontiers in Cellular and Infection Microbiology 14, 1391288",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
MJOEKM8AAAAJ,3,3D computer modeling of inhibitors targeting the MCF-7 breast cancer cell line,"S Zarougui, M Er-Rajy, A Faris, H Imtara, M El Fadili, AA Qurtam, FA Nasr, ...","Frontiers in Chemistry 12, 1384832",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
MJOEKM8AAAAJ,4,Computational design and in vitro assay of lantadene-based novel inhibitors of NS3 protease of dengue virus,"S Mujwar, J Pal, M Sharma, A Tiwari, V Tiwari, M Kumar, S Verma, ...","Open Chemistry 22 (1), 20240004",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
MJOEKM8AAAAJ,5,"Antibacterial, Antioxidant and Physicochemical Properties of Pipper nigram Aided Copper Oxide Nanoparticles","J Aien, AA Khan, S Haq, AR Khan, K Elmnasri, M Ben Ali, MS Al-Harbi, ...","Crystals 13 (2), 330",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17689126170443235048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MJOEKM8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MJOEKM8AAAAJ:kNdYIx-mwKoC
MJOEKM8AAAAJ,6,"Phytochemicals, Antioxidant and Antimicrobial Potentials and LC-MS Analysis of Centaurea parviflora Desf. Extracts","FZ Hechaichi, H Bendif, C Bensouici, SA Alsalamah, B Zaidi, ...","Molecules 28 (5), 2263",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4577683978422684222,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MJOEKM8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MJOEKM8AAAAJ:KlAtU1dfN6UC
MJOEKM8AAAAJ,7,"Enhancing semen quality, brain neurotransmitters, and antioxidant status of rabbits under heat stress by acacia gum, vitamin C, and lycopene as dietary supplements: an in vitro …","TA Imbabi, WS Habashy, GM Abol-Fetouh, MM Labib, A Osman, ...","Italian Journal of Animal Science 22 (1), 321-336",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8032585531752829915,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MJOEKM8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MJOEKM8AAAAJ:YOwf2qJgpHMC
MJOEKM8AAAAJ,8,"Anti-Struvite, Antimicrobial, and Anti-Inflammatory Activities of Aqueous and Ethanolic Extracts of Saussurea costus (Falc) Lipsch Asteraceae","OMNTSH Naima Mammate, Fatima Ezzahra El oumari, Hamada Imtara, Salim ...","Molecules 28 (2), 667",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15438636375707997706,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MJOEKM8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MJOEKM8AAAAJ:_kc_bZDykSQC
MJOEKM8AAAAJ,9,"The multifaceted effects of fluoranthene and polystyrene on the taxonomic composition and associated functional traits of marine meiofauna, by using single and mixture applications","M Bellakhal, S Ishak, N Al-Hoshani, AA Qurtam, M Al-Zharani, O Pacioglu, ...","Marine Pollution Bulletin 194, 115390",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18433356703948623168,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MJOEKM8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MJOEKM8AAAAJ:M3ejUd6NZC8C
MJOEKM8AAAAJ,10,"Persicaline, an alkaloid from Salvadora persica, inhibits proliferation and induces apoptosis and cell-cycle arrest in MCF-7 cells","M Mohany, M Al-zharani, FA Nasr, MS El-Wetidy, M Farag, ...","Open Chemistry 21 (1), 20220302",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14686077225777743283,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MJOEKM8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MJOEKM8AAAAJ:ULOm3_A8WrAC
