Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
NSprWU4AAAAJ,1,On the optional and orthogonal decompositions of supermartingales and applications,A Berkaoui,"Statistics & Probability Letters 199, 109850",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6462715994534118215,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:aqlVkmm33-oC
NSprWU4AAAAJ,2,Multi-Asset Reserving for Coherent Pricing Measures,"S Jacka, S Armstrong, A Berkaoui",Available at SSRN 4619232,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
NSprWU4AAAAJ,3,On the optional and orthogonal decompositions of a class of semimartingales,A Berkaoui,"Portugaliae Mathematica 79 (3), 225-240",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
NSprWU4AAAAJ,4,On representations of the set of supermartingale measures and applications in continuous time,A Berkaoui,"Stochastics 91 (1), 96-113",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16382985784614592131,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:ULOm3_A8WrAC
NSprWU4AAAAJ,5,A characterization of the set of local martingale measures,A Berkaoui,"Stochastics and Dynamics 18 (05), 1850042",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6577686291059073129,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:3fE2CSJIrl8C
NSprWU4AAAAJ,6,On representations of the set of supermartingale measures and applications in discrete time,A Berkaoui,"Arabian Journal of Mathematics 6, 65-73",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17961595537366233073,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:8k81kl-MbHgC
NSprWU4AAAAJ,7,On characterizing the set of martingale measures in discrete time,A Berkaoui,"Stochastics and Dynamics 15 (03), 1550017",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17243559903495514400,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:5nxA0vEk-isC
NSprWU4AAAAJ,8,On characterizing and generalizing the optional m-stability property for pricing set,A Berkaoui,"Statistics & Probability Letters 83 (3), 856-862",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=908951883482936023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:u5HHmVD_uO8C
NSprWU4AAAAJ,9,Euler scheme for SDEs with non-Lipschitz diffusion coefficient: strong convergence,"A Berkaoui, M Bossy, A Diop","ESAIM: Probability and Statistics 12, 1-11",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5270068971594240804,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:IjCSPb-OGe4C
NSprWU4AAAAJ,10,No arbitrage and closure results for trading cones with transaction costs,"S Jacka, A Berkaoui, J Warren","Finance and Stochastics 12 (4), 583-600",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6816470023368854820,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:Tyk-4Ss8FVUC
NSprWU4AAAAJ,11,Euler scheme for solutions of stochastic differential equations with non-Lipschitz coefficients,A Berkaoui,"Portugaliae Mathematica 61 (4), 461-478",2004,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12262829005577066194,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:roLk4NBRz8UC
NSprWU4AAAAJ,12,Sur les grandes déviations en théorie de filtrage non linéaire,"A Berkaoui, B Djehiche, Y Ouknine","Studia Mathematica 148, 5-21",2001,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2525665924143098189,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:d1gkVwhDpl0C
NSprWU4AAAAJ,13,Régularité Besov des trajectoires du processus intégral de Skorohod,"A Berkaoui, Y Ouknine","Bulletin des sciences mathematiques 123 (8), 643-663",1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4406621119159180762,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NSprWU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=NSprWU4AAAAJ:2osOgNQ5qMEC
NSprWU4AAAAJ,14,Besov regularity of trajectories of the Skorohod integral process,"A Berkaoui, Y Ouknine","BULLETIN DES SCIENCES MATHEMATIQUES 123 (8), 643-663",1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
NSprWU4AAAAJ,15,Sur l'approximation de la solution d'une équation différentielle stochastique anticipative,"Y Ouknine, A Berkaoui","Annales mathématiques Blaise Pascal 6 (2), 29-39",1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
