Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
O15H77AAAAAJ,1,Promoting the suitability of graphitic bio-carbon nitride and metal oxide nanoparticles: A review of sulfonamides photocatalytic degradation,"ZU Zango, MA Lawal, F Usman, A Sulieman, H Akhdar, MH Eisa, ...",Chemosphere 141218,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7672605946673006880,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:p2g8aNsByqUC
O15H77AAAAAJ,2,Photo-responsive analysis of branchy dendrites-like CuO/PS pn junction visible light photodetector,"EY Salih, A Ramizy, AS Mohammed, KH Ibnaouf, MH Eisa, O Aldaghri","Materials Science and Engineering: B 301, 117172",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2522084073983941490,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:uWQEDVKXjbEC
O15H77AAAAAJ,3,Removal of rhodamine blue dye from wastewaters by using perovskite@ 2D-layered nanostructured LaCoO3@ g-C3N4 as super-nanosorbent material,"O Aldaghri, KH Ibnaouf, H Idriss, A Modwi, M Bououdina, GZ Kyzas","Science of The Total Environment 906, 167685",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3373877753954972186,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:CHSYGLWDkRkC
O15H77AAAAAJ,4,A review on carbon-based biowaste and organic polymer materials for sustainable treatment of sulfonamides from pharmaceutical wastewater,"ZU Zango, KS Khoo, A Garba, MA Lawal, AZ Abidin, IA Wadi, MH Eisa, ...","Environmental Geochemistry and Health 46 (4), 145",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2753757519453866601,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:08ZZubdj9fEC
O15H77AAAAAJ,5,CaO@ ZrO2@ g-C3N4 nanosorbent for superior malachite green dye selectivity and adsorption from contaminated water,"O Aldaghri, BA El-Badry, KH Ibnaouf, KK Taha, MAB Aissa, A Modwi","Diamond and Related Materials 144, 110944",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17269302096991064849,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:738O_yMBCRsC
O15H77AAAAAJ,6,Development of ZnO and Si semiconductor-based ultraviolet photodetectors enhanced by laser-ablated silver nanoparticles,"AM Alharbi, NM Ahmed, AA Rahman, NZN Azman, S Algburi, IA Wadi, ...","Photonics and Nanostructures-Fundamentals and Applications 58, 101228",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18018310315917855191,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:OU6Ihb5iCvQC
O15H77AAAAAJ,7,"Cutting-edge green nanoclay nanocomposites—fundamentals and technological opportunities for packaging, dye removal, and biomedical sectors","A Kausar, I Ahmad, O Aldaghri, KH Ibnaouf, MH Eisa, TD Lam","Nanocomposites 10 (1), 172-196",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13867860701282954606,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:tS2w5q8j5-wC
O15H77AAAAAJ,8,Potential of nanoporous graphene and functionalized nanoporous graphene derived nanocomposites for environmental membranes–a review,"A Kausar, I Ahmad, O Aldaghri, KH Ibnaouf, MH Eisa, TD Lam","Nanocomposites 10 (1), 152-172",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10546436935985485951,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:vRqMK49ujn8C
O15H77AAAAAJ,9,Solution processed self-powered broadband flower-like Zn (Al) O-mixed metal oxide dye sensitized photodetector,"EY Salih, A Ramizy, O Aldaghri, MH Eisa, KH Ibnaouf","Materials Letters 362, 136213",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=184534142807178497,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:WbkHhVStYXYC
O15H77AAAAAJ,10,A review on titanium oxide nanoparticles modified metal-organic frameworks for effective CO2 conversion and efficient wastewater remediation,"ZU Zango, KS Khoo, A Garba, ZN Garba, UN Danmallam, O Aldaghri, ...",Environmental Research 119024,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10357862733928407401,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:sSrBHYA8nusC
O15H77AAAAAJ,11,A response surface methodology approach to crafting superior performance of potassium salt-based solid biopolymer electrolytes,"AA Adam, H Soleimani, JO Dennis, O Aldaghri, R Alhathlool, MH Eisa, ...","Measurement 227, 114210",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10439530287515674821,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O15H77AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=O15H77AAAAAJ:XiSMed-E-HIC
