Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Pg0r2RMAAAAJ,1,Chen–Ricci Inequality for Isotropic Submanifolds in Locally Metallic Product Space Forms,"Y Li, MA Khan, MD Aquib, I Al-Dayel, MZ Youssef","Axioms 13 (3), 183",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8025672009247846664,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:dhFuZR0502QC
Pg0r2RMAAAAJ,2,GEOMETRIC INEQUALITIES FOR STATISTICAL SUBMANIFOLDS IN COSYMPLECTIC STATISTICAL MANIFOLDS,"M KAZAZ, M ASLAM, M AQUIB","Kragujevac Journal of Mathematics 48 (3), 393-405",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Pg0r2RMAAAAJ,3,Pinching Results for Doubly Warped Products’ Pointwise Bi-Slant Submanifolds in Locally Conformal Almost Cosymplectic Manifolds with a Quarter-Symmetric Connection,"M Aquib, I Al-Dayel, M Aslam, MA Khan, M Shuaib","Symmetry 16 (5), 521",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Pg0r2RMAAAAJ,4,Bounds on Ricci curvature for doubly warped products pointwise bi-slant submanifolds and applications to Physics,"M Aquib, M Aslam, MH Shahid","Filomat 37 (2), 505-518",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1826803776437320066,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:9ZlFYXVOiuMC
Pg0r2RMAAAAJ,5,SOME PINCHING RESULTS FOR STATISTICAL SUBMANIFOLDS IN COSYMPLECTIC STATISTICAL MANIFOLDS,"M Aquib, M Aslam, MN Boyom","Matematički Vesnik 75 (2), 106-117",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Pg0r2RMAAAAJ,6,Estimation of Eigenvalues for the ψ-Laplace Operator on Bi-Slant Submanifolds of Sasakian Space Forms,"AH Alkhaldi, MA Khan, M Aquib, LS Alqahtani","Frontiers in Physics 10, 870119",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2136450202616619026,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:4TOpqqG69KYC
Pg0r2RMAAAAJ,7,Ricci curvature for pointwise semi-slant warped products in non-Sasakian generalized Sasakian space forms and its applications,"M Aquib, S Uddin, MH Shahid",Hacettepe Journal of Mathematics and Statistics 1-15,2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8225895603070356481,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:aqlVkmm33-oC
Pg0r2RMAAAAJ,8,New obstructions to warped product immersions in complex space forms,"M Aquib, A Mihai, I Mihai, S Uddin","Symmetry 14 (8), 1747",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6937198553994812530,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:4DMP91E08xMC
Pg0r2RMAAAAJ,9,Estimation of eigenvalues for the α-Laplace operator on pseudo-slant submanifolds of generalized Sasakian space forms,"MA Khan, AH Alkhaldi, M Aquib","AIMS Math 7, 16054-16066",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5580411215583091020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:qxL8FJ1GzNcC
Pg0r2RMAAAAJ,10,Some Pinching Results for Bi-Slant Submanifolds in S-Space Forms,"M Aquib, MA Khan, A Mihai, I Mihai","Mathematics 10 (9), 1538",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Pg0r2RMAAAAJ,11,A characterization for totally real submanifolds using self-adjoint differential operator,"M Aquib, AA Ishan, MA Khan, MH Shahid","AIMS Mathematics 7 (1), 104-120",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Pg0r2RMAAAAJ,12,Chen‐Ricci Inequalities with a Quarter Symmetric Connection in Generalized Space Forms,"AH Al-Khaldi, M Aquib, M Aslam, MA Khan","Advances in Mathematical Physics 2021 (1), 3221643",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17001004054190030586,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:MXK_kJrjxJIC
Pg0r2RMAAAAJ,13,Classification of Casorati ideal Lagrangian submanifolds incomplex space forms,"DWY Mohd. Aquib, Jae Won Lee, Gabriel Eduard","Differential Geometry and its Applications 63, 30-49",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2881454396008753682,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:2osOgNQ5qMEC
Pg0r2RMAAAAJ,14,The first fundamental equation and generalized Wintgen-type inequalities for submanifolds in generalized space forms,"M Aquib, MN Boyom, MH Shahid, GE Vîlcu","Mathematics 7 (12), 1151",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3087697570107895461,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:eQOLeE2rZwMC
Pg0r2RMAAAAJ,15,Generalized Wintgen inequality for submanifolds in Kenmotsu space forms,"M Aquib, MH Shahid","Tamkang Journal of Mathematics 50 (2), 155-164",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7544389638204925315,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:Y0pCki6q_DkC
Pg0r2RMAAAAJ,16,Generalized normalized δ-Casorati curvature for statistical submanifolds in quaternion Kaehler-like statistical space forms,"M Aquib, MH Shahid","Journal of Geometry 109 (1), 13",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9623252487877430806,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:9yKSN-GCB0IC
Pg0r2RMAAAAJ,17,Bounds for generalized normalized δ-Casorati curvatures for bi-slant submanifolds in T-space forms,M Aquib,"Filomat 32 (1), 329-340",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8906271282401510395,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:u-x6o8ySG0sC
Pg0r2RMAAAAJ,18,Lower extremities for generalized normalized δ-Casorati curvatures of bi-slant submanifolds in generalized complex space forms,"M Aquib, MH Shahid, M Jamali","Kragujevac Journal of Mathematics 42 (4), 591-605",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10054259581513494393,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:d1gkVwhDpl0C
Pg0r2RMAAAAJ,19,Bounds for generalized normalized δ-Casorati curvatures for submanifolds in Bochner Kaehler manifold,MAMH Shahid,"Filomat 32 (2), 693–704",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10786281529740979736,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:UeHWp8X0CEIC
Pg0r2RMAAAAJ,20,Pinching theorems for statistical submanifolds in Sasaki-like statistical space forms,"MHS Ali H. Khaldi, Mohd. Aquib, Aliya Naaz Siddiqui","Entropy 20, 690",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3906698270527991180,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:qjMakFHDy7sC
Pg0r2RMAAAAJ,21,"Bounds for generalized normalized δ-Casorati curvatures for submanifolds in generalized (κ, µ)-space forms",MHS Mohd. Aquib,"Kyungpook Mathematical Journal 58, 167-182",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14638627979327310483,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:IjCSPb-OGe4C
Pg0r2RMAAAAJ,22,Some inequalities for submanifolds in Bochner-Kaehler manifold,M Aquib,"Balkan Journal of Geometry and Its Applications 23 (1), 1-13",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13008124644460987423,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:zYLM7Y9cAGgC
Pg0r2RMAAAAJ,23,Generalized Wintgen inequality for bi-slant submanifolds in locally conformal Kaehler space forms,"MAL Mohd. Aquib, S. M. Lone","Matematicki Vasnik 70 (3), 243-249",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3069145394703000124,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg0r2RMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Pg0r2RMAAAAJ:Tyk-4Ss8FVUC
