Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Plvn0XMAAAAJ,1,Comprehensive analysis of the COBRA-like (COBL) gene family through whole-genome analysis of land plants,"MZ Ahmed, AS Alqahtani, FA Nasr, SA Alsufyani","Genetic Resources and Crop Evolution 71 (2), 863-872",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6394532440238652052,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Plvn0XMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Plvn0XMAAAAJ:dshw04ExmUIC
Plvn0XMAAAAJ,2,"The antiproliferative effects of Marrubium vulgare, and toxicity screening in zebrafish embryos","R Ullah, AS Alqahtani, AA Shahat, F Nasr, MA Wadaan, M Farooq","Journal of King Saud University-Science 36 (7), 103241",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Plvn0XMAAAAJ,3,Comparative Study of Self-assembly Bioflocculant from Multiple Consortium Utilizing Peanut Hull and Wheat Bran Hydrolyte with Green Synthesized Nanoparticles on Various …,"LM Alneghery, M Al-Zharani, FA Nasr, AA Qurtam, A Bepari, P Manickam, ...",Journal of Inorganic and Organometallic Polymers and Materials 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Plvn0XMAAAAJ,4,Structure-based virtual screening methods for the identification of novel phytochemical inhibitors targeting furin protease for the management of COVID-19,"P Kumar Tiwari, M Chouhan, R Mishra, S Gupta, AA Chaudhary, ...","Frontiers in Cellular and Infection Microbiology 14, 1391288",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Plvn0XMAAAAJ,5,3D computer modeling of inhibitors targeting the MCF-7 breast cancer cell line,"S Zarougui, M Er-Rajy, A Faris, H Imtara, M El Fadili, AA Qurtam, FA Nasr, ...","Frontiers in Chemistry 12, 1384832",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Plvn0XMAAAAJ,6,"Cellulose-based CoFe LDH composite as a nano-adsorbent for sulfamethoxazole and cefixime residues: Evaluation of performance, green metrics and cytotoxicity","AA Kotp, AA Allam, AM Salah, W Kamal, D Essam, SM Mahgoub, ...","Journal of Contaminant Hydrology 264, 104364",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Plvn0XMAAAAJ,7,Investigating the effect of resveratrol on apoptosis and regulation of gene expression of Caco-2 cells: Unravelling potential implications for colorectal cancer treatment,"M Al-Zharani, AA Alkahtane, NS AL-Johani, B Almutairi, N Alkeraishan, ...","Open Chemistry 22 (1), 20240012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Plvn0XMAAAAJ,8,Exogenous Melatonin Supplement Contributes as Antioxidant to Attenuate the Oxidative Stress Induced by Cadmium Toxicity in Male Wistar Rats,"MM Al-Zharani, EA Almuqri, MM Ahmed, NH Aljarba, HA Rudayni, ...","Biomedical and Biotechnology Research Journal (BBRJ) 8 (2), 218-224",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Plvn0XMAAAAJ,9,"Anti-MRSA and cytotoxic activities of different solvent extracts from Artemisia herba-alba grown in Shubak, Jordan","RD Alghonmeen, SM Dmour, SAM Saghir, S Abushattal, S Alnaimat, ...","Open Veterinary Journal 14 (4), 990",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Plvn0XMAAAAJ,10,Environmental epigenetics: Exploring phenotypic plasticity and transgenerational adaptation in fish,"SA Abdelnour, MAE Naiel, MB Said, AM Alnajeebi, FA Nasr, AA Al-Doaiss, ...",Environmental Research 118799,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
