Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
PrgRRZoAAAAJ,1,S-scheme MgO–TiO2@g-C3N4 nanostructures as efficient photocatalyst for alizarin red S photodegradation,"LS Alqarni, MD Alghamdi, H Alhussain, NY Elamin, KK Taha, A Modwi","Journal of Materials Science: Materials in Electronics 35 (3), 239",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12292183006610308700,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PrgRRZoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PrgRRZoAAAAJ:WF5omc3nYNoC
PrgRRZoAAAAJ,2,Corrosion inhibition performance of copper using N-benzylhy-drazinecarbothioamide in a 3.5% NaCl solution,"A Toghan, H Alhussain, A Attia, OK Alduaij, A Fawzy, AM Eldesoky, ...","Journal of Electrochemical Science and Engineering 14 (2), 231-245",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18179846735729383936,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PrgRRZoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PrgRRZoAAAAJ:roLk4NBRz8UC
PrgRRZoAAAAJ,3,"Corrosion inhibition performance of new Schiff base cyclohexanamine derivatives on C-steel in 1 M HCl solution: electrochemical, chemical, surface and computational explorations","AA Farag, AAA Alayyafi, H Alhussain, A Fawzy, EM Masoud, A Toghan","Inorganic Chemistry Communications 163, 112339",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10518991733038598898,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PrgRRZoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PrgRRZoAAAAJ:0EnyYjriUFMC
PrgRRZoAAAAJ,4,"Bi2Co3O7@ g-C3N4 nanocomposite for Cd (II) elimination: Adsorption equilibrium, kinetics and mechanistic approaches","LS Alqarni, AA Alshahrani, H Alhussain, NY Elamin, M Ismail, KK Taha, ...","Diamond and Related Materials 142, 110803",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15564269990185577582,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PrgRRZoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PrgRRZoAAAAJ:eQOLeE2rZwMC
PrgRRZoAAAAJ,5,Purification of RhB dye from aquatic media via CaO-TiO2@ g-C3N4 nanocomposite,"H Alhussain, NY Elamin, LS Alqarni, A Albadri, KK Taha, A Modwi","Inorganic Chemistry Communications 159, 111785",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11239947722936246403,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PrgRRZoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PrgRRZoAAAAJ:Y0pCki6q_DkC
PrgRRZoAAAAJ,6,"Recent Progress in Enhanced Optical, Mechanical, Thermal Properties, and Antibacterial Activity of the Chitosan/Polyvinylalcohol/Co3O4 Nanocomposites for …","H Alhussain, AM Alghamdi, NY Elamin, A Rajeh",Journal of Polymers and the Environment 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15872871829524335112,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PrgRRZoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PrgRRZoAAAAJ:ufrVoPGSRksC
PrgRRZoAAAAJ,7,Photocatalytic degradation of methyl orange using CuO/Al2O3 nanocomposite obtained by microwave-assisted thermal decomposition route,"H Alhussain, H Ferjani, OA Oyewo, S Makgato, DC Onwudiwe","Inorganic Chemistry Communications 162, 112272",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PrgRRZoAAAAJ,8,"First‐Principles Calculations to Investigate the Ground State, Mechanical Stability, Electronic Structure, and Optical Properties of Tl2SnX3 (X = S, Se, Te)","H Alhussain, H Ferjani, Y Ben Smida","Crystal Research and Technology 59 (4), 2300340",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PrgRRZoAAAAJ,9,Construction and XRD analysis of La@Co3O4@g-C3N4 nanostructures for removal of Co ions from contaminated water,"H Alhussain, NY Elamin, LS Alqarni, KK Taha, A Modwi","Journal of Materials Science: Materials in Electronics 35 (8), 588",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PrgRRZoAAAAJ,10,"Flucytosine Antifungal Drug in Organic-Inorganic Bismuth Chloride Material: Crystal Structure, Optical Properties, Biological Activities, and Computational Insights","H Ferjani, R Bechaieb, MB Jemaa, NA Ibrahim, H Alhussain, TA Yousef, ...",Journal of Cluster Science 1-13,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PrgRRZoAAAAJ,11,"Supramolecular structure, Hirshfeld surface analysis, optical study and DFT calculations of a new chlorostannate(II) hybrid material",HA Hela Ferjani,"Journal of Molecular Structure 1302, 137489",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PrgRRZoAAAAJ,12,"Investigation of mechanical, optical, phonon frequencies, and sound velocity of nano-structured Gallium Phosphide (GaP) material under the effect of pressure","NY Elamin, H Alhussain, AM Abdelghany, EB Elkenany","Optical and Quantum Electronics 56 (1), 54",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PrgRRZoAAAAJ,13,"Adsorption Mechanism, Kinetics, Thermodynamics, and Anticorrosion Performance of a New Thiophene Derivative for C‑Steel in a 1.0 M HCl: Experimental and Computational Approaches","HAHS Arafat Toghan, H. S. Gadow, Ahmed Fawzy","metals 13 (9), 1565",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16075547705333065195,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PrgRRZoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PrgRRZoAAAAJ:Tyk-4Ss8FVUC
