Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
SB2XDZUAAAAJ,1,Asymptotic normality of the coefficients of the Morgan-Voyce polynomials,"M Benoumhani, B Heim, M Neuhauser",Journal of Mathematical Sciences 1-10,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10032034294632119664,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:LkGwnXOMwfcC
SB2XDZUAAAAJ,2,THE DISTRIBUTION OF THE NUMBER OF FIXED POINTS IN k-PERMUTATIONS,M Benoumhani,"INTEGERS 24, 2",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
SB2XDZUAAAAJ,3,On a conjecture of Heim and Neuhauser on some polynomials arising from modular forms and related to Fibonacci polynomials,"Y Zouareg, M Benoumhani","The Ramanujan Journal 58 (1), 183-201",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9450415006094867673,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:WF5omc3nYNoC
SB2XDZUAAAAJ,4,An elementary unified approach to prove some identities involving Fibonacci and Lucas numbers,M Benoumhani,Notes on Number Theory and Discrete Mathematics 27 (4),2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10941127385521880673,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:ufrVoPGSRksC
SB2XDZUAAAAJ,5,Chains in lattices of mappings and finite fuzzy topological spaces,"M Benoumhani, A Jaballah","Journal of Combinatorial Theory, Series A 161, 99-111",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5256108002595003579,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:9yKSN-GCB0IC
SB2XDZUAAAAJ,6,Finite fuzzy topological spaces,"M Benoumhani, A Jaballah","Fuzzy Sets and Systems 321, 101-114",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8490781238830891203,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:UeHWp8X0CEIC
SB2XDZUAAAAJ,7,On the Modes of the Independence Polynomial of the Centipede,M Benoumhani,"Journal of Integer Sequences 15 (2), 3",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9982094809854703556,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:zYLM7Y9cAGgC
SB2XDZUAAAAJ,8,Finite topologies and partitions,"M Benoumhani, M Kolli","Journal of Integer Sequences 13 (2), 3",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5035728339383058453,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:d1gkVwhDpl0C
SB2XDZUAAAAJ,9,The number of topologies on a finite set,M Benoumhani,"Journal of Integer sequences 9 (2), 3",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4285545838184108361,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:u-x6o8ySG0sC
SB2XDZUAAAAJ,10,A sequence of binomial coefficients related to Lucas and Fibonacci numbers,M Benoumhani,"J. Integer Seq 6 (03.2), 1",2003,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8108771089155635692,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:2osOgNQ5qMEC
SB2XDZUAAAAJ,11,Log-concavity of Whitney numbers of Dowling lattices,M Benoumhani,"Advances in Applied Mathematics 22 (2), 186-189",1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11433985878083781375,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:Tyk-4Ss8FVUC
SB2XDZUAAAAJ,12,On some numbers related to Whitney numbers of Dowling lattices,M Benoumhani,"Advances in Applied Mathematics 19 (1), 106-116",1997,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18194766975692415330,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:W7OEmFMy1HYC
SB2XDZUAAAAJ,13,On Whitney numbers of Dowling lattices,M Benoumhani,"Discrete Mathematics 159 (1-3), 13-33",1996,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3764143875240325141,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:u5HHmVD_uO8C
SB2XDZUAAAAJ,14,Sur une propriété des polynômes a racines réelles négatives,M benoumhani,"Journal de mathématiques pures et appliquées 75, 95-105",1996,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17311110594583485932,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SB2XDZUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=SB2XDZUAAAAJ:Se3iqnhoufwC
