Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
UHhZKDYAAAAJ,1,Existence results for double phase problems depending on Robin and Steklov eigenvalues for the p -Laplacian,"SE Manouni, G Marino, P Winkert","Advances in Nonlinear Analysis 11 (1), 304-320",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18218092775601627477,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:u-x6o8ySG0sC
UHhZKDYAAAAJ,2,On the study of strongly parabolic problems involving anisotropic operators in ,"M Chrif, SEL Manouni, H Hjiaj","Monatshefte für Mathematik 195, 611-647",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11304172522950826419,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:qjMakFHDy7sC
UHhZKDYAAAAJ,3,Strongly anisotropic elliptic problems with regular and  data,"M Chrif, S El Manouni, F Mokhtari","Portugaliae Mathematica 72 (4), 357-391",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6761463012597573836,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:Se3iqnhoufwC
UHhZKDYAAAAJ,4,Parametric nonlinear nonhomogeneous Neumann equations involving a nonhomogeneous differential operator,"S El Manouni, NS Papageorgiou, P Winkert","Monatshefte für Mathematik 177 (2), 203-233",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5922884901945439359,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:eQOLeE2rZwMC
UHhZKDYAAAAJ,5,A convergence analysis of the Adomian decomposition method for an abstract Cauchy problem of a system of first-order nonlinear differential equations,"L Bougoffa, RC Rach, S El-Manouni","International Journal of Computer Mathematics 90 (2), 360-375",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11868885062413805261,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:hqOjcs7Dif8C
UHhZKDYAAAAJ,6,MULTIPLICITY RESULTS FOR SOME ELLIPTIC PROBLEMS OF -LAPLACE TYPE,"S El Manouni, F Faraci","Taiwanese Journal of Mathematics 16 (3), 901-911",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15999643719803064955,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:0EnyYjriUFMC
UHhZKDYAAAAJ,7,An approximation result in generalized anisotropic Sobolev spaces and applications,"M Bendahmane, M Chrif, S El Manouni","Zeitschrift für Analysis und ihre Anwendungen 30 (3), 341-353",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13210951150237738724,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:ufrVoPGSRksC
UHhZKDYAAAAJ,8,A study of nonlinear problems for the p-Laplacian in Rn via Ricceri’s principle,S El Manouni,"Nonlinear Analysis: Theory, Methods & Applications 74 (13), 4496-4502",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13045336009569416962,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:WF5omc3nYNoC
UHhZKDYAAAAJ,9,A result on elliptic systems with Neumann conditions via Ricceri’s three critical points theorem,"S El Manouni, MK Alaoui","Nonlinear Analysis: Theory, Methods & Applications 71 (5-6), 2343-2348",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4520576381927041359,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:4DMP91E08xMC
UHhZKDYAAAAJ,10,Anisotropic equations in weighted Sobolev spaces of higher order,"M Chrif, S El Manouni","Ricerche di matematica 1 (58), 1-14",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10498594188143111726,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:-f6ydRqryjwC
UHhZKDYAAAAJ,11,On a strongly anisotropic equation with L 1 data,"M Chrif, S El Manouni","Applicable Analysis 87 (7), 865-871",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10321365831852507527,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:Wp0gIr-vW9MC
UHhZKDYAAAAJ,12,On some nonlinear elliptic problems for p-Laplacian in RN,"A El Khalil, S El Manouni, M Ouanan","NoDEA Nonlinear Differential Equations Appl 15, 295-307",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5802122588457921586,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:roLk4NBRz8UC
UHhZKDYAAAAJ,13,Existence results for strongly nonlinear elliptic equations of infinite order,"A Benkirane, M Chrif, S El Manouni","Zeitschrift für Analysis und ihre Anwendungen 26 (3), 303-312",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3250325467498627367,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:Y0pCki6q_DkC
UHhZKDYAAAAJ,14,Simplicity and stability of the first eigenvalue of a nonlinear elliptic system,"A El Khalil, S El Manouni, M Ouanan",International Journal of Mathematics and Mathematical Sciences 2005 (10 …,2005,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5249985885837930003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:YsMSGLbcyi4C
UHhZKDYAAAAJ,15,On some nonlinear elliptic systems with coercive perturbations in RN,"S El, A Touzani","Revista Matemática Complutense 16 (2), 483-494",2003,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3137422381779699421,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:qxL8FJ1GzNcC
UHhZKDYAAAAJ,16,Existence and regularity of solutions for nonlinear elliptic systems in R^ N,"P Drábek, S El Manouni, A Touzani","ATTI DEL SEMINARIO MATEMATICO E FISICO UNIVERSITA DI MODENA 50 (1), 161-172",2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3995559521110785697,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UHhZKDYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UHhZKDYAAAAJ:ZeXyd9-uunAC
