Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
VC9il20AAAAJ,1,MicroRNAs: Key modulators of inflammation-associated diseases,"B Chatterjee, M Sarkar, S Bose, MT Alam, AA Chaudhary, AK Dixit, ...","Seminars in Cell & Developmental Biology 154, 364-373",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6549570792784422273,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VC9il20AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VC9il20AAAAJ:eflP2zaiRacC
VC9il20AAAAJ,2,"Burden of disease scenarios for 204 countries and territories, 2022–2050: a forecasting analysis for the Global Burden of Disease Study 2021","SE Vollset, HS Ababneh, YH Abate, C Abbafati, R Abbasgholizadeh, ...","The Lancet 403 (10440), 2204-2256",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16046075923931827751,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VC9il20AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VC9il20AAAAJ:7T2F9Uy0os0C
VC9il20AAAAJ,3,Development and evaluation of polysorbate-80 coated Mangiferin PLGA nanoparticles used in the treatment of cerebral ischemia,"N Ahmad, MF Khan, Z Ullah, AA Chaudhary, AS Alawam, MS Khalid, ...","Polymer Bulletin 81 (8), 7035-7069",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15792377363628899969,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VC9il20AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VC9il20AAAAJ:PELIpwtuRlgC
VC9il20AAAAJ,4,Structure-based virtual screening methods for the identification of novel phytochemical inhibitors targeting furin protease for the management of COVID-19,"P Kumar Tiwari, M Chouhan, R Mishra, S Gupta, AA Chaudhary, ...","Frontiers in Cellular and Infection Microbiology 14, 1391288",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,5,"Syzygium aromaticum Bud Extracted Core–Shell Ag–Fe Bimetallic Nanoparticles: Phytotoxic, Antioxidant, Insecticidal, and Antibacterial Properties","F Murtaza, N Akhter, MA Qamar, A Yaqoob, AA Chaudhary, BR Patil, ...","Crystals 14 (6), 510",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,6,Investigating Sulforaphane’s anti-virulence and anti-quorum sensing properties against Pseudomonas aeruginosa,"MM Bendary, MAM Ali, AS Abdel Halim, F Boufahja, AA Chaudhary, ...","Frontiers in Pharmacology 15, 1406653",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,7,Exploration and Purification of Secondary Metabolites from Lactobacillus acidophilus and Their Potential as a Bio-preservative,"AA Chaudhary, M Fareed","UTTAR PRADESH JOURNAL OF ZOOLOGY 45 (11), 227-239",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,8,Improving faster R-CNN generalization for intestinal parasite detection using cycle-GAN based data augmentation,"S Kumar, T Arif, G Ahamad, AA Chaudhary, MAM Ali, A Islam","Discover Applied Sciences 6 (5), 1-13",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,9,Antiangiogenic potential of phytochemicals from Clerodendrum inerme (L.) Gaertn investigated through in silico and quantum computational methods,"N Yasmeen, AA Chaudhary, S Khan, PV Ayyar, SS Lakhawat, PK Sharma, ...",Molecular Diversity 1-25,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,10,"The implication of microbiome in lungs cancer: mechanisms and strategies of cancer growth, diagnosis and therapy","Y Bano, A Shrivastava, P Shukla, AA Chaudhary, SUD Khan, S Khan",Critical Reviews in Microbiology 1-25,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,11,Amyloid-Induced Neurodegeneration: A Comprehensive Review through Aggregomics Perception of Proteins in Health and Pathology,"S Bashir, A Aiman, M Shahid, AA Chaudhary, N Sami, SF Basir, I Hassan, ...",Ageing Research Reviews 102276,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,12,"Screening of phytochemicals from Clerodendrum inerme (L.) Gaertn as potential anti-breast cancer compounds targeting EGFR: an in-silico approach (Dec, 10.1080/07391102.2023 …","N Yasmeen, AA Chaudhary, RRK Niraj, SS Lakhawat, PK Sharma, ...","JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS 42 (3), 1615-1615",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,13,The anti-staphylococcal fusidic acid as an efflux pump inhibitor combined with fluconazole against vaginal candidiasis in mouse model,"SE Gomaa, HA Abbas, FA Mohamed, MAM Ali, TM Ibrahim, ...","BMC microbiology 24 (1), 54",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,14,Preparation of novel S-allyl cysteine chitosan based nanoparticles for use in ischemic brain treatment,"ASAMAMA Mohd Faiyaz Khan, Niyaz Ahmad, Faisal K. Alkholifi, Zabih Ullah ...","RSC Advances 14, 160",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VC9il20AAAAJ,15,Nanostructured material‐based optical and electrochemical detection of amoxicillin antibiotic,"M Imran, S Ahmed, AZ Abdullah, J Hakami, AA Chaudhary, HA Rudayni, ...","Luminescence 38 (7), 1064-1086",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13029224855973074793,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VC9il20AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VC9il20AAAAJ:sSrBHYA8nusC
VC9il20AAAAJ,16,A review on natural antioxidants for their role in the treatment of Parkinson’s disease,"P Mittal, S Dhankhar, S Chauhan, N Garg, T Bhattacharya, M Ali, ...","Pharmaceuticals 16 (7), 908",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11369293830666297577,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VC9il20AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VC9il20AAAAJ:WA5NYHcadZ8C
VC9il20AAAAJ,17,Wildfire-induced pollution and its short-term impact on COVID-19 cases and mortality in California,"HR Naqvi, G Mutreja, A Shakeel, K Singh, K Abbas, DF Naqvi, ...","Gondwana Research 114, 30-39",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6461250722220463552,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VC9il20AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VC9il20AAAAJ:UxriW0iASnsC
VC9il20AAAAJ,18,Electrochemical detection of nitrazepam using leaf-like graphitic carbon nitride nanosheets,"M Imran, S Ahmed, EA Al-Harthi, ME Khan, MM Alam, F Haouala, ...","Physica Scripta 98 (7), 075003",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13739085742039452835,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VC9il20AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VC9il20AAAAJ:bnK-pcrLprsC
VC9il20AAAAJ,19,"An extensive examination of the warning signs, symptoms, diagnosis, available therapies, and prognosis for lumpy skin disease","B Datten, AA Chaudhary, S Sharma, L Singh, KD Rawat, MS Ashraf, ...","Viruses 15 (3), 604",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10990966360172407429,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VC9il20AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VC9il20AAAAJ:J-pR_7NvFogC
VC9il20AAAAJ,20,Nanomedicine as potential cancer therapy via targeting dysregulated transcription factors,"A Ahmad, S Rashid, AA Chaudhary, AS Alawam, MI Alghonaim, SS Raza, ...","Seminars in Cancer Biology 89, 38-60",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=89832894322483761,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VC9il20AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VC9il20AAAAJ:D_sINldO8mEC
