Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
VGA2Pk0AAAAJ,1,Synthetic Approaches and Biological Applications of Aminopyrazolecarbonitriles,"ASBKMEM Mohamed Abdel-Megid, Magdy A. Ibrahim","Synthetic Communications 54 (4), 239-267",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VGA2Pk0AAAAJ,2,Part –III: Utilities of Active Methylene Compounds and Heterocycles Bearing Active Methyl or having an Active Methine in the Formation of  Heterocylyl and Heterocyclo Pyridines,M Abdel-Megid,"Journal of Material Science Research and Reviews 10 (1), 52-71",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VGA2Pk0AAAAJ,3,Part–I: Utilities of active methylene compounds and heterocycles bearing active methyl or having an active methine in the formation of bioactive heteroarylpyrimidines and …,M Abdel-Megid,"Synthetic communication 51 (2), 191–214",2021,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3353139707513475895,16119785321828614184",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VGA2Pk0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VGA2Pk0AAAAJ:JV2RwH3_ST0C
VGA2Pk0AAAAJ,4,Part—II: Utilities of active methylene compounds and heterocycles bearing active methyl or having an active methine in the formation of bioactive pyrazoles and pyrazolopyrimidines,M Abdel-Megid,"Synthetic communication 50 (23), 3563–3591",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3353139707513475895,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VGA2Pk0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VGA2Pk0AAAAJ:M3NEmzRMIkIC
VGA2Pk0AAAAJ,5,Part –V: Utilities of Active Methylene Compounds and Heterocycles Bearing Active Methyl or having an Active Methine in the Formation of Nitrogenous Heterocycles Having oxygen …,M Abdel-Megid,"To Chemistry Journal 6, 209-229",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3353139707513475895,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VGA2Pk0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VGA2Pk0AAAAJ:hMod-77fHWUC
VGA2Pk0AAAAJ,6,Synthesis of New Annulated Pyrazinothienotriazolopyrimidinones and Triazolylthienopyrazines,"JF Campos, MJRP Queiroz, S Berteina-Raboin","Synthesis 50 (05), 1159-1165",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6781687436095870943,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VGA2Pk0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VGA2Pk0AAAAJ:J_g5lzvAfSwC
VGA2Pk0AAAAJ,7,"Synthesis and Antimicrobial Activities of some Novel Pyridines Carrying   Pyrazolobenzothieno[2,3-d]pyrimidine Unit","OF Mohamed Abdel-Megid, Azza M El-Kazak, Kamelia M EL-mahdy, Magdy Seada","Der Pharma Chem 20 (2017), 86-95",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3727792163764044074,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VGA2Pk0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VGA2Pk0AAAAJ:L8Ckcad2t8MC
VGA2Pk0AAAAJ,8,"Synthesis, Characterization and Antimicrobial Activities of Some New Heterocyclic Schiff Bases Derived from Thiocarbohydrazide.","KM El-Mahdy, AM El-Kazak, M Abdel-Megid, M Seada, O Farouk",Acta Chimica Slovenica 63 (1),2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1196479582820854701,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VGA2Pk0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VGA2Pk0AAAAJ:8k81kl-MbHgC
VGA2Pk0AAAAJ,9,Chemistry of thienopyrimidines and their biological applications,"M Abdel-Megid, K M Elmahdy, A M Elkazak, M H Seada, O F Mohamed","Journal of Pharmaceutical and Applied Chemistry 2 (3), 78-102",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7487274787055145391,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VGA2Pk0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VGA2Pk0AAAAJ:qxL8FJ1GzNcC
VGA2Pk0AAAAJ,10,The Chemistry of pyrazolopyrimidines and their applications,MAM A.R.Rashad,"Organictry Chemis AI. J 10 (2014), 224-250",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6457170839088313574,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VGA2Pk0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VGA2Pk0AAAAJ:r0BpntZqJG4C
