Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
XXz8jJkAAAAJ,1,Fractal Numerical Investigation of Mixed Convective Prandtl-Eyring Nanofluid Flow with Space and Temperature-Dependent Heat Source,"Y Nawaz, MS Arif, M Mansoor, K Abodayeh, AS Baazeem","Fractal and Fractional 8 (5), 276",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XXz8jJkAAAAJ,2,An efficient and accurate approach to electrical boundary layer nanofluid flow simulation: A use of artificial intelligence,"AS Baazeem, MS Arif, K Abodayeh","Processes 11 (9), 2736",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=644449007833154805,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XXz8jJkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XXz8jJkAAAAJ:_Qo2XoVZTnwC
XXz8jJkAAAAJ,3,Modelling infectious disease dynamics: A robust computational approach for stochastic SIRS with partial immunity and an incidence rate,"AS Baazeem, Y Nawaz, MS Arif, K Abodayeh, MA AlHamrani","Mathematics 11 (23), 4794",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13025914221536493611,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XXz8jJkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XXz8jJkAAAAJ:4JMBOYKVnBMC
XXz8jJkAAAAJ,4,Fixed Point Theorems via Orthogonal Convex Contraction in Orthogonal♭-Metric Spaces and Applications,"G Nallaselli, AS Baazeem, AJ Gnanaprakasam, G Mani, K Javed, ...","Axioms 12 (2), 143",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11010292572119024548,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XXz8jJkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XXz8jJkAAAAJ:e5wmG9Sq2KIC
XXz8jJkAAAAJ,5,Finite Difference Modeling of Time Fractal Impact on Unsteady Magneto-hydrodynamic Darcy–Forchheimer Flow in Non-Newtonian Nanofluids with the q-Derivative,"AS Baazeem, Y Nawaz, MS Arif","Fractal and Fractional 8 (1), 8",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XXz8jJkAAAAJ,6,A new type of three dimensional metric spaces with applications to fractional differential equations,"N Souayah, N Mlaiki, S Haque, D Rizk, AS Baazeem, W Shatanawi","AIMS Math 7, 17802-17814",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16639816405990478219,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XXz8jJkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XXz8jJkAAAAJ:TQgYirikUcIC
XXz8jJkAAAAJ,7,Solving a fractional differential equation via -contractions in ℜ-complete metric spaces,"K Javed, M Arshad, AS Baazeem, N Mlaiki","AIMS Mathematics 7 (9), 16869-16888",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9814895040901740544,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XXz8jJkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XXz8jJkAAAAJ:HDshCWvjkbEC
XXz8jJkAAAAJ,8,Some applications of Berezin θ-sequences and Berezin symbols,"N Altwaijry, M Garayev, A Baazeem","Filomat 35 (11), 3703-3712",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XXz8jJkAAAAJ,9,Skew-symmetric and essentially unitary operators via Berezin symbols,"N Altwaijry, M Garayev, H Guediri, A Baazeem","Open Mathematics 18 (1), 1760-1770",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4203530576135857310,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XXz8jJkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XXz8jJkAAAAJ:hFOr9nPyWt4C
XXz8jJkAAAAJ,10,"Distance estimates, norm of Hankel operators and related questions","N Altwaijry, AS Baazeem, M Garayev","Operators and Matrices 12 (1), 157-168",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13396832309547370491,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XXz8jJkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XXz8jJkAAAAJ:YOwf2qJgpHMC
