Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
ZGIIu8wAAAAJ,1,Planning maintenance when resources are limited: a study of periodic opportunistic replacement,"C Cavalcante, P Scarf, Y Ribeiro, A Rodrigues, N Alotaibi","IMA Journal of Management Mathematics, dpae e015",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=64853187132652130,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:isC4tDSrTZIC
ZGIIu8wAAAAJ,2,Modified age-based replacement,"P Scarf, NM Alotaibi, CAV Cavalcante, YR Melo, AJS Rodrigues","Reliability Engineering & System Safety 245, 110022",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1645351056337203695,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:RHpTSmoSYBkC
ZGIIu8wAAAAJ,3,Estimation methods based on ranked set sampling for the arctan uniform distribution with application,"SA Alyami, AS Hassan, I Elbatal, N Alotaibi, AM Gemeay, M Elgarhy","AIMS Mathematics 9 (4), 10304-10332",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16286018626097243313,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:bEWYMUwI8FkC
ZGIIu8wAAAAJ,4,Bivariate step-stress accelerated life test for a new three-parameter model under progressive censored schemes with application in medical,"N Alotaibi, AS Al-Moisheer, I Elbatal, SA Alyami, AM Gemeay, ...","AIMS Mathematics 9 (2), 3521-3558",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8835104817399280644,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:_Qo2XoVZTnwC
ZGIIu8wAAAAJ,5,Utilizing Bayesian inference in accelerated testing models under constant stress via ordered ranked set sampling and hybrid censoring with practical validation,"AF Hashem, N Alotaibi, SA Alyami, MA Abdelkawy, MAA Elgawad, ...","Scientific Reports 14 (1), 14406",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZGIIu8wAAAAJ,6,ON  -GENERATIONS OF THE FISCHER GROUP ,"F Ali, N Alotaibi, I Al-Dayel","JP Journal of Algebra, Number Theory and Applications 63 (3), 281-296",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZGIIu8wAAAAJ,7,Statistical inference for the Kavya–Manoharan Kumaraswamy model under ranked set sampling with applications,"N Alotaibi, I Elbatal, M Shrahili, AS Al-Moisheer, M Elgarhy, ...","Symmetry 15 (3), 587",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5050360866200540306,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:M3ejUd6NZC8C
ZGIIu8wAAAAJ,8,Mathematical modelling of mission-abort policies: a review,"AJ da Silva Rodrigues, CAV Cavalcante, AR Alberti, P Scarf, NM Alotaibi","IMA Journal of Management Mathematics 34 (4), 581-597",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10650413136118715976,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:mVmsd5A6BfQC
ZGIIu8wAAAAJ,9,A comparison of machine learning techniques for the detection of type-2 diabetes mellitus: Experiences from bangladesh,"MJ Uddin, MM Ahamad, MN Hoque, MAA Walid, S Aktar, N Alotaibi, ...","Information 14 (7), 376",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16659172039664971666,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:IWHjjKOFINEC
ZGIIu8wAAAAJ,10,A robust and clinically applicable deep learning model for early detection of Alzheimer's,"MM Rana, MM Islam, MA Talukder, MA Uddin, S Aryal, N Alotaibi, ...","IET Image Processing 17 (14), 3959-3975",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7445189845261500107,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:-f6ydRqryjwC
ZGIIu8wAAAAJ,11,An integrated statistical and clinically applicable machine learning framework for the detection of autism spectrum disorder,"MJ Uddin, MM Ahamad, PK Sarker, S Aktar, N Alotaibi, SA Alyami, ...","Computers 12 (5), 92",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6144917694393042004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:9ZlFYXVOiuMC
ZGIIu8wAAAAJ,12,Half logistic inverted Nadarajah–Haghighi distribution under ranked set sampling with applications,"N Alotaibi, AS Al-Moisheer, I Elbatal, M Shrahili, M Elgarhy, ...","Mathematics 11 (7), 1693",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6255908727239010588,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:aqlVkmm33-oC
ZGIIu8wAAAAJ,13,"Modified-opportunistic inspection and the case of remote, groundwater well-heads","NM Alotaibi, P Scarf, CAV Cavalcante, RS Lopes, ALO e Silva, ...","Reliability Engineering & System Safety 237, 109389",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9171621614687900897,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:QIV2ME_5wuYC
ZGIIu8wAAAAJ,14,Bayesian and Non-Bayesian Estimation for a New Extension of Power Topp–Leone Distribution under Ranked Set Sampling with Applications,"N Alotaibi, AS Al-Moisheer, I Elbatal, M Shrahili, M Elgarhy, ...","Axioms 12 (8), 722",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12993710257443997781,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:qUcmZB5y_30C
ZGIIu8wAAAAJ,15,"Identification of genetic biomarkers, drug targets and agents for respiratory diseases utilising integrated bioinformatics approaches","FF Ahmed, AD Das, MJ Sumi, MZ Islam, MS Rahman, MH Rashid, ...","Scientific Reports 13 (1), 19072",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17860233828046446303,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:mB3voiENLucC
ZGIIu8wAAAAJ,16,Binocular Rivalry Impact on Macroblock-Loss Error Concealment for Stereoscopic 3D Video Transmission,"MM Hasan, MA Hossain, N Alotaibi, JF Arnold, AKM Azad","Sensors 23 (7), 3604",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10058120149139318606,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:4DMP91E08xMC
ZGIIu8wAAAAJ,17,Extropy and Some of Its More Recent Related Measures for Concomitants of K-Record Values in an Extended FGM Family,"MAA Elgawad, HM Barakat, MA Alawady, DAA El-Rahman, IA Husseiny, ...","Mathematics 11 (24), 4934",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZGIIu8wAAAAJ,18,Truncated Cauchy power Weibull-G class of distributions: Bayesian and non-Bayesian inference modelling for COVID-19 and carbon fiber data,"N Alotaibi, I Elbatal, EM Almetwally, SA Alyami, AS Al-Moisheer, ...","Mathematics 10 (9), 1565",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14918029241799358695,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:5nxA0vEk-isC
ZGIIu8wAAAAJ,19,"On odd perks-G class of distributions: properties, regression model, discretization, Bayesian and non-Bayesian estimation, and applications","I Elbatal, N Alotaibi, EM Almetwally, SA Alyami, M Elgarhy","Symmetry 14 (5), 883",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14211147236228275482,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:0EnyYjriUFMC
ZGIIu8wAAAAJ,20,Estimation method of mixture distribution and modeling of COVID-19 pandemic,"TN Sindhu, Z Hussain, N Alotaibi, T Muhammad","Aims Math 7 (6), 9926-9956",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15981177322720041792,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:hqOjcs7Dif8C
ZGIIu8wAAAAJ,21,Modeling to factor productivity of the United Kingdom food chain: Using a new lifetime-generated family of distributions,"SA Alyami, I Elbatal, N Alotaibi, EM Almetwally, M Elgarhy","Sustainability 14 (14), 8942",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5890919296655640270,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZGIIu8wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZGIIu8wAAAAJ:kNdYIx-mwKoC
